epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.916209,0.904631,-0.548,3.00e-03,8.0
2,0.863248,0.893211,-0.597,3.00e-03,7.6
3,0.808166,0.830138,-1.043,3.00e-03,7.6
4,0.738823,0.725088,-1.771,3.00e-03,7.6
5,0.656481,0.636962,-2.949,3.00e-03,7.6
6,0.530756,0.560826,-4.152,3.00e-03,7.6
7,0.423109,0.392414,-5.792,3.00e-03,7.6
8,0.360863,0.317435,-6.878,3.00e-03,7.6
9,0.279616,0.240458,-8.361,3.00e-03,7.6
10,0.235371,0.238167,-8.196,3.00e-03,7.6
11,0.212377,0.262255,-8.159,3.00e-03,7.7
12,0.196627,0.163867,-9.633,3.00e-03,7.6
13,0.171833,0.151237,-9.881,3.00e-03,7.6
14,0.155338,0.138019,-10.045,3.00e-03,7.6
15,0.143783,0.123625,-10.453,3.00e-03,7.6
16,0.137882,0.136986,-9.523,3.00e-03,7.6
17,0.134800,0.112920,-10.830,3.00e-03,7.6
18,0.130334,0.114436,-10.719,3.00e-03,7.6
19,0.129281,0.145514,-10.277,3.00e-03,7.6
20,0.131203,0.126210,-10.799,3.00e-03,7.6
21,0.116896,0.096416,-11.484,3.00e-03,7.6
22,0.133164,0.101268,-11.194,3.00e-03,7.6
23,0.118004,0.116107,-10.726,3.00e-03,7.6
24,0.114015,0.103123,-11.248,3.00e-03,7.6
25,0.105792,0.116654,-11.444,3.00e-03,7.6
26,0.103818,0.100136,-11.002,3.00e-03,7.6
27,0.102690,0.091298,-11.805,3.00e-03,7.6
28,0.093992,0.089800,-11.668,3.00e-03,7.6
29,0.120314,0.085092,-12.174,3.00e-03,7.6
30,0.089345,0.075225,-12.364,3.00e-03,7.6
31,0.089177,0.080697,-12.099,3.00e-03,7.7
32,0.090558,0.086723,-12.330,3.00e-03,7.6
33,0.094555,0.085041,-12.571,3.00e-03,7.6
34,0.090578,0.076589,-12.465,3.00e-03,7.6
35,0.082883,0.066108,-13.352,3.00e-03,7.6
36,0.078657,0.063613,-13.193,3.00e-03,7.6
37,0.075779,0.074331,-12.963,3.00e-03,7.6
38,0.077504,0.070846,-13.096,3.00e-03,7.6
39,0.073710,0.078723,-12.588,3.00e-03,7.6
40,0.071353,0.062605,-13.687,3.00e-03,7.6
41,0.073601,0.058140,-14.229,3.00e-03,7.6
42,0.071477,0.069075,-13.509,3.00e-03,7.6
43,0.069538,0.065315,-13.610,3.00e-03,7.6
44,0.068401,0.057017,-13.934,3.00e-03,7.6
45,0.067060,0.064157,-13.632,3.00e-03,7.6
46,0.065638,0.060802,-14.368,3.00e-03,7.6
47,0.074031,0.057465,-14.344,3.00e-03,7.6
48,0.068830,0.051413,-14.721,3.00e-03,7.6
49,0.063550,0.050600,-14.972,3.00e-03,7.6
50,0.063353,0.053284,-14.785,3.00e-03,7.6
51,0.061667,0.056387,-14.726,3.00e-03,7.6
52,0.061749,0.052151,-14.797,3.00e-03,7.6
53,0.061824,0.047772,-15.196,3.00e-03,7.7
54,0.061645,0.052039,-15.090,3.00e-03,7.7
55,0.062035,0.049129,-15.373,3.00e-03,7.6
56,0.064045,0.055113,-14.526,3.00e-03,7.6
57,0.060404,0.059205,-14.710,3.00e-03,7.6
58,0.061301,0.044610,-15.498,3.00e-03,7.6
59,0.059880,0.046523,-15.489,3.00e-03,7.6
60,0.058241,0.051637,-15.216,3.00e-03,7.6
61,0.063296,0.049722,-15.258,3.00e-03,7.6
62,0.061329,0.052043,-15.114,3.00e-03,7.6
63,0.058782,0.095983,-12.377,3.00e-03,7.6
64,0.062153,0.047270,-15.492,3.00e-03,7.6
65,0.057508,0.046149,-15.520,3.00e-03,7.6
66,0.058041,0.047901,-15.397,3.00e-03,7.6
67,0.059097,0.044618,-15.678,3.00e-03,7.6
68,0.060920,0.053634,-14.946,3.00e-03,7.6
69,0.055183,0.045583,-15.442,3.00e-03,7.6
70,0.054563,0.041833,-15.813,3.00e-03,7.6
71,0.053832,0.044882,-15.478,3.00e-03,7.6
72,0.053405,0.047811,-15.167,3.00e-03,7.6
73,0.055561,0.046751,-15.464,3.00e-03,7.6
74,0.055177,0.044457,-15.622,3.00e-03,7.6
75,0.056024,0.040815,-15.774,3.00e-03,7.6
76,0.056607,0.046169,-15.400,3.00e-03,7.6
77,0.052060,0.036320,-16.254,3.00e-03,7.6
78,0.052230,0.045982,-15.778,3.00e-03,7.6
79,0.055225,0.040479,-15.731,3.00e-03,7.6
80,0.053910,0.049015,-15.045,3.00e-03,7.6
81,0.052875,0.038273,-16.082,3.00e-03,7.6
82,0.050519,0.039330,-15.790,3.00e-03,7.6
83,0.050999,0.038886,-15.987,3.00e-03,7.6
84,0.052973,0.039447,-16.021,3.00e-03,7.6
85,0.050034,0.037689,-16.231,3.00e-03,7.6
86,0.051607,0.037183,-16.139,3.00e-03,7.6
87,0.048433,0.040352,-15.628,3.00e-03,7.6
88,0.053903,0.045886,-15.908,3.00e-03,7.6
89,0.051241,0.045268,-15.895,3.00e-03,7.6
90,0.053201,0.045434,-15.370,3.00e-03,7.6
91,0.049375,0.037546,-15.932,3.00e-03,7.6
92,0.048367,0.041251,-15.740,3.00e-03,7.6
93,0.050843,0.047546,-14.915,3.00e-03,7.6
94,0.049828,0.042511,-15.676,3.00e-03,7.6
95,0.056861,0.053962,-14.766,3.00e-03,7.6
96,0.050185,0.036859,-16.068,3.00e-03,7.6
97,0.048408,0.035761,-16.354,3.00e-03,7.6
98,0.049771,0.044764,-15.704,3.00e-03,7.6
99,0.050888,0.045228,-15.745,3.00e-03,7.6
100,0.048527,0.041174,-15.630,3.00e-03,7.6
101,0.050486,0.038984,-15.706,3.00e-03,7.6
102,0.048531,0.043282,-15.876,3.00e-03,7.7
103,0.047817,0.035139,-16.329,3.00e-03,7.6
104,0.049785,0.041606,-16.057,3.00e-03,7.6
105,0.048851,0.040318,-15.734,3.00e-03,7.6
106,0.047710,0.041574,-15.760,3.00e-03,7.6
107,0.048128,0.038899,-15.965,3.00e-03,7.6
108,0.045978,0.035135,-16.340,3.00e-03,7.6
109,0.048108,0.038287,-16.017,3.00e-03,7.6
110,0.051547,0.042494,-15.811,3.00e-03,7.6
111,0.047924,0.035434,-16.207,3.00e-03,7.6
112,0.048836,0.042745,-15.886,3.00e-03,7.6
113,0.053927,0.033367,-16.379,3.00e-03,7.6
114,0.051569,0.051536,-15.446,3.00e-03,7.6
115,0.048696,0.041590,-15.829,3.00e-03,7.6
116,0.045916,0.036392,-16.260,3.00e-03,7.6
117,0.045501,0.034657,-16.267,3.00e-03,7.6
118,0.045761,0.036171,-16.271,3.00e-03,7.6
119,0.048856,0.041671,-15.883,3.00e-03,7.6
120,0.048902,0.041207,-15.839,3.00e-03,7.6
121,0.048221,0.035758,-16.364,3.00e-03,7.6
122,0.046190,0.046660,-15.578,3.00e-03,7.6
123,0.047136,0.035056,-16.470,3.00e-03,7.6
124,0.045156,0.041360,-15.602,3.00e-03,7.6
125,0.050114,0.034925,-16.353,3.00e-03,7.6
126,0.046014,0.034985,-16.332,3.00e-03,7.6
127,0.046139,0.034683,-16.359,3.00e-03,7.6
128,0.046412,0.037309,-16.218,3.00e-03,7.6
129,0.046462,0.039564,-16.068,3.00e-03,7.6
130,0.045384,0.038275,-16.091,3.00e-03,7.6
131,0.046130,0.036079,-16.197,3.00e-03,7.7
132,0.047789,0.036884,-16.276,3.00e-03,7.6
133,0.045546,0.041288,-15.854,3.00e-03,7.6
134,0.047887,0.041591,-15.438,1.50e-03,7.6
135,0.045693,0.033556,-16.461,1.50e-03,7.6
136,0.042745,0.033341,-16.486,1.50e-03,7.6
137,0.043759,0.036254,-16.332,1.50e-03,7.7
138,0.043141,0.033776,-16.422,1.50e-03,7.6
139,0.041256,0.033683,-16.426,1.50e-03,7.7
140,0.043009,0.037639,-16.070,1.50e-03,7.6
141,0.046054,0.038862,-16.090,1.50e-03,7.6
142,0.044148,0.032520,-16.562,1.50e-03,7.6
143,0.041329,0.032716,-16.582,1.50e-03,7.6
144,0.043526,0.032694,-16.544,1.50e-03,7.6
145,0.043706,0.035141,-16.400,1.50e-03,7.6
146,0.042011,0.033389,-16.469,1.50e-03,7.6
147,0.043064,0.033328,-16.385,1.50e-03,7.6
148,0.044752,0.033082,-16.322,1.50e-03,7.6
149,0.042270,0.035953,-16.300,1.50e-03,7.6
150,0.042573,0.036415,-16.232,1.50e-03,7.6
151,0.043700,0.034681,-16.390,1.50e-03,7.6
152,0.044687,0.035887,-16.221,1.50e-03,7.6
153,0.043682,0.034593,-16.147,1.50e-03,7.6
154,0.043451,0.037326,-15.979,1.50e-03,7.6
155,0.042488,0.032204,-16.620,1.50e-03,7.6
156,0.044073,0.036398,-16.392,1.50e-03,7.6
157,0.043889,0.032712,-16.567,1.50e-03,7.6
158,0.040839,0.033273,-16.522,1.50e-03,7.6
159,0.042336,0.034843,-16.367,1.50e-03,7.6
160,0.041895,0.033847,-16.456,1.50e-03,7.6
161,0.042076,0.033470,-16.540,1.50e-03,7.6
162,0.042549,0.035885,-16.236,1.50e-03,7.6
163,0.043100,0.035357,-16.307,1.50e-03,7.6
164,0.044453,0.034666,-16.028,1.50e-03,7.6
165,0.044942,0.034619,-16.253,1.50e-03,7.6
166,0.042284,0.038309,-16.399,1.50e-03,7.6
167,0.045079,0.033007,-16.466,1.50e-03,7.6
168,0.043256,0.033127,-16.457,1.50e-03,7.6
169,0.043342,0.031913,-16.533,1.50e-03,7.6
170,0.043002,0.033934,-16.337,1.50e-03,7.7
171,0.043406,0.035270,-16.401,1.50e-03,7.6
172,0.043773,0.032340,-16.563,1.50e-03,7.7
173,0.042301,0.037160,-16.195,1.50e-03,7.7
174,0.042186,0.034231,-16.533,1.50e-03,7.6
175,0.043550,0.033139,-16.398,1.50e-03,7.6
176,0.044518,0.037008,-16.150,1.50e-03,7.6
177,0.042665,0.037530,-15.970,1.50e-03,7.6
178,0.042781,0.034705,-16.271,1.50e-03,7.6
179,0.042456,0.034183,-16.281,1.50e-03,7.6
180,0.041673,0.032929,-16.380,1.50e-03,7.6
181,0.041613,0.035897,-16.231,1.50e-03,7.6
182,0.043388,0.032472,-16.491,1.50e-03,7.6
183,0.041141,0.034698,-16.344,1.50e-03,7.6
184,0.041941,0.034014,-16.294,1.50e-03,7.6
185,0.044946,0.035968,-16.140,1.50e-03,7.6
186,0.042252,0.039675,-15.736,1.50e-03,7.6
187,0.042869,0.033389,-16.425,1.50e-03,7.6
188,0.043675,0.034301,-16.087,1.50e-03,7.6
189,0.044678,0.032016,-16.543,1.50e-03,7.6
190,0.044054,0.033422,-16.298,7.50e-04,7.6
191,0.041096,0.031662,-16.579,7.50e-04,7.6
192,0.041665,0.031489,-16.621,7.50e-04,7.6
193,0.043323,0.033966,-16.381,7.50e-04,7.7
194,0.041625,0.033518,-16.461,7.50e-04,7.6
195,0.041886,0.033181,-16.472,7.50e-04,7.6
196,0.041218,0.031394,-16.589,7.50e-04,7.6
197,0.040271,0.035197,-16.238,7.50e-04,7.6
198,0.040935,0.032499,-16.484,7.50e-04,7.6
199,0.040216,0.031829,-16.579,7.50e-04,7.6
200,0.041206,0.032413,-16.434,7.50e-04,7.6
201,0.043671,0.035114,-16.264,7.50e-04,7.6
202,0.040454,0.030850,-16.642,7.50e-04,7.6
203,0.040228,0.032974,-16.375,7.50e-04,7.6
204,0.042100,0.030145,-16.678,7.50e-04,7.6
205,0.041581,0.030928,-16.670,7.50e-04,7.6
206,0.042906,0.033096,-16.445,7.50e-04,7.6
207,0.040707,0.033034,-16.450,7.50e-04,7.6
208,0.041848,0.033061,-16.385,7.50e-04,7.6
209,0.042976,0.032463,-16.563,7.50e-04,7.6
210,0.040733,0.031862,-16.499,7.50e-04,7.6
211,0.039986,0.030699,-16.581,7.50e-04,7.6
212,0.041717,0.030929,-16.685,7.50e-04,7.6
213,0.040744,0.033587,-16.436,7.50e-04,7.6
214,0.040037,0.032326,-16.504,7.50e-04,7.6
215,0.042027,0.033307,-16.494,7.50e-04,7.6
216,0.041749,0.033354,-16.529,7.50e-04,7.6
217,0.039771,0.032968,-16.435,7.50e-04,7.6
218,0.041269,0.031860,-16.488,7.50e-04,7.7
219,0.041382,0.033536,-16.332,7.50e-04,7.6
220,0.041163,0.031775,-16.579,7.50e-04,7.6
221,0.040311,0.031145,-16.672,7.50e-04,7.6
222,0.042047,0.030486,-16.688,7.50e-04,7.6
223,0.041050,0.032854,-16.500,7.50e-04,7.6
224,0.040510,0.031902,-16.542,7.50e-04,7.6
225,0.039983,0.031545,-16.666,3.75e-04,7.6
226,0.040568,0.030168,-16.731,3.75e-04,7.6
227,0.039452,0.030028,-16.721,3.75e-04,7.6
228,0.039951,0.031126,-16.638,3.75e-04,7.6
229,0.041408,0.033126,-16.378,3.75e-04,7.6
230,0.040214,0.030210,-16.704,3.75e-04,7.6
231,0.038967,0.031539,-16.557,3.75e-04,7.6
232,0.039679,0.031190,-16.597,3.75e-04,7.6
233,0.038717,0.031667,-16.504,3.75e-04,7.6
234,0.041209,0.030276,-16.644,3.75e-04,7.6
235,0.041865,0.031078,-16.631,3.75e-04,7.6
236,0.041020,0.031513,-16.606,3.75e-04,7.6
237,0.040707,0.033529,-16.401,3.75e-04,7.6
238,0.040915,0.031209,-16.636,3.75e-04,7.6
239,0.040703,0.032036,-16.573,3.75e-04,7.6
240,0.040433,0.032509,-16.587,3.75e-04,7.6
241,0.040952,0.030764,-16.615,3.75e-04,7.7
242,0.040524,0.031981,-16.508,3.75e-04,7.6
243,0.041698,0.031326,-16.583,3.75e-04,7.6
244,0.040441,0.031562,-16.534,3.75e-04,7.6
245,0.039422,0.030339,-16.642,3.75e-04,7.6
246,0.040122,0.031263,-16.617,3.75e-04,7.6
247,0.038506,0.029949,-16.723,3.75e-04,7.6
248,0.039417,0.031598,-16.577,3.75e-04,7.6
249,0.040083,0.029977,-16.692,3.75e-04,7.6
250,0.039565,0.032553,-16.462,3.75e-04,7.6
251,0.040408,0.030145,-16.722,3.75e-04,7.6
252,0.040827,0.030931,-16.641,3.75e-04,7.6
253,0.039864,0.030624,-16.688,3.75e-04,7.6
254,0.040166,0.031210,-16.618,3.75e-04,7.6
255,0.039162,0.031433,-16.598,3.75e-04,7.6
256,0.039144,0.031385,-16.580,3.75e-04,7.6
257,0.039534,0.031923,-16.630,3.75e-04,7.6
258,0.040961,0.030343,-16.649,3.75e-04,7.6
259,0.039864,0.030643,-16.610,3.75e-04,7.6
260,0.040181,0.031460,-16.548,3.75e-04,7.6
261,0.039961,0.030901,-16.656,3.75e-04,7.6
262,0.039669,0.029779,-16.706,3.75e-04,7.6
263,0.041761,0.030527,-16.698,3.75e-04,7.6
264,0.040066,0.032414,-16.475,3.75e-04,7.6
265,0.040360,0.031522,-16.614,3.75e-04,7.6
266,0.039562,0.033774,-16.378,3.75e-04,7.6
267,0.039934,0.030559,-16.583,3.75e-04,7.6
268,0.040405,0.030661,-16.654,3.75e-04,7.6
269,0.040354,0.031247,-16.606,3.75e-04,7.6
270,0.039342,0.031211,-16.685,3.75e-04,7.6
271,0.039118,0.031824,-16.529,3.75e-04,7.6
272,0.041668,0.030560,-16.615,3.75e-04,7.6
273,0.040744,0.033168,-16.457,3.75e-04,7.6
274,0.040357,0.031103,-16.642,3.75e-04,7.6
275,0.039779,0.029981,-16.697,3.75e-04,7.6
276,0.041004,0.030268,-16.649,3.75e-04,7.6
277,0.040231,0.030278,-16.645,3.75e-04,7.6
278,0.040361,0.030607,-16.607,3.75e-04,7.6
279,0.039462,0.030283,-16.681,3.75e-04,7.6
280,0.039720,0.032285,-16.538,3.75e-04,7.6
281,0.040107,0.030167,-16.660,3.75e-04,7.6
282,0.040894,0.031502,-16.533,3.75e-04,7.6
283,0.041036,0.030733,-16.647,1.88e-04,7.6
284,0.040800,0.029716,-16.717,1.88e-04,7.6
285,0.041098,0.030189,-16.663,1.88e-04,7.7
286,0.038349,0.029882,-16.739,1.88e-04,7.6
