epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.911217,0.897752,-0.579,3.00e-03,8.1
2,0.852172,0.881130,-0.656,3.00e-03,7.6
3,0.785525,0.810605,-1.145,3.00e-03,7.6
4,0.709041,0.755130,-1.609,3.00e-03,7.7
5,0.603732,0.559947,-3.817,3.00e-03,7.6
6,0.486358,0.460971,-4.903,3.00e-03,7.6
7,0.350100,0.343644,-6.741,3.00e-03,7.6
8,0.277392,0.283186,-8.027,3.00e-03,7.6
9,0.214659,0.202084,-9.506,3.00e-03,7.6
10,0.176903,0.176323,-9.910,3.00e-03,7.6
11,0.158673,0.168710,-10.010,3.00e-03,7.6
12,0.128628,0.131365,-11.624,3.00e-03,7.6
13,0.114522,0.127275,-11.899,3.00e-03,7.6
14,0.106465,0.169754,-10.388,3.00e-03,7.6
15,0.112095,0.098512,-12.713,3.00e-03,7.6
16,0.092351,0.085237,-13.586,3.00e-03,7.6
17,0.081855,0.089185,-13.346,3.00e-03,7.6
18,0.077360,0.085261,-13.718,3.00e-03,7.6
19,0.092935,0.074350,-13.937,3.00e-03,7.6
20,0.076054,0.064493,-14.616,3.00e-03,7.6
21,0.075346,0.086222,-12.673,3.00e-03,7.6
22,0.062618,0.064693,-14.748,3.00e-03,7.6
23,0.073742,0.072653,-14.135,3.00e-03,7.6
24,0.057173,0.054788,-15.166,3.00e-03,7.6
25,0.053263,0.070805,-14.084,3.00e-03,7.6
26,0.049399,0.057724,-14.626,3.00e-03,7.6
27,0.048015,0.054972,-14.962,3.00e-03,7.6
28,0.046626,0.058998,-14.685,3.00e-03,7.6
29,0.045546,0.049662,-15.354,3.00e-03,7.6
30,0.043502,0.045472,-15.620,3.00e-03,7.6
31,0.041882,0.049938,-15.166,3.00e-03,7.6
32,0.039068,0.054845,-15.247,3.00e-03,7.6
33,0.039042,0.039803,-15.924,3.00e-03,7.6
34,0.045935,0.054034,-13.786,3.00e-03,7.6
35,0.039771,0.044831,-15.823,3.00e-03,7.6
36,0.034990,0.046562,-15.853,3.00e-03,7.6
37,0.035712,0.034981,-16.179,3.00e-03,7.6
38,0.031488,0.038035,-16.096,3.00e-03,7.6
39,0.031748,0.033617,-16.640,3.00e-03,7.6
40,0.028592,0.032677,-16.517,3.00e-03,7.6
41,0.032750,0.034340,-16.452,3.00e-03,7.6
42,0.042704,0.052476,-14.654,3.00e-03,7.6
43,0.037907,0.030056,-16.936,3.00e-03,7.6
44,0.029134,0.035521,-16.675,3.00e-03,7.6
45,0.032968,0.033446,-16.672,3.00e-03,7.6
46,0.026877,0.026189,-17.372,3.00e-03,7.6
47,0.027128,0.036217,-16.687,3.00e-03,7.6
48,0.030544,0.029986,-16.915,3.00e-03,7.6
49,0.024111,0.031261,-17.033,3.00e-03,7.6
50,0.027202,0.029107,-16.966,3.00e-03,7.6
51,0.025646,0.027486,-17.034,3.00e-03,7.6
52,0.050865,0.049437,-14.982,3.00e-03,7.6
53,0.029745,0.030452,-17.535,3.00e-03,7.6
54,0.025296,0.035106,-17.070,3.00e-03,7.6
55,0.024728,0.030480,-17.039,3.00e-03,7.6
56,0.022356,0.028208,-17.318,3.00e-03,7.6
57,0.022886,0.022296,-17.676,3.00e-03,7.6
58,0.019747,0.022715,-17.798,3.00e-03,7.6
59,0.021732,0.024497,-17.778,3.00e-03,7.6
60,0.023449,0.027922,-17.423,3.00e-03,7.6
61,0.023930,0.077620,-13.910,3.00e-03,7.6
62,0.027657,0.026351,-16.641,3.00e-03,7.6
63,0.025490,0.022429,-17.618,3.00e-03,7.6
64,0.025039,0.027223,-16.750,3.00e-03,7.6
65,0.023899,0.030516,-16.607,3.00e-03,7.6
66,0.023697,0.021898,-18.251,3.00e-03,7.6
67,0.020655,0.033959,-17.244,3.00e-03,7.6
68,0.019881,0.019841,-18.261,3.00e-03,7.6
69,0.018491,0.019544,-18.336,3.00e-03,7.6
70,0.019833,0.021599,-18.009,3.00e-03,7.6
71,0.029796,0.030576,-16.795,3.00e-03,7.6
72,0.269696,0.042928,-15.477,3.00e-03,7.6
73,0.027698,0.022902,-18.085,3.00e-03,7.6
74,0.020402,0.018980,-18.751,3.00e-03,7.6
75,0.020184,0.030775,-17.627,3.00e-03,7.6
76,0.016816,0.018142,-19.195,3.00e-03,7.6
77,0.017060,0.019570,-19.042,3.00e-03,7.6
78,0.016047,0.017355,-18.970,3.00e-03,7.6
79,0.016357,0.018877,-18.503,3.00e-03,7.6
80,0.016698,0.017949,-18.491,3.00e-03,7.6
81,0.019923,0.030433,-16.694,3.00e-03,7.6
82,0.024793,0.018613,-18.472,3.00e-03,7.6
83,0.021837,0.027841,-16.123,3.00e-03,7.6
84,0.021283,0.026296,-17.730,3.00e-03,7.6
85,0.018409,0.016515,-18.663,3.00e-03,7.6
86,0.017031,0.016580,-18.813,3.00e-03,7.6
87,0.017575,0.018893,-18.337,3.00e-03,7.6
88,0.016636,0.015743,-18.921,3.00e-03,7.6
89,0.017282,0.016845,-18.750,3.00e-03,7.6
90,0.018058,0.018093,-18.421,3.00e-03,7.6
91,0.015310,0.015889,-18.972,3.00e-03,7.6
92,0.014356,0.017288,-18.775,3.00e-03,7.6
