epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.574213,0.595598,-1.005,3.00e-03,8.0
2,0.402668,0.569463,-1.112,3.00e-03,7.6
3,0.359846,0.471552,-3.688,3.00e-03,7.6
4,0.278611,0.414224,-4.848,3.00e-03,7.7
5,0.246225,0.340153,-4.935,3.00e-03,7.6
6,0.179439,0.241739,-7.288,3.00e-03,7.6
7,0.122810,0.166328,-8.939,3.00e-03,7.6
8,0.087138,0.106108,-11.061,3.00e-03,7.6
9,0.066791,0.138756,-10.272,3.00e-03,7.6
10,0.054673,0.064771,-12.646,3.00e-03,7.6
11,0.049003,0.064004,-12.482,3.00e-03,7.7
12,0.038803,0.048477,-13.931,3.00e-03,7.6
13,0.031839,0.046599,-13.789,3.00e-03,7.6
14,0.028359,0.035743,-14.708,3.00e-03,7.6
15,0.025715,0.033559,-14.704,3.00e-03,7.6
16,0.022011,0.030682,-15.233,3.00e-03,7.6
17,0.022484,0.036095,-15.306,3.00e-03,7.7
18,0.021561,0.028174,-15.736,3.00e-03,7.6
19,0.020022,0.026103,-16.026,3.00e-03,7.7
20,0.020807,0.027837,-15.989,3.00e-03,7.7
21,0.015512,0.025695,-16.257,3.00e-03,7.6
22,0.023019,0.021393,-16.921,3.00e-03,7.6
23,0.014154,0.023128,-17.016,3.00e-03,7.7
24,0.012996,0.018326,-17.983,3.00e-03,7.6
25,0.012675,0.019087,-17.781,3.00e-03,7.6
26,0.012064,0.016132,-18.406,3.00e-03,7.6
27,0.015034,0.027896,-16.994,3.00e-03,7.7
28,0.011799,0.014930,-18.676,3.00e-03,7.6
29,0.015748,0.023321,-17.258,3.00e-03,7.7
30,0.011111,0.013311,-19.416,3.00e-03,7.6
31,0.009220,0.013154,-19.711,3.00e-03,7.7
32,0.008549,0.011602,-20.343,3.00e-03,7.7
33,0.007966,0.015463,-19.022,3.00e-03,7.6
34,0.008824,0.012428,-20.196,3.00e-03,7.6
35,0.011145,0.010884,-20.765,3.00e-03,7.6
36,0.007369,0.009800,-21.205,3.00e-03,7.6
37,0.008558,0.020625,-18.534,3.00e-03,7.6
38,0.007696,0.009438,-21.371,3.00e-03,7.6
39,0.007071,0.010082,-20.906,3.00e-03,7.6
40,0.007419,0.011672,-20.069,3.00e-03,7.6
41,0.008594,0.008612,-21.601,3.00e-03,7.6
42,0.005874,0.008452,-21.771,3.00e-03,7.6
43,0.005819,0.007779,-22.047,3.00e-03,7.6
44,0.010615,0.019199,-19.361,3.00e-03,7.6
45,0.008126,0.024273,-17.997,3.00e-03,7.6
46,0.007103,0.007539,-22.283,3.00e-03,7.6
47,0.005042,0.006854,-22.607,3.00e-03,7.6
48,0.006082,0.007453,-22.201,3.00e-03,7.7
49,0.005029,0.007367,-22.251,3.00e-03,7.6
50,0.010438,0.014232,-20.336,3.00e-03,7.6
51,0.005300,0.006154,-23.088,3.00e-03,7.6
52,0.004396,0.006107,-23.241,3.00e-03,7.6
53,0.004323,0.006084,-23.257,3.00e-03,7.7
54,0.004256,0.006022,-23.536,3.00e-03,7.7
55,0.004312,0.008936,-22.047,3.00e-03,7.6
56,0.004948,0.006370,-23.237,3.00e-03,7.6
57,0.008964,0.018490,-18.568,3.00e-03,7.6
58,0.007706,0.007108,-22.328,3.00e-03,7.7
59,0.004234,0.005338,-23.874,3.00e-03,7.6
60,0.003781,0.005460,-23.914,3.00e-03,7.6
61,0.003746,0.005139,-24.059,3.00e-03,7.6
62,0.003749,0.005233,-23.999,3.00e-03,7.7
63,0.003920,0.008017,-21.970,3.00e-03,7.7
64,0.004670,0.006623,-22.798,3.00e-03,7.6
65,0.004488,0.004943,-24.328,3.00e-03,7.7
66,0.003605,0.005275,-24.182,3.00e-03,7.6
67,0.003703,0.004987,-24.411,3.00e-03,7.6
68,0.003261,0.004609,-24.827,3.00e-03,7.6
69,0.003355,0.004626,-24.780,3.00e-03,7.6
70,0.007348,0.012934,-20.924,3.00e-03,7.6
71,0.004405,0.007997,-23.179,3.00e-03,7.6
72,0.006911,0.004816,-24.466,3.00e-03,7.6
73,0.003643,0.004641,-24.421,3.00e-03,7.6
74,0.003270,0.004384,-24.760,3.00e-03,7.6
75,0.003085,0.004863,-24.324,3.00e-03,7.6
76,0.004184,0.007669,-21.942,3.00e-03,7.6
77,0.003468,0.004398,-24.700,3.00e-03,7.6
78,0.002848,0.003921,-25.357,3.00e-03,7.7
79,0.002918,0.004929,-24.431,3.00e-03,7.6
80,0.002813,0.003849,-25.471,3.00e-03,7.6
81,0.002828,0.004226,-25.172,3.00e-03,7.6
82,0.002982,0.003893,-25.443,3.00e-03,7.6
83,0.002973,0.005067,-24.451,3.00e-03,7.6
84,0.003195,0.003644,-25.852,3.00e-03,7.6
85,0.002934,0.004047,-25.208,3.00e-03,7.6
86,0.002829,0.011636,-20.229,3.00e-03,7.6
87,0.005768,0.019779,-19.698,3.00e-03,7.6
88,0.013808,0.007202,-23.114,3.00e-03,7.6
89,0.003668,0.004446,-24.996,3.00e-03,7.6
90,0.003044,0.003883,-25.479,3.00e-03,7.6
91,0.002850,0.003990,-25.323,3.00e-03,7.6
92,0.002649,0.003696,-25.674,3.00e-03,7.6
93,0.002503,0.003415,-26.150,3.00e-03,7.6
94,0.002613,0.003765,-25.816,3.00e-03,7.6
95,0.002492,0.003669,-25.616,3.00e-03,7.6
96,0.002534,0.003978,-25.302,3.00e-03,7.6
97,0.002562,0.003681,-25.703,3.00e-03,7.6
98,0.002696,0.003399,-26.113,3.00e-03,7.6
99,0.002426,0.003282,-26.122,3.00e-03,7.6
100,0.002417,0.004620,-24.491,3.00e-03,7.6
101,0.002331,0.003081,-26.543,3.00e-03,7.6
102,0.003216,0.009223,-22.120,3.00e-03,7.6
103,0.006542,0.008467,-21.983,3.00e-03,7.6
104,0.003176,0.003433,-25.996,3.00e-03,7.6
105,0.002379,0.003332,-26.258,3.00e-03,7.6
106,0.002255,0.003651,-25.637,3.00e-03,7.6
107,0.007514,0.009006,-21.667,3.00e-03,7.6
108,0.003922,0.003867,-25.468,3.00e-03,7.6
109,0.002427,0.003564,-26.169,3.00e-03,7.6
110,0.002154,0.003094,-26.411,3.00e-03,7.6
111,0.002149,0.003478,-26.104,3.00e-03,7.6
112,0.002648,0.003647,-25.411,3.00e-03,7.6
113,0.002206,0.002879,-26.810,3.00e-03,7.6
114,0.002112,0.003192,-26.197,3.00e-03,7.7
115,0.002517,0.003638,-25.485,3.00e-03,7.6
116,0.002189,0.002893,-26.964,3.00e-03,7.6
117,0.002165,0.004030,-25.113,3.00e-03,7.6
118,0.003325,0.003151,-26.431,3.00e-03,7.6
119,0.002101,0.003380,-25.724,3.00e-03,7.6
120,0.003336,0.003345,-25.833,3.00e-03,7.6
121,0.002142,0.003482,-25.681,3.00e-03,7.6
122,0.002262,0.003203,-26.352,3.00e-03,7.6
123,0.002147,0.002961,-26.615,3.00e-03,7.6
124,0.002021,0.002697,-27.195,3.00e-03,7.6
125,0.002016,0.002809,-26.849,3.00e-03,7.6
126,0.001902,0.002826,-26.836,3.00e-03,7.6
127,0.002133,0.003332,-26.159,3.00e-03,7.6
128,0.002351,0.003124,-26.682,3.00e-03,7.6
129,0.001986,0.002727,-27.091,3.00e-03,7.6
130,0.002034,0.002908,-26.621,3.00e-03,7.6
131,0.002010,0.002564,-27.343,3.00e-03,7.6
132,0.002329,0.007570,-21.902,3.00e-03,7.6
133,0.009005,0.018294,-18.336,3.00e-03,7.6
134,0.005290,0.002684,-26.784,3.00e-03,7.6
135,0.001936,0.002582,-27.234,3.00e-03,7.6
136,0.001782,0.002554,-27.324,3.00e-03,7.6
137,0.001826,0.002468,-27.479,3.00e-03,7.6
138,0.001737,0.002539,-27.300,3.00e-03,7.6
139,0.001870,0.002445,-27.331,3.00e-03,7.6
