epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.505810,0.431963,-1.823,3.00e-03,8.0
2,0.288035,0.400497,-2.234,3.00e-03,7.6
3,0.215650,0.346664,-5.279,3.00e-03,7.6
4,0.164437,0.221545,-6.967,3.00e-03,7.6
5,0.116616,0.142058,-8.653,3.00e-03,7.6
6,0.074084,0.110586,-10.188,3.00e-03,7.6
7,0.049454,0.049864,-13.635,3.00e-03,7.6
8,0.030452,0.044992,-13.085,3.00e-03,7.6
9,0.026359,0.044757,-13.179,3.00e-03,7.6
10,0.024000,0.029192,-14.761,3.00e-03,7.6
11,0.020888,0.027278,-15.319,3.00e-03,7.6
12,0.018781,0.034105,-14.427,3.00e-03,7.6
13,0.016881,0.026814,-15.567,3.00e-03,7.6
14,0.013501,0.012356,-18.497,3.00e-03,7.6
15,0.009999,0.011958,-18.712,3.00e-03,7.6
16,0.008956,0.009761,-19.649,3.00e-03,7.6
17,0.007494,0.009382,-20.167,3.00e-03,7.6
18,0.006143,0.008395,-20.588,3.00e-03,7.6
19,0.010111,0.035233,-14.960,3.00e-03,7.6
20,0.008907,0.014198,-18.411,3.00e-03,7.6
21,0.006916,0.009500,-20.032,3.00e-03,7.6
22,0.005157,0.006229,-21.516,3.00e-03,7.6
23,0.005275,0.009647,-19.851,3.00e-03,7.6
24,0.005323,0.005639,-21.723,3.00e-03,7.6
25,0.004428,0.007430,-21.220,3.00e-03,7.6
26,0.005444,0.005528,-22.384,3.00e-03,7.6
27,0.003946,0.004830,-22.745,3.00e-03,7.6
28,0.003414,0.004916,-22.580,3.00e-03,7.6
29,0.006878,0.006751,-21.161,3.00e-03,7.6
30,0.003956,0.006301,-21.698,3.00e-03,7.6
31,0.003390,0.004869,-22.397,3.00e-03,7.6
32,0.002937,0.003933,-23.534,3.00e-03,7.6
33,0.002734,0.003913,-23.675,3.00e-03,7.6
34,0.002932,0.003821,-23.864,3.00e-03,7.6
35,0.002711,0.003735,-23.935,3.00e-03,7.6
36,0.002734,0.004096,-23.487,3.00e-03,7.6
37,0.002496,0.005455,-22.590,3.00e-03,7.6
38,0.004144,0.023473,-16.606,3.00e-03,7.6
39,0.010586,0.009690,-20.061,3.00e-03,7.6
40,0.006994,0.016921,-17.710,3.00e-03,7.6
41,0.005890,0.003437,-23.333,3.00e-03,7.6
42,0.002419,0.003230,-23.899,3.00e-03,7.6
