epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.825597,0.829374,-1.414,3.00e-03,8.1
2,0.751674,0.818965,-1.494,3.00e-03,7.7
3,0.747297,0.831595,-1.395,3.00e-03,7.7
4,0.722011,0.713750,-2.287,3.00e-03,7.7
5,0.579649,0.630860,-3.069,3.00e-03,7.7
6,0.486602,0.545046,-4.092,3.00e-03,7.7
7,0.454695,0.562028,-3.887,3.00e-03,7.7
8,0.431785,0.485883,-4.762,3.00e-03,7.6
9,0.414060,0.470784,-5.015,3.00e-03,7.7
10,0.393865,0.444674,-5.391,3.00e-03,7.7
11,0.371745,0.428600,-5.786,3.00e-03,7.7
12,0.356460,0.369150,-6.963,3.00e-03,7.7
13,0.312794,0.380893,-6.562,3.00e-03,7.7
14,0.281225,0.273499,-8.349,3.00e-03,7.7
15,0.276956,0.292131,-8.423,3.00e-03,7.7
16,0.231945,0.229710,-9.186,3.00e-03,7.6
17,0.206571,0.207682,-9.564,3.00e-03,7.7
18,0.192093,0.195134,-9.886,3.00e-03,7.7
19,0.273916,0.203796,-9.857,3.00e-03,7.7
20,0.186250,0.203649,-10.007,3.00e-03,7.6
21,0.203617,0.185700,-10.338,3.00e-03,7.6
22,0.171223,0.175388,-10.451,3.00e-03,7.6
23,0.168895,0.166747,-10.720,3.00e-03,7.7
24,0.159046,0.193553,-10.181,3.00e-03,7.6
25,0.159038,0.172106,-10.574,3.00e-03,7.7
26,0.157354,0.153819,-11.078,3.00e-03,7.6
27,0.151154,0.163831,-10.599,3.00e-03,7.7
28,0.149028,0.153746,-11.207,3.00e-03,7.6
29,0.142081,0.145638,-11.099,3.00e-03,7.6
30,0.140782,0.152328,-11.235,3.00e-03,7.6
31,0.160893,0.167298,-10.361,3.00e-03,7.7
32,0.143363,0.164363,-10.853,3.00e-03,7.7
33,0.143531,0.143197,-11.265,3.00e-03,7.7
34,0.140651,0.161970,-10.720,3.00e-03,7.7
35,0.135693,0.138899,-11.350,3.00e-03,7.6
36,0.127739,0.137753,-11.290,3.00e-03,7.6
37,0.133450,0.135138,-11.432,3.00e-03,7.7
38,0.123075,0.138032,-11.405,3.00e-03,7.7
39,0.128389,0.140881,-11.191,3.00e-03,7.6
40,0.128607,0.128622,-11.679,3.00e-03,7.7
41,0.122836,0.128803,-11.564,3.00e-03,7.7
42,0.124067,0.135377,-11.293,3.00e-03,7.6
43,0.119604,0.125523,-11.597,3.00e-03,7.7
44,0.120246,0.125541,-11.662,3.00e-03,7.7
45,0.122279,0.130118,-11.531,3.00e-03,7.7
46,0.112879,0.118923,-11.905,3.00e-03,7.6
47,0.120026,0.129700,-11.554,3.00e-03,7.7
48,0.114730,0.127147,-11.547,3.00e-03,7.6
49,0.110410,0.119789,-11.989,3.00e-03,7.6
50,0.111942,0.117594,-11.917,3.00e-03,7.6
51,0.110732,0.120767,-11.824,3.00e-03,7.7
52,0.108353,0.116473,-11.894,3.00e-03,7.7
53,0.115661,0.136142,-11.519,3.00e-03,7.7
54,0.113589,0.117884,-12.084,3.00e-03,7.7
55,0.109729,0.114082,-12.162,3.00e-03,7.7
56,0.103798,0.131077,-11.771,3.00e-03,7.7
57,0.105434,0.120950,-11.819,3.00e-03,7.6
58,0.105718,0.122874,-11.873,3.00e-03,7.6
59,0.102992,0.111850,-12.287,3.00e-03,7.7
60,0.107242,0.117635,-12.096,3.00e-03,7.6
61,0.105317,0.112668,-12.356,3.00e-03,7.6
62,0.100827,0.115641,-12.120,3.00e-03,7.6
63,0.100345,0.126264,-11.940,3.00e-03,7.7
64,0.100055,0.116300,-12.221,3.00e-03,7.6
65,0.103485,0.113643,-12.315,3.00e-03,7.7
66,0.103679,0.113507,-12.215,3.00e-03,7.6
67,0.097454,0.118724,-12.138,3.00e-03,7.6
68,0.101200,0.108531,-12.499,3.00e-03,7.6
69,0.102263,0.118676,-12.171,3.00e-03,7.7
70,0.095232,0.111071,-12.528,3.00e-03,7.6
71,0.102386,0.110964,-12.509,3.00e-03,7.6
72,0.097100,0.109519,-12.625,3.00e-03,7.7
73,0.093649,0.108287,-12.724,3.00e-03,7.6
74,0.092738,0.106785,-12.749,3.00e-03,7.7
75,0.093603,0.107762,-12.684,3.00e-03,7.7
76,0.094590,0.107251,-12.694,3.00e-03,7.7
77,0.095703,0.115233,-12.689,3.00e-03,7.7
78,0.092695,0.106898,-12.687,3.00e-03,7.7
79,0.091272,0.105722,-12.912,3.00e-03,7.7
80,0.090556,0.104967,-12.773,3.00e-03,7.6
81,0.089775,0.103413,-12.954,3.00e-03,7.7
82,0.094135,0.116742,-12.481,3.00e-03,7.6
83,0.091314,0.107917,-12.860,3.00e-03,7.7
84,0.089975,0.106041,-13.001,3.00e-03,7.7
85,0.091509,0.102349,-13.018,3.00e-03,7.6
86,0.091886,0.102655,-13.146,3.00e-03,7.7
87,0.089381,0.106521,-12.854,3.00e-03,7.7
88,0.089858,0.110395,-12.752,3.00e-03,7.6
89,0.097631,0.109918,-12.898,3.00e-03,7.6
90,0.090089,0.102366,-13.297,3.00e-03,7.6
91,0.087450,0.099549,-13.509,3.00e-03,7.6
92,0.089815,0.101300,-13.414,3.00e-03,7.7
93,0.085444,0.102399,-13.344,3.00e-03,7.7
94,0.087699,0.146238,-12.235,3.00e-03,4.2
95,0.091679,0.101621,-13.455,3.00e-03,7.7
96,0.088473,0.098957,-13.627,3.00e-03,7.6
97,0.083849,0.099174,-13.648,3.00e-03,7.7
98,0.083339,0.101036,-13.724,3.00e-03,7.7
99,0.083871,0.104556,-13.426,3.00e-03,7.7
100,0.085173,0.096258,-13.943,3.00e-03,7.6
101,0.083974,0.096621,-13.843,3.00e-03,7.7
102,0.092642,0.136552,-12.437,3.00e-03,7.6
103,0.086526,0.097409,-13.825,3.00e-03,7.6
