epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.953633,0.809969,-1.602,3.00e-03,6.3
2,0.767746,0.815259,-1.574,3.00e-03,5.9
3,0.768662,0.814069,-1.583,3.00e-03,5.9
4,0.762884,0.805965,-1.628,3.00e-03,6.0
5,0.765472,0.808161,-1.619,3.00e-03,5.9
6,0.762561,0.812684,-1.593,3.00e-03,5.9
7,0.761709,0.799985,-1.751,3.00e-03,5.9
8,0.705486,0.676832,-2.816,3.00e-03,5.9
9,0.523101,0.530383,-4.900,3.00e-03,6.0
10,0.401595,0.424489,-6.973,3.00e-03,5.9
11,0.355114,0.361495,-7.821,3.00e-03,5.9
12,0.314904,0.323812,-8.223,3.00e-03,5.9
13,0.283668,0.316628,-7.600,3.00e-03,5.9
14,0.271194,0.292289,-8.214,3.00e-03,5.9
15,0.255829,0.513029,-5.965,3.00e-03,5.9
16,0.270452,0.285814,-8.948,3.00e-03,5.9
17,0.232328,0.246839,-9.029,3.00e-03,5.9
18,0.230315,0.256839,-9.026,3.00e-03,5.9
19,0.222008,0.259152,-9.284,3.00e-03,5.9
20,0.215937,0.237232,-9.400,3.00e-03,5.9
21,0.226101,0.252788,-8.412,3.00e-03,5.9
22,0.209131,0.217969,-9.322,3.00e-03,5.9
23,0.207059,0.275996,-8.487,3.00e-03,6.0
24,0.201082,0.231395,-9.201,3.00e-03,5.9
25,0.198903,0.225754,-9.197,3.00e-03,6.0
26,0.201663,0.219498,-9.198,3.00e-03,5.9
27,0.189077,0.213675,-9.714,3.00e-03,5.9
28,0.184967,0.199197,-10.077,3.00e-03,6.0
29,0.181907,0.207651,-10.218,3.00e-03,5.9
30,0.175267,0.193306,-10.352,3.00e-03,5.9
31,0.183284,0.208160,-9.983,3.00e-03,5.9
32,0.183055,0.199936,-9.749,3.00e-03,5.9
33,0.167623,0.302291,-9.019,3.00e-03,5.9
34,0.194676,0.206751,-10.703,3.00e-03,5.9
35,0.173157,0.190258,-9.944,3.00e-03,5.9
36,0.164934,0.183280,-10.107,3.00e-03,5.9
37,0.165809,0.188461,-9.704,3.00e-03,5.9
38,0.155831,0.180623,-10.094,3.00e-03,5.9
39,0.150048,0.182112,-10.835,3.00e-03,5.9
40,0.150222,0.179891,-10.439,3.00e-03,5.9
41,0.150019,0.167957,-10.242,3.00e-03,5.9
42,0.143804,0.199622,-9.358,3.00e-03,5.9
43,0.143962,0.178501,-9.834,3.00e-03,5.9
44,0.146202,0.170665,-10.977,3.00e-03,5.9
45,0.138236,0.174534,-10.796,3.00e-03,5.9
46,0.135699,0.195575,-10.799,3.00e-03,5.9
47,0.140250,0.168461,-10.367,3.00e-03,5.9
48,0.140178,0.165524,-10.240,3.00e-03,5.9
49,0.132802,0.170008,-10.544,3.00e-03,6.0
50,0.134166,0.155230,-10.711,3.00e-03,6.0
51,0.132843,0.165521,-10.817,3.00e-03,5.9
52,0.133445,0.157528,-10.429,3.00e-03,5.9
53,0.138987,0.170346,-9.648,3.00e-03,5.9
54,0.133066,0.150440,-10.919,3.00e-03,5.9
55,0.139422,0.157989,-10.490,3.00e-03,5.9
56,0.129241,0.155169,-11.059,3.00e-03,5.9
57,0.124562,0.200021,-10.048,3.00e-03,5.9
58,0.138583,0.149957,-11.128,3.00e-03,5.9
59,0.132496,0.187733,-10.953,3.00e-03,5.9
60,0.125808,0.154725,-10.936,3.00e-03,5.9
61,0.126864,0.154638,-10.865,3.00e-03,6.0
62,0.125417,0.149876,-10.923,3.00e-03,5.9
63,0.122248,0.148504,-11.176,3.00e-03,6.0
64,0.122106,0.163213,-10.857,3.00e-03,5.9
65,0.126979,0.144301,-10.976,3.00e-03,5.9
66,0.123409,0.145176,-11.207,3.00e-03,6.0
67,0.119341,0.144604,-11.205,3.00e-03,5.9
68,0.121398,0.150027,-10.527,3.00e-03,5.9
69,0.120806,0.147697,-11.364,3.00e-03,5.9
70,0.117995,0.154080,-11.326,3.00e-03,5.9
71,0.119067,0.157211,-10.944,3.00e-03,5.9
72,0.123847,0.173412,-10.637,3.00e-03,5.9
73,0.124989,0.158415,-11.474,3.00e-03,5.9
74,0.117416,0.166320,-11.365,3.00e-03,5.9
75,0.117906,0.135464,-11.262,3.00e-03,5.9
76,0.114583,0.148102,-10.936,3.00e-03,5.9
77,0.117496,0.153590,-10.904,3.00e-03,5.9
78,0.121582,0.141952,-11.198,3.00e-03,5.9
79,0.113676,0.155921,-11.332,3.00e-03,5.9
80,0.116987,0.136560,-11.463,3.00e-03,5.9
81,0.115411,0.137896,-11.250,3.00e-03,5.9
82,0.117516,0.139948,-11.226,3.00e-03,5.9
83,0.118518,0.141902,-11.558,3.00e-03,5.9
84,0.114304,0.141889,-11.468,3.00e-03,5.9
85,0.115409,0.140101,-11.108,3.00e-03,5.9
86,0.114861,0.139512,-11.728,3.00e-03,5.9
87,0.117075,0.137010,-11.299,3.00e-03,5.9
88,0.114629,0.138668,-11.584,3.00e-03,5.9
89,0.110991,0.133622,-11.511,3.00e-03,5.9
90,0.111281,0.134032,-11.410,3.00e-03,5.9
91,0.108696,0.134763,-11.452,3.00e-03,5.9
92,0.112942,0.149065,-11.373,3.00e-03,5.9
93,0.113643,0.141740,-11.920,3.00e-03,5.9
94,0.110116,0.132887,-11.507,3.00e-03,5.9
95,0.109017,0.139457,-11.837,3.00e-03,5.9
96,0.106376,0.134175,-12.217,3.00e-03,5.9
97,0.110903,0.130308,-12.067,3.00e-03,5.9
98,0.104920,0.144971,-12.209,3.00e-03,5.9
99,0.110290,0.145517,-12.189,3.00e-03,5.9
100,0.114445,0.128115,-12.257,3.00e-03,5.9
101,0.105680,0.128274,-12.334,3.00e-03,5.9
102,0.106165,0.128851,-12.734,3.00e-03,5.9
103,0.109590,0.158030,-11.919,3.00e-03,5.9
104,0.108102,0.139105,-12.481,3.00e-03,5.9
105,0.104346,0.128143,-12.447,3.00e-03,5.9
106,0.113985,0.135266,-12.377,3.00e-03,5.9
107,0.103013,0.125519,-12.707,3.00e-03,5.9
108,0.105588,0.182678,-11.421,3.00e-03,5.9
109,0.103610,0.126926,-12.692,3.00e-03,5.9
110,0.099998,0.125211,-12.855,3.00e-03,5.9
111,0.099208,0.129585,-12.816,3.00e-03,6.0
112,0.096762,0.132480,-12.872,3.00e-03,5.9
113,0.100250,0.129747,-12.958,3.00e-03,5.9
114,0.099449,0.120918,-13.261,3.00e-03,5.9
115,0.096662,0.120062,-12.985,3.00e-03,5.9
116,0.099251,0.122756,-13.445,3.00e-03,5.9
117,0.093965,0.120430,-13.274,3.00e-03,5.9
118,0.093944,0.136287,-12.479,3.00e-03,5.9
119,0.098068,0.132847,-12.193,3.00e-03,6.0
120,0.097512,0.119776,-13.142,3.00e-03,5.9
121,0.091348,0.137020,-12.686,3.00e-03,5.9
122,0.094395,0.130766,-13.133,3.00e-03,5.9
123,0.087767,0.111774,-13.110,3.00e-03,5.9
124,0.087250,0.117316,-12.798,3.00e-03,5.9
125,0.089797,0.111544,-13.160,3.00e-03,5.9
126,0.086552,0.106987,-13.213,3.00e-03,5.9
127,0.088890,0.112814,-13.069,3.00e-03,5.9
128,0.083573,0.131341,-12.254,3.00e-03,5.9
129,0.086563,0.109178,-12.967,3.00e-03,6.0
130,0.085590,0.112781,-13.126,3.00e-03,5.9
131,0.087568,0.112412,-13.048,3.00e-03,5.9
132,0.085932,0.116655,-12.756,3.00e-03,5.9
133,0.087439,0.121309,-12.372,3.00e-03,5.9
134,0.087575,0.109793,-13.106,3.00e-03,5.9
135,0.083016,0.106503,-13.159,3.00e-03,5.9
136,0.088986,0.110440,-12.707,3.00e-03,5.9
137,0.084446,0.104817,-13.366,3.00e-03,5.9
