width,cosine,esr_db,rmse,gate,golden_md5,typedef_note
8,0.875222,-3.13,8.485890e-02,GATE-FAIL,61f60892b2c4b87237d07d81dcfe5f66,"DT_W<8,5> DT_ACT<8,2> ACC<32,12> table-1025 loader-form"
9,0.955937,-9.49,4.083490e-02,GATE-FAIL,c8f304eef636b86ed641d5a48954a40b,"DT_W<9,5> DT_ACT<9,2> ACC<32,12> table-1025 loader-form"
10,0.975822,-9.86,3.911016e-02,GATE-FAIL,49865ba835afbf018fb13058e0967c1d,"DT_W<10,5> DT_ACT<10,2> ACC<32,12> table-1025 loader-form"
11,0.997644,-22.59,9.034157e-03,GATE-FAIL,b57cd20d71a300033b2c1d7892a27ded,"DT_W<11,5> DT_ACT<11,2> ACC<32,12> table-1025 loader-form"
12,0.991365,-17.6,1.604100e-02,GATE-FAIL,b0614aa3e644e54f658482504d291d60,"DT_W<12,5> DT_ACT<12,2> ACC<32,12> table-1025 loader-form"
13,0.996863,-21.98,9.693091e-03,GATE-FAIL,aea0ff9737891f418fb5bb9ba73c9404,"DT_W<13,5> DT_ACT<13,2> ACC<32,12> table-1025 loader-form"
14,0.999696,-31.79,3.132306e-03,PASS,43b945ed2048fd4fa17234b51781c6af,"DT_W<14,5> DT_ACT<14,2> ACC<32,12> table-1025 loader-form"
15,0.999955,-40.35,1.169523e-03,PASS,5956fefe37c698c39914ca7bcc4fc521,"DT_W<15,5> DT_ACT<15,2> ACC<32,12> table-1025 loader-form"
16,0.999984,-44.6,7.163338e-04,PASS,6e14dd2e74f124246d894b31a936c9e6,"DT_W<16,5> DT_ACT<16,2> ACC<32,12> table-1025 loader-form"
17,0.999999,-57.57,1.609818e-04,PASS,272e8f53b816d2dd5ffdc543537e9ef8,"DT_W<17,5> DT_ACT<17,2> ACC<32,12> table-1025 loader-form"
18,0.999999,-58.87,1.386401e-04,PASS,4802b5385895018f6e85ebe512d4f0ab,"DT_W<18,5> DT_ACT<18,2> ACC<32,12> table-1025 loader-form"
19,1.000000,-67.34,5.228721e-05,PASS,e2838d05dbb213bf09bf6b0296bbbe19,"DT_W<19,5> DT_ACT<19,2> ACC<32,12> table-1025 loader-form"
20,1.000000,-73.7,2.514294e-05,PASS,8d0489e52ed4eb0fa86ccf516965a720,"DT_W<20,5> DT_ACT<20,2> ACC<32,12> table-1025 loader-form"
21,1.000000,-80.66,1.127681e-05,PASS,38d9b095f0e7605e850e03146cba4d34,"DT_W<21,5> DT_ACT<21,2> ACC<32,12> table-1025 loader-form"
22,1.000000,-82.13,9.529361e-06,PASS,23439349914906bd95ee22ffd8322b07,"DT_W<22,5> DT_ACT<22,2> ACC<32,12> table-1025 loader-form"
23,1.000000,-87.42,5.181614e-06,PASS,9e7f22a823415eaa6b2b45f8ba62579b,"DT_W<23,5> DT_ACT<23,2> ACC<32,12> table-1025 loader-form"
24,1.000000,-87.88,4.915018e-06,PASS,f826505dcfbf711f380b4e33550f40ce,"DT_W<24,5> DT_ACT<24,2> ACC<32,12> table-1025 loader-form"
