sample,dry_input,golden_fp32_output
0,0,-0.0125045404
1,0.0326315463,0.0988164991
2,0.0647047609,0.123679459
3,0.0956708565,0.11002551
4,0.125,0.136153013
5,0.152190357,0.145866498
6,0.176776692,0.146850184
7,0.19833833,0.150540844
8,0.216506347,0.153820008
9,0.230969876,0.15376012
10,0.241481453,0.154291853
11,0.247861221,0.154011726
12,0.25,0.153735518
13,0.247861221,0.153541356
14,0.241481453,0.153321609
15,0.230969876,0.153291136
16,0.216506347,0.1532536
17,0.19833833,0.153165132
18,0.176776692,0.152910143
19,0.152190357,0.15254876
20,0.125,0.152336076
21,0.0956708565,0.152520508
22,0.0647047609,0.152931944
23,0.0326315463,0.152722806
24,3.06161713e-17,0.146439791
25,-0.0326315463,0.0937846601
26,-0.0647047609,0.0115244612
27,-0.0956708565,-0.0448797196
28,-0.125,-0.0733921006
29,-0.152190357,-0.0931737795
30,-0.176776692,-0.104150593
31,-0.19833833,-0.114549756
32,-0.216506347,-0.123118244
33,-0.230969876,-0.126919508
34,-0.241481453,-0.12970528
35,-0.247861221,-0.13158612
36,-0.25,-0.13236396
37,-0.247861221,-0.132599279
38,-0.241481453,-0.132557765
39,-0.230969876,-0.132427812
40,-0.216506347,-0.132333994
41,-0.19833833,-0.132294193
42,-0.176776692,-0.132276088
43,-0.152190357,-0.132233709
44,-0.125,-0.132096395
45,-0.0956708565,-0.131812304
46,-0.0647047609,-0.13146688
47,-0.0326315463,-0.131145373
48,-6.12323426e-17,-0.128725648
49,0.0326315463,-0.0818700492
50,0.0647047609,0.00774408877
51,0.0956708565,0.0529804826
52,0.125,0.087582916
53,0.152190357,0.109262317
54,0.176776692,0.122320279
55,0.19833833,0.1308759
56,0.216506347,0.137101039
57,0.230969876,0.141361296
58,0.241481453,0.144373536
59,0.247861221,0.146527991
60,0.25,0.148067564
61,0.247861221,0.1491981
62,0.241481453,0.150023103
63,0.230969876,0.150654539
64,0.216506347,0.151131764
65,0.19833833,0.151416078
66,0.176776692,0.151410356
67,0.152190357,0.151167125
68,0.125,0.150991529
69,0.0956708565,0.151085436
70,0.0647047609,0.151235268
71,0.0326315463,0.150417954
72,9.18485073e-17,0.141295165
73,-0.0326315463,0.0780842453
74,-0.0647047609,0.00587198883
75,-0.0956708565,-0.0489353128
76,-0.125,-0.0758159459
77,-0.152190357,-0.0954791456
78,-0.176776692,-0.106260322
79,-0.19833833,-0.116542943
80,-0.216506347,-0.124847025
81,-0.230969876,-0.128445387
82,-0.241481453,-0.13104552
83,-0.247861221,-0.132784471
