sentinel,GAPGRID-REV1
rule,per model: five-source mean curve; smallest w meeting bar; gap = w_odg - w_esr; grid cell = mean of 6 gaps
esr_bar_db,odg_bar,mean_gap,gap_rodent_max,gap_rodent_mod,gap_gt_max,gap_gt_mod,gap_fl_max,gap_fl_mod,w_esr_rodent_max,w_esr_rodent_mod,w_esr_gt_max,w_esr_gt_mod,w_esr_fl_max,w_esr_fl_mod,w_odg_rodent_max,w_odg_rodent_mod,w_odg_gt_max,w_odg_gt_mod,w_odg_fl_max,w_odg_fl_mod
-20.0,-0.1,6.5,6,6,8,5,8,6,16,14,13,13,14,15,22,20,21,18,22,21
-20.0,-0.2,5.67,5,6,6,5,7,5,16,14,13,13,14,15,21,20,19,18,21,20
-20.0,-0.3,5.33,5,5,6,4,7,5,16,14,13,13,14,15,21,19,19,17,21,20
-20.0,-0.5,4.17,3,4,5,3,6,4,16,14,13,13,14,15,19,18,18,16,20,19
-20.0,-1.0,2.33,1,2,3,2,4,2,16,14,13,13,14,15,17,16,16,15,18,17
-25.0,-0.1,5.67,5,5,7,4,7,6,17,15,14,14,15,15,22,20,21,18,22,21
-25.0,-0.2,4.83,4,5,5,4,6,5,17,15,14,14,15,15,21,20,19,18,21,20
-25.0,-0.3,4.5,4,4,5,3,6,5,17,15,14,14,15,15,21,19,19,17,21,20
-25.0,-0.5,3.33,2,3,4,2,5,4,17,15,14,14,15,15,19,18,18,16,20,19
-25.0,-1.0,1.5,0,1,2,1,3,2,17,15,14,14,15,15,17,16,16,15,18,17
-30.0,-0.1,5.0,5,4,6,4,6,5,17,16,15,14,16,16,22,20,21,18,22,21
-30.0,-0.2,4.17,4,4,4,4,5,4,17,16,15,14,16,16,21,20,19,18,21,20
-30.0,-0.3,3.83,4,3,4,3,5,4,17,16,15,14,16,16,21,19,19,17,21,20
-30.0,-0.5,2.67,2,2,3,2,4,3,17,16,15,14,16,16,19,18,18,16,20,19
-30.0,-1.0,0.83,0,0,1,1,2,1,17,16,15,14,16,16,17,16,16,15,18,17
-35.0,-0.1,4.5,4,4,5,3,6,5,18,16,16,15,16,16,22,20,21,18,22,21
-35.0,-0.2,3.67,3,4,3,3,5,4,18,16,16,15,16,16,21,20,19,18,21,20
-35.0,-0.3,3.33,3,3,3,2,5,4,18,16,16,15,16,16,21,19,19,17,21,20
-35.0,-0.5,2.17,1,2,2,1,4,3,18,16,16,15,16,16,19,18,18,16,20,19
-35.0,-1.0,0.33,-1,0,0,0,2,1,18,16,16,15,16,16,17,16,16,15,18,17
-40.0,-0.1,3.67,3,3,5,2,5,4,19,17,16,16,17,17,22,20,21,18,22,21
-40.0,-0.2,2.83,2,3,3,2,4,3,19,17,16,16,17,17,21,20,19,18,21,20
-40.0,-0.3,2.5,2,2,3,1,4,3,19,17,16,16,17,17,21,19,19,17,21,20
-40.0,-0.5,1.33,0,1,2,0,3,2,19,17,16,16,17,17,19,18,18,16,20,19
-40.0,-1.0,-0.5,-2,-1,0,-1,1,0,19,17,16,16,17,17,17,16,16,15,18,17
