cell,src,width,rho_L,beta_dBdB,n_frames,n_dropped,esr_db,ref_len,test_len,truncated,status,pairs_file,ref,test
rodent_max,nam,8,0.6277,0.1367,8794,0,3.24,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w8_nam_out.f32
rodent_max,nam,9,0.3044,0.0816,8794,0,0.55,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w9_nam_out.f32
rodent_max,nam,10,-0.1002,-0.0406,8794,0,1.30,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w10_nam_out.f32
rodent_max,nam,11,0.0961,0.0519,8794,0,-1.96,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w11_nam_out.f32
rodent_max,nam,12,0.5454,0.3634,8794,0,-0.99,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w12_nam_out.f32
rodent_max,nam,13,0.5134,0.4389,8794,0,-3.06,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w13_nam_out.f32
rodent_max,nam,14,0.1376,0.1108,8794,0,-10.30,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w14_nam_out.f32
rodent_max,nam,15,0.0604,0.0525,8794,0,-14.94,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w15_nam_out.f32
rodent_max,nam,16,-0.1031,-0.0937,8794,0,-22.58,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w16_nam_out.f32
rodent_max,nam,17,-0.1919,-0.1866,8794,0,-30.33,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w17_nam_out.f32
