label,cell,src,width,sf,coh,tilt_db,valley_frac,esr_int_db,n,truncated,ref_len,test_len,test_md5,ref_md5,sec,sentinel,status,pairs_file
elle_w8_nam_out,rodent_max,nam,8,0.05490530273260409,0.4805349783081504,15.596431315353358,0.16588291450856243,3.2355636053213246,9006176,0,9007200,9007200,3F296C382C5471C33B11C605596EE49F,97E3BB545D3B8AE6E46B6FD89CE0F4E5,3.4,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w9_nam_out,rodent_max,nam,9,0.039947647757145446,0.729207692616048,17.369233457029218,0.14393589364775844,0.5484209512783522,9006176,0,9007200,9007200,DD5232220C8E393F9905E01A53B3F473,97E3BB545D3B8AE6E46B6FD89CE0F4E5,2.2,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w10_nam_out,rodent_max,nam,10,0.0471994099611572,0.5038368536404446,16.173882449368293,0.16859269492777612,1.2950240088891007,9006176,0,9007200,9007200,6546FC1A11B87EFA6ABA267A6C4B70FE,97E3BB545D3B8AE6E46B6FD89CE0F4E5,2.2,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w11_nam_out,rodent_max,nam,11,0.05189850986413966,0.594023604291108,15.44340574236934,0.18798614815287162,-1.9554044115022577,9006176,0,9007200,9007200,99473870D1371516BA63833DC2E7D042,97E3BB545D3B8AE6E46B6FD89CE0F4E5,2.2,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w12_nam_out,rodent_max,nam,12,0.031018386821523875,0.6615858953112668,18.637417260673583,0.12437284438955487,-0.9930017934309134,9006176,0,9007200,9007200,FD28C41EA5457587C28D376C69B23F86,97E3BB545D3B8AE6E46B6FD89CE0F4E5,2.2,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w13_nam_out,rodent_max,nam,13,0.045549594623372734,0.46358161684303767,16.186692172398264,0.1674379276675244,-3.06168604578815,9006176,0,9007200,9007200,8BBBB8DA4D6940347E8735FBAD8B09AD,97E3BB545D3B8AE6E46B6FD89CE0F4E5,2.2,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w14_nam_out,rodent_max,nam,14,0.13153076819199672,0.12731005446019103,9.584618148267666,0.3118799732996177,-10.298953128087923,9006176,0,9007200,9007200,CC1E6CDE63E5D5E89B3EC745A312661D,97E3BB545D3B8AE6E46B6FD89CE0F4E5,2.2,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w15_nam_out,rodent_max,nam,15,0.1463861666993824,0.03494668842609238,8.856406715214584,0.3335802743048185,-14.93822457297081,9006176,0,9007200,9007200,97D8E750CAC504BEBCF3E9E0800CDEE2,97E3BB545D3B8AE6E46B6FD89CE0F4E5,3.4,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w16_nam_out,rodent_max,nam,16,0.16753528633159184,0.010657503693255762,8.332892274851355,0.3344095463754372,-22.577029559532818,9006176,0,9007200,9007200,5949BEC17FBF9BCAB86337A1BC8E6110,97E3BB545D3B8AE6E46B6FD89CE0F4E5,3.4,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
elle_w17_nam_out,rodent_max,nam,17,0.18489516551047763,0.0025495118834309824,8.044529170373337,0.31324842214106297,-30.32616979488119,9006176,0,9007200,9007200,E74756001A4221597E43515967DF6218,97E3BB545D3B8AE6E46B6FD89CE0F4E5,2.2,ERRSPEC-T1T3-REV4-2026-09-04,OK,pairs_anchor85.csv
