sentinel,HELDOUT-SRCMEAN-SPAN-REV1-20260908,tau,-20.0,theta,-0.5,esr_md5,1006EEDF2ACE6A4026FB1F0DE7D56B34,peaq_md5,4B3FE06EB40DFF73BBBD7EEE9F3174CA
kind,cell,src,w_esr,w_odg,span
model_srcmean,rodent_max,bass+gtr4ib,16,18,2
model_srcmean,rodent_mod,bass+gtr4ib,14,17,3
model_srcmean,gt_max,bass+gtr4ib,13,17,4
model_srcmean,gt_mod,bass+gtr4ib,13,16,3
model_srcmean,fl_max,bass+gtr4ib,15,19,4
model_srcmean,fl_mod,bass+gtr4ib,15,18,3
pair,rodent_max,bass,16,19,3
pair,rodent_max,gtr4ib,16,17,1
pair,rodent_mod,bass,14,16,2
pair,rodent_mod,gtr4ib,14,17,3
pair,gt_max,bass,13,16,3
pair,gt_max,gtr4ib,13,18,5
pair,gt_mod,bass,13,16,3
pair,gt_mod,gtr4ib,12,16,4
pair,fl_max,bass,15,20,5
pair,fl_max,gtr4ib,14,18,4
pair,fl_mod,bass,15,18,3
pair,fl_mod,gtr4ib,15,17,2
summary,per_model_mean,,,,3.17
summary,per_pair_mean,,,,3.17
