timestamp,cell,width,bit,status,gate,max_abs_err,worst_idx,golden_md5,cyc_total,cyc_hw,us_total,us_hw,ksamp_s,x_rt,fl_secs,fl_ksamp_s,fl_x_rt,fl_md5,fl_out_file,fclk_mhz,note
2025-05-10 19:31:23,fl_max,8,gru_L20_fl_max_w8.bit,OK,NO_REF,,,4495E5A65ECBC2292661A399BD146970,143.50,141.52,1.4350,1.4152,697,14.52,13.32,676,14.1,31B291E7642C4112CD1EFC1E53A08860,board_nam_fl_max_w8.f32,100.0,
2025-05-10 19:32:00,fl_max,9,gru_L20_fl_max_w9.bit,OK,NO_REF,,,17CB5874861057E4783A7C9CE35BA2E4,142.40,140.52,1.4240,1.4052,702,14.63,13.24,681,14.2,223ACB7F6D9BE9503258E01FC2A3582D,board_nam_fl_max_w9.f32,100.0,
2025-05-10 19:32:40,fl_max,10,gru_L20_fl_max_w10.bit,OK,NO_REF,,,E76EDFE950C2BE3B2E6EC26C2612BB88,142.50,140.52,1.4250,1.4052,702,14.62,13.22,681,14.2,9C295820E59895C00EDAEAEFABFDAC7E,board_nam_fl_max_w10.f32,100.0,
2025-05-10 19:33:18,fl_max,11,gru_L20_fl_max_w11.bit,OK,NO_REF,,,DB20B722764E9099D291EC9BEF3BBCF7,142.43,140.52,1.4243,1.4052,702,14.63,13.23,681,14.2,96C42AA7AB5A10457C5DDE91DA72A5F0,board_nam_fl_max_w11.f32,100.0,
2025-05-10 19:33:54,fl_max,12,gru_L20_fl_max_w12.bit,OK,NO_REF,,,472B2B68568814C617D7A6EC4D2FBBDF,142.43,140.52,1.4243,1.4052,702,14.63,13.22,681,14.2,01E652C77798F573315981E717827534,board_nam_fl_max_w12.f32,100.0,
2025-05-10 19:34:34,fl_max,13,gru_L20_fl_max_w13.bit,OK,NO_REF,,,1610CB919148AAC96E2FC98499ED6732,142.42,140.52,1.4242,1.4052,702,14.63,13.22,681,14.2,0A0A9BD3FFD891C0C57F5908F67D6350,board_nam_fl_max_w13.f32,100.0,
2025-05-10 19:35:12,fl_max,14,gru_L20_fl_max_w14.bit,OK,NO_REF,,,85EAF9A99E558F2A6697ED44F7C8A38B,144.45,142.52,1.4445,1.4252,692,14.42,13.41,672,14.0,B6C4689D775ADC6FA6E9CFC4F3B0C42A,board_nam_fl_max_w14.f32,100.0,
2025-05-10 19:35:50,fl_max,15,gru_L20_fl_max_w15.bit,OK,NO_REF,,,EFE4E9118DA72EF9F6E9325262F3E5B2,144.47,142.52,1.4447,1.4252,692,14.42,13.41,672,14.0,AEEA5972E0C63541B1A1DD84E3FCBCCA,board_nam_fl_max_w15.f32,100.0,
2025-05-10 19:36:28,fl_max,16,gru_L20_fl_max_w16.bit,OK,NO_REF,,,EDB9C5E4040BA5E2263857CF8C54FF40,144.42,142.51,1.4442,1.4251,692,14.43,13.40,672,14.0,FF651E893C252FE818EDAD3217B5139F,board_nam_fl_max_w16.f32,100.0,
2025-05-10 19:37:07,fl_max,17,gru_L20_fl_max_w17.bit,OK,NO_REF,,,ED8F3EE6A5C49D7A9AA2E91FB548B0A3,144.44,142.51,1.4444,1.4251,692,14.42,13.41,672,14.0,68E268CDBEC178AAEFFBA232BF79F92E,board_nam_fl_max_w17.f32,100.0,
