cell,width,variant,LUT,FF,BRAM,DSP,path,md5
rodent_max,8,default,17707,12913,4,8,<BITGEN>\reports\gru_L20_rodent_max_w8\gru_bin_version_wrapper_utilization_placed.rpt,140830EDECBB653832430330281EB56E
rodent_max,8,dsp,13865,12822,4,72,<BITGEN>\reports\gru_L20_rodent_max_w8_dsp\gru_bin_version_wrapper_utilization_placed.rpt,7C38416A0B2AF81B0E77005D38BE9C37
rodent_mod,8,default,16756,12152,4,8,<BITGEN>\reports\gru_L20_rodent_mod_w8\gru_bin_version_wrapper_utilization_placed.rpt,6042E84AC5E9F6E87EE09765BC64442D
rodent_mod,8,dsp,13053,12028,4,72,<BITGEN>\reports\gru_L20_rodent_mod_w8_dsp\gru_bin_version_wrapper_utilization_placed.rpt,D9BC54ABBFEE56AAB761633583F7DDDE
gt_max,8,default,17510,12744,4,8,<BITGEN>\reports\gru_L20_gt_max_w8\gru_bin_version_wrapper_utilization_placed.rpt,0AAA4CA9B8A4F5BDE40BE17BDEBFF9EB
gt_max,8,dsp,13770,12647,4,72,<BITGEN>\reports\gru_L20_gt_max_w8_dsp\gru_bin_version_wrapper_utilization_placed.rpt,A4715EA47A62F2BF762928257EB3583A
gt_mod,8,default,17092,12385,4,8,<BITGEN>\reports\gru_L20_gt_mod_w8\gru_bin_version_wrapper_utilization_placed.rpt,D178FB4AA8572AEEB45615ABD7B1AA10
fl_max,8,default,17017,12169,4,8,<BITGEN>\reports\gru_L20_fl_max_w8\gru_bin_version_wrapper_utilization_placed.rpt,554FBA9A0A7447FDD56A91F14AE88FBB
fl_mod,8,default,16903,12229,4,8,<BITGEN>\reports\gru_L20_fl_mod_w8\gru_bin_version_wrapper_utilization_placed.rpt,48DCDA82BECFC11B7B8716C444EAFAC2
fl_mod,8,dsp,13087,12109,4,72,<BITGEN>\reports\gru_L20_fl_mod_w8_dsp\gru_bin_version_wrapper_utilization_placed.rpt,10959B27C928A4979568B8C44A104C38
rodent_max,9,default,14755,13696,4,68,<BITGEN>\reports\gru_L20_rodent_max_w9\gru_bin_version_wrapper_utilization_placed.rpt,867C5065212998964A6BEDDF0CF74A9D
rodent_mod,9,default,14130,13099,4,68,<BITGEN>\reports\gru_L20_rodent_mod_w9\gru_bin_version_wrapper_utilization_placed.rpt,79ED78B7C2192F3DA15FF6D2D22AD0A4
gt_max,9,default,14118,13201,4,68,<BITGEN>\reports\gru_L20_gt_max_w9\gru_bin_version_wrapper_utilization_placed.rpt,B1ADEBBF608381AC17638F5475A63F50
gt_mod,9,default,13881,13365,4,68,<BITGEN>\reports\gru_L20_gt_mod_w9\gru_bin_version_wrapper_utilization_placed.rpt,B7DEC8E0803D34D4B6426C8708197A23
fl_max,9,default,14366,13302,4,68,<BITGEN>\reports\gru_L20_fl_max_w9\gru_bin_version_wrapper_utilization_placed.rpt,082F0E6FCAD9DAE858C46E7DEAE8C52D
fl_mod,9,default,14517,13620,4,68,<BITGEN>\reports\gru_L20_fl_mod_w9\gru_bin_version_wrapper_utilization_placed.rpt,FB44D086B1CDA70DA5D05877D14CB7D6
rodent_max,10,default,15606,14582,4,68,<BITGEN>\reports\gru_L20_rodent_max_w10\gru_bin_version_wrapper_utilization_placed.rpt,E72F16E55FC0667A8155ED70D2BD6D8E
rodent_mod,10,default,15556,14338,4,68,<BITGEN>\reports\gru_L20_rodent_mod_w10\gru_bin_version_wrapper_utilization_placed.rpt,A141A3C58F1924859CCCB8ACAE9631A5
gt_max,10,default,15387,14485,4,68,<BITGEN>\reports\gru_L20_gt_max_w10\gru_bin_version_wrapper_utilization_placed.rpt,16E3851307BC34D0632E9DB3AA0F301D
gt_mod,10,default,15597,14597,4,68,<BITGEN>\reports\gru_L20_gt_mod_w10\gru_bin_version_wrapper_utilization_placed.rpt,4F6E425C24091FC7314C3667B7305B7D
fl_max,10,default,14987,14022,4,69,<BITGEN>\reports\gru_L20_fl_max_w10\gru_bin_version_wrapper_utilization_placed.rpt,392D7BC82033A58515A496E389076278
fl_mod,10,default,15334,14436,4,69,<BITGEN>\reports\gru_L20_fl_mod_w10\gru_bin_version_wrapper_utilization_placed.rpt,D28B85CB9D35BB18665B83A0F81A3EB7
rodent_max,11,default,15967,15903,5,69,<BITGEN>\reports\gru_L20_rodent_max_w11\gru_bin_version_wrapper_utilization_placed.rpt,857B565FD27E71C60353F7571DC6434F
rodent_mod,11,default,15891,15672,5,69,<BITGEN>\reports\gru_L20_rodent_mod_w11\gru_bin_version_wrapper_utilization_placed.rpt,1944BF298E1288B110EDB3234376446E
gt_max,11,default,15980,15821,5,69,<BITGEN>\reports\gru_L20_gt_max_w11\gru_bin_version_wrapper_utilization_placed.rpt,FE218480A415EB2C125CAE068747B888
gt_mod,11,default,16011,15928,5,69,<BITGEN>\reports\gru_L20_gt_mod_w11\gru_bin_version_wrapper_utilization_placed.rpt,86C0B40C2CEC8C2D4DCDF1D95809631F
fl_max,11,default,15930,15722,5,69,<BITGEN>\reports\gru_L20_fl_max_w11\gru_bin_version_wrapper_utilization_placed.rpt,DB4B834B75D5E86DA0DEE515D74FFFB8
fl_mod,11,default,16000,15776,5,69,<BITGEN>\reports\gru_L20_fl_mod_w11\gru_bin_version_wrapper_utilization_placed.rpt,BE0D276C0449E7966FE88D74277C0197
rodent_max,12,default,16764,16830,5,69,<BITGEN>\reports\gru_L20_rodent_max_w12\gru_bin_version_wrapper_utilization_placed.rpt,DA241946ED951274D284D75727285A8F
rodent_mod,12,default,16654,16601,5,69,<BITGEN>\reports\gru_L20_rodent_mod_w12\gru_bin_version_wrapper_utilization_placed.rpt,EE1EB80FAE944C3C3C3900AE0945CF7E
gt_max,12,default,16770,16761,5,69,<BITGEN>\reports\gru_L20_gt_max_w12\gru_bin_version_wrapper_utilization_placed.rpt,C93DE530C23F0BAD3915AF0BC1117B51
gt_mod,12,default,16710,16844,5,69,<BITGEN>\reports\gru_L20_gt_mod_w12\gru_bin_version_wrapper_utilization_placed.rpt,50EDFC9D301A40A5D5B4BD6C7BAA32DE
fl_max,12,default,16793,16597,5,69,<BITGEN>\reports\gru_L20_fl_max_w12\gru_bin_version_wrapper_utilization_placed.rpt,BEC14AFE99108D9BAAA4CBED5EE6A3A1
fl_mod,12,default,16753,16666,5,69,<BITGEN>\reports\gru_L20_fl_mod_w12\gru_bin_version_wrapper_utilization_placed.rpt,F5BDDBD5B642E660E6BAA0D2A639F4A7
rodent_max,13,default,17378,17758,5,69,<BITGEN>\reports\gru_L20_rodent_max_w13\gru_bin_version_wrapper_utilization_placed.rpt,3F18C3A391B3D433217A1F123BD35AC5
rodent_mod,13,default,17399,17557,5,69,<BITGEN>\reports\gru_L20_rodent_mod_w13\gru_bin_version_wrapper_utilization_placed.rpt,7114CC3FC80133E6FD6084FC2D475723
gt_max,13,default,17409,17653,5,69,<BITGEN>\reports\gru_L20_gt_max_w13\gru_bin_version_wrapper_utilization_placed.rpt,4B0D888D68C31171EF139473C34693D0
gt_mod,13,default,17346,17769,5,69,<BITGEN>\reports\gru_L20_gt_mod_w13\gru_bin_version_wrapper_utilization_placed.rpt,72EA361F98B3D738C9B40F77837DE0D7
fl_max,13,default,17411,17544,5,69,<BITGEN>\reports\gru_L20_fl_max_w13\gru_bin_version_wrapper_utilization_placed.rpt,D2141FBAEB8ACF9821492212AEA5B0AE
fl_mod,13,default,17328,17595,5,69,<BITGEN>\reports\gru_L20_fl_mod_w13\gru_bin_version_wrapper_utilization_placed.rpt,BF224CF35BF03BF6CDE7DFA32676B565
rodent_max,14,default,17985,18953,5,72,<BITGEN>\reports\gru_L20_rodent_max_w14\gru_bin_version_wrapper_utilization_placed.rpt,4C5F7C1B612CF4491D93057484B5A4D7
rodent_mod,14,default,17985,18743,5,72,<BITGEN>\reports\gru_L20_rodent_mod_w14\gru_bin_version_wrapper_utilization_placed.rpt,240BAA02FF119FE630D6BC2488F55D08
gt_max,14,default,17999,18836,5,72,<BITGEN>\reports\gru_L20_gt_max_w14\gru_bin_version_wrapper_utilization_placed.rpt,6F8243D6044BE7802A8B4E59287486A7
gt_mod,14,default,18105,18885,5,72,<BITGEN>\reports\gru_L20_gt_mod_w14\gru_bin_version_wrapper_utilization_placed.rpt,C5919BDFC2EBBBF0FFA9912181DD7690
fl_max,14,default,17885,18701,5,72,<BITGEN>\reports\gru_L20_fl_max_w14\gru_bin_version_wrapper_utilization_placed.rpt,760731CD42C5DA13D8FE79A4B7FFBDD5
fl_mod,14,default,17839,18786,5,72,<BITGEN>\reports\gru_L20_fl_mod_w14\gru_bin_version_wrapper_utilization_placed.rpt,5ABA691E38DB9BFE53E557C904050D19
rodent_max,15,default,18267,21072,5,71,<BITGEN>\reports\gru_L20_rodent_max_w15\gru_bin_version_wrapper_utilization_placed.rpt,9066419BA4FE064945E8DE3EED17FE38
rodent_mod,15,default,18242,20792,5,72,<BITGEN>\reports\gru_L20_rodent_mod_w15\gru_bin_version_wrapper_utilization_placed.rpt,19D588C602DE1FB87304CA3EEF00496F
gt_max,15,default,18367,20895,5,72,<BITGEN>\reports\gru_L20_gt_max_w15\gru_bin_version_wrapper_utilization_placed.rpt,94171FEACE871AF672FFB741492CFDA3
gt_mod,15,default,18303,21057,5,72,<BITGEN>\reports\gru_L20_gt_mod_w15\gru_bin_version_wrapper_utilization_placed.rpt,F960EB650572260294D6FEAA84E1C057
fl_max,15,default,18153,20805,5,71,<BITGEN>\reports\gru_L20_fl_max_w15\gru_bin_version_wrapper_utilization_placed.rpt,1D75109CD1A3496DF9E0443F61523F6C
fl_mod,15,default,18173,20848,5,72,<BITGEN>\reports\gru_L20_fl_mod_w15\gru_bin_version_wrapper_utilization_placed.rpt,AD16945BD50B3A044FDE54073E5B08DC
rodent_max,16,default,18556,19761,5,74,<BITGEN>\reports\gru_L20_rodent_max_w16\gru_bin_version_wrapper_utilization_placed.rpt,7B79C8292636B55A82823CDEC963EE68
rodent_mod,16,default,18372,19549,5,74,<BITGEN>\reports\gru_L20_rodent_mod_w16\gru_bin_version_wrapper_utilization_placed.rpt,9107F2EBD7EEDC39FDDCAF03D225CC49
gt_max,16,default,18479,19648,5,76,<BITGEN>\reports\gru_L20_gt_max_w16\gru_bin_version_wrapper_utilization_placed.rpt,8730FC9B22327CBD62DAECB41E99CAAA
gt_mod,16,default,18568,19761,5,76,<BITGEN>\reports\gru_L20_gt_mod_w16\gru_bin_version_wrapper_utilization_placed.rpt,32B6D33EFDE1EBEA7920DD3AF5F6988C
fl_max,16,default,18439,19504,5,73,<BITGEN>\reports\gru_L20_fl_max_w16\gru_bin_version_wrapper_utilization_placed.rpt,74D8C4414827EFF0C00524FFF8CACB9F
fl_mod,16,default,18540,19622,5,71,<BITGEN>\reports\gru_L20_fl_mod_w16\gru_bin_version_wrapper_utilization_placed.rpt,6548BE118BE66F20C2E0C564DAD279F5
rodent_max,17,default,18859,20139,5,74,<BITGEN>\reports\gru_L20_rodent_max_w17\gru_bin_version_wrapper_utilization_placed.rpt,C4143669047B3C2F4EA32111FD6E13AF
rodent_mod,17,default,18691,19916,5,76,<BITGEN>\reports\gru_L20_rodent_mod_w17\gru_bin_version_wrapper_utilization_placed.rpt,320E084EC7E40E716938B35D6F3D8840
gt_max,17,default,18746,20064,5,75,<BITGEN>\reports\gru_L20_gt_max_w17\gru_bin_version_wrapper_utilization_placed.rpt,188895D7B04E7A5D29483A2260A718EF
gt_mod,17,default,18903,20136,5,75,<BITGEN>\reports\gru_L20_gt_mod_w17\gru_bin_version_wrapper_utilization_placed.rpt,97B2D201A07A398E835B55F14D9F8EBC
fl_max,17,default,18684,19932,5,73,<BITGEN>\reports\gru_L20_fl_max_w17\gru_bin_version_wrapper_utilization_placed.rpt,CA2CAC06BFA5C136DAB832CA4E2D5312
fl_mod,17,default,18809,19983,5,76,<BITGEN>\reports\gru_L20_fl_mod_w17\gru_bin_version_wrapper_utilization_placed.rpt,5A483326E688B87BE3F1A96C4AB44C3D
rodent_max,18,default,19121,20524,5,74,<BITGEN>\reports\gru_L20_rodent_max_w18\gru_bin_version_wrapper_utilization_placed.rpt,7E0433E1539D6FADC0C93C36773F4347
rodent_mod,18,default,18976,20336,5,73,<BITGEN>\reports\gru_L20_rodent_mod_w18\gru_bin_version_wrapper_utilization_placed.rpt,6147FDFB4A643C5A7311132FCD050C70
