"point","csim_md5","board_md5","board_file","verdict"
"rodent_max_gtr2_w10","C58AE087F6DD7C513EA3324C824F9DF4","C58AE087F6DD7C513EA3324C824F9DF4","board_gtr2_rodent_max_w10.f32","IDENTICAL"
"rodent_max_gtr2_w11","B81E14621A58CDF69E08A8E8DD8243DD","B81E14621A58CDF69E08A8E8DD8243DD","board_gtr2_rodent_max_w11.f32","IDENTICAL"
"rodent_max_gtr2_w12","9D43D3ABD8A35E125340B43CA0A5D70F","9D43D3ABD8A35E125340B43CA0A5D70F","board_gtr2_rodent_max_w12.f32","IDENTICAL"
"rodent_max_gtr2_w13","8849D366EEE02E0B638E40FABD7FA0C7","8849D366EEE02E0B638E40FABD7FA0C7","board_gtr2_rodent_max_w13.f32","IDENTICAL"
"rodent_max_gtr2_w14","686F3101F9EA2697BDD95E43E359552E","686F3101F9EA2697BDD95E43E359552E","board_gtr2_rodent_max_w14.f32","IDENTICAL"
"rodent_max_gtr2_w15","FCC9B1400CC87E4F6852AEF7DDF41033","FCC9B1400CC87E4F6852AEF7DDF41033","board_gtr2_rodent_max_w15.f32","IDENTICAL"
"rodent_max_gtr2_w16","5913118B34A478267AD617FEB26253C1","5913118B34A478267AD617FEB26253C1","board_gtr2_rodent_max_w16.f32","IDENTICAL"
"rodent_max_gtr2_w17","91AC968D45FE9055A109AE57A4E8E829","91AC968D45FE9055A109AE57A4E8E829","board_gtr2_rodent_max_w17.f32","IDENTICAL"
"rodent_max_gtr2_w18","6BB0F26ED85729DDEC40F45D4548473E","6BB0F26ED85729DDEC40F45D4548473E","board_gtr2_rodent_max_w18.f32","IDENTICAL"
"rodent_max_gtr2_w19","894E8CE488DBB2AF23BB1D21BF0E3EEB","894E8CE488DBB2AF23BB1D21BF0E3EEB","board_gtr2_rodent_max_w19.f32","IDENTICAL"
"rodent_max_gtr2_w20","7344D5E9E8AF5BA1BDFFF9E27167A86A","7344D5E9E8AF5BA1BDFFF9E27167A86A","board_gtr2_rodent_max_w20.f32","IDENTICAL"
"rodent_max_gtr2_w21","BC418CE165B95F42B169219B91C38540","BC418CE165B95F42B169219B91C38540","board_gtr2_rodent_max_w21.f32","IDENTICAL"
"rodent_max_gtr2_w22","2724D877AC7F995FBE4457FBCFF35465","2724D877AC7F995FBE4457FBCFF35465","board_gtr2_rodent_max_w22.f32","IDENTICAL"
"rodent_max_gtr2_w23","F91ED476E900792722A2ECFF0AD44C34","F91ED476E900792722A2ECFF0AD44C34","board_gtr2_rodent_max_w23.f32","IDENTICAL"
"rodent_max_gtr2_w24","E536F699C9FBC90CD7E2DF45B2E9E144","E536F699C9FBC90CD7E2DF45B2E9E144","board_gtr2_rodent_max_w24.f32","IDENTICAL"
"rodent_max_gtr2_w8","D38EE75729C35EEF0E8C1C5FB8CB663E","D38EE75729C35EEF0E8C1C5FB8CB663E","board_gtr2_rodent_max_w8.f32","IDENTICAL"
"rodent_max_gtr2_w9","DE554387C61E5CB1918CD6427F27A936","DE554387C61E5CB1918CD6427F27A936","board_gtr2_rodent_max_w9.f32","IDENTICAL"
"rodent_max_gtr4sg_w10","8096031279477B258371FB65F6D3B82F","8096031279477B258371FB65F6D3B82F","board_gtr4sg_rodent_max_w10.f32","IDENTICAL"
"rodent_max_gtr4sg_w11","01E3CCDE48EA1AEB857B06FB154956FB","01E3CCDE48EA1AEB857B06FB154956FB","board_gtr4sg_rodent_max_w11.f32","IDENTICAL"
"rodent_max_gtr4sg_w12","8CE9B583A8069898F2A25F1E578B3EFC","8CE9B583A8069898F2A25F1E578B3EFC","board_gtr4sg_rodent_max_w12.f32","IDENTICAL"
"rodent_max_gtr4sg_w13","E9A82BE200BB11CD936B4C52BC1F11F5","E9A82BE200BB11CD936B4C52BC1F11F5","board_gtr4sg_rodent_max_w13.f32","IDENTICAL"
"rodent_max_gtr4sg_w14","6FCF9EA84879C4535850B4F7BD4EE66F","6FCF9EA84879C4535850B4F7BD4EE66F","board_gtr4sg_rodent_max_w14.f32","IDENTICAL"
"rodent_max_gtr4sg_w15","8D80E648148E839232FFE2F1A4420887","8D80E648148E839232FFE2F1A4420887","board_gtr4sg_rodent_max_w15.f32","IDENTICAL"
"rodent_max_gtr4sg_w16","905B4F881E9D3BA4A120BC79420001C7","905B4F881E9D3BA4A120BC79420001C7","board_gtr4sg_rodent_max_w16.f32","IDENTICAL"
"rodent_max_gtr4sg_w17","A1237B285A2D57E7F8D507F8DA3B73CD","A1237B285A2D57E7F8D507F8DA3B73CD","board_gtr4sg_rodent_max_w17.f32","IDENTICAL"
"rodent_max_gtr4sg_w18","3C3E743744C41026B43CC2FEB4481CAB","3C3E743744C41026B43CC2FEB4481CAB","board_gtr4sg_rodent_max_w18.f32","IDENTICAL"
"rodent_max_gtr4sg_w19","606BFFF753837ECB42DEB291B697472B","606BFFF753837ECB42DEB291B697472B","board_gtr4sg_rodent_max_w19.f32","IDENTICAL"
"rodent_max_gtr4sg_w20","6A2BDBA6E780544B70BCAC9D6BCE1D22","6A2BDBA6E780544B70BCAC9D6BCE1D22","board_gtr4sg_rodent_max_w20.f32","IDENTICAL"
"rodent_max_gtr4sg_w21","F7D9C2F62656C95BA3B9FA4D75F38AA3","F7D9C2F62656C95BA3B9FA4D75F38AA3","board_gtr4sg_rodent_max_w21.f32","IDENTICAL"
"rodent_max_gtr4sg_w22","5F247DFD0ED04D7961ADBF057E9779D1","5F247DFD0ED04D7961ADBF057E9779D1","board_gtr4sg_rodent_max_w22.f32","IDENTICAL"
"rodent_max_gtr4sg_w23","EEF5252D77CA01D9F2AAB6F02F7648A4","EEF5252D77CA01D9F2AAB6F02F7648A4","board_gtr4sg_rodent_max_w23.f32","IDENTICAL"
"rodent_max_gtr4sg_w24","8C4A5F1CE72D42C8BFCC346386221EAE","8C4A5F1CE72D42C8BFCC346386221EAE","board_gtr4sg_rodent_max_w24.f32","IDENTICAL"
"rodent_max_gtr4sg_w8","202EBA10F7E117F446EFD172C01D905A","202EBA10F7E117F446EFD172C01D905A","board_gtr4sg_rodent_max_w8.f32","IDENTICAL"
"rodent_max_gtr4sg_w9","1A7152C712C588136EC431B081BB70D3","1A7152C712C588136EC431B081BB70D3","board_gtr4sg_rodent_max_w9.f32","IDENTICAL"
"rodent_max_prvtgtr_w10","E829E37751CA7BC5ED083696A2DCE587","E829E37751CA7BC5ED083696A2DCE587","board_prvtgtr_rodent_max_w10.f32","IDENTICAL"
"rodent_max_prvtgtr_w11","1BF92BC810868AA0E5528E68C4ACC0D9","1BF92BC810868AA0E5528E68C4ACC0D9","board_prvtgtr_rodent_max_w11.f32","IDENTICAL"
"rodent_max_prvtgtr_w12","61EF92C356A3F8AA72DDCC438F199391","61EF92C356A3F8AA72DDCC438F199391","board_prvtgtr_rodent_max_w12.f32","IDENTICAL"
"rodent_max_prvtgtr_w13","7AF44C7862C5940DC31F3207521A5017","7AF44C7862C5940DC31F3207521A5017","board_prvtgtr_rodent_max_w13.f32","IDENTICAL"
"rodent_max_prvtgtr_w14","AC6758BE271B096B3B8DD869ACAD9331","AC6758BE271B096B3B8DD869ACAD9331","board_prvtgtr_rodent_max_w14.f32","IDENTICAL"
"rodent_max_prvtgtr_w15","D064C3DE1D919F73D25F585B345B0438","D064C3DE1D919F73D25F585B345B0438","board_prvtgtr_rodent_max_w15.f32","IDENTICAL"
"rodent_max_prvtgtr_w16","104D5C4D292321F7DC9D1F56B7C3EF12","104D5C4D292321F7DC9D1F56B7C3EF12","board_prvtgtr_rodent_max_w16.f32","IDENTICAL"
"rodent_max_prvtgtr_w17","B2FB230400D41C39A1A00401A6985F89","B2FB230400D41C39A1A00401A6985F89","board_prvtgtr_rodent_max_w17.f32","IDENTICAL"
"rodent_max_prvtgtr_w18","F3147D2347CDDA398A3CF1613430310B","F3147D2347CDDA398A3CF1613430310B","board_prvtgtr_rodent_max_w18.f32","IDENTICAL"
"rodent_max_prvtgtr_w19","52DF4BF47F7D800F6177D205512C13EA","52DF4BF47F7D800F6177D205512C13EA","board_prvtgtr_rodent_max_w19.f32","IDENTICAL"
"rodent_max_prvtgtr_w20","E5734BE56E69C3C08AF607EFF313ED65","E5734BE56E69C3C08AF607EFF313ED65","board_prvtgtr_rodent_max_w20.f32","IDENTICAL"
"rodent_max_prvtgtr_w21","05EA1873E3C83370643BB3343C951ECD","05EA1873E3C83370643BB3343C951ECD","board_prvtgtr_rodent_max_w21.f32","IDENTICAL"
"rodent_max_prvtgtr_w22","406CCE303A7204B69B5318F5E84A1B96","406CCE303A7204B69B5318F5E84A1B96","board_prvtgtr_rodent_max_w22.f32","IDENTICAL"
"rodent_max_prvtgtr_w23","ECDBB7CE35F8294A714F66AEC960AB77","ECDBB7CE35F8294A714F66AEC960AB77","board_prvtgtr_rodent_max_w23.f32","IDENTICAL"
"rodent_max_prvtgtr_w24","18379629FDB5C91254B801403A9D5C04","18379629FDB5C91254B801403A9D5C04","board_prvtgtr_rodent_max_w24.f32","IDENTICAL"
"rodent_max_prvtgtr_w8","D25A589F73CF320754D730B623951213","D25A589F73CF320754D730B623951213","board_prvtgtr_rodent_max_w8.f32","IDENTICAL"
"rodent_max_prvtgtr_w9","C414B6E80608B251E1AE12973F3104EA","C414B6E80608B251E1AE12973F3104EA","board_prvtgtr_rodent_max_w9.f32","IDENTICAL"
"rodent_max_ytbass_w10","9BF3B1DC97F838C10B0FBB5C3395211F","9BF3B1DC97F838C10B0FBB5C3395211F","board_ytbass_rodent_max_w10.f32","IDENTICAL"
"rodent_max_ytbass_w11","7496547081AD6C1E4D3D0F4988406BBA","7496547081AD6C1E4D3D0F4988406BBA","board_ytbass_rodent_max_w11.f32","IDENTICAL"
"rodent_max_ytbass_w12","9666CDA9882CC5CA26682FD899A4B3CA","9666CDA9882CC5CA26682FD899A4B3CA","board_ytbass_rodent_max_w12.f32","IDENTICAL"
"rodent_max_ytbass_w13","201FA9443F9EEB818506DEBB3D2290DF","201FA9443F9EEB818506DEBB3D2290DF","board_ytbass_rodent_max_w13.f32","IDENTICAL"
"rodent_max_ytbass_w14","AE93F700CCCF664D090632A9649638C2","AE93F700CCCF664D090632A9649638C2","board_ytbass_rodent_max_w14.f32","IDENTICAL"
"rodent_max_ytbass_w15","1968CFF47B7ABE6A93B3911A25702E0E","1968CFF47B7ABE6A93B3911A25702E0E","board_ytbass_rodent_max_w15.f32","IDENTICAL"
"rodent_max_ytbass_w16","CAAEC5BA0B1CC96562244DBE43E3955D","CAAEC5BA0B1CC96562244DBE43E3955D","board_ytbass_rodent_max_w16.f32","IDENTICAL"
"rodent_max_ytbass_w17","C4F19CE26D237DC7F3A07930C96CAF02","C4F19CE26D237DC7F3A07930C96CAF02","board_ytbass_rodent_max_w17.f32","IDENTICAL"
"rodent_max_ytbass_w18","D43D615D545ED992FED93A2BDBD622CE","D43D615D545ED992FED93A2BDBD622CE","board_ytbass_rodent_max_w18.f32","IDENTICAL"
"rodent_max_ytbass_w19","7B307F524F39DBECEB85CB14EF6A9ECA","7B307F524F39DBECEB85CB14EF6A9ECA","board_ytbass_rodent_max_w19.f32","IDENTICAL"
