"point","csim_md5","board_md5","board_file","verdict"
"rodent_max_nam_w8","3F296C382C5471C33B11C605596EE49F","3F296C382C5471C33B11C605596EE49F","board_nam_rodent_max_w8.f32","IDENTICAL"
"rodent_max_nam_w9","DD5232220C8E393F9905E01A53B3F473","DD5232220C8E393F9905E01A53B3F473","board_nam_rodent_max_w9.f32","IDENTICAL"
"rodent_max_nam_w10","6546FC1A11B87EFA6ABA267A6C4B70FE","6546FC1A11B87EFA6ABA267A6C4B70FE","board_nam_rodent_max_w10.f32","IDENTICAL"
"rodent_max_nam_w11","99473870D1371516BA63833DC2E7D042","99473870D1371516BA63833DC2E7D042","board_nam_rodent_max_w11.f32","IDENTICAL"
"rodent_max_nam_w12","FD28C41EA5457587C28D376C69B23F86","FD28C41EA5457587C28D376C69B23F86","board_nam_rodent_max_w12.f32","IDENTICAL"
"rodent_max_nam_w13","8BBBB8DA4D6940347E8735FBAD8B09AD","8BBBB8DA4D6940347E8735FBAD8B09AD","board_nam_rodent_max_w13.f32","IDENTICAL"
"rodent_max_nam_w14","CC1E6CDE63E5D5E89B3EC745A312661D","CC1E6CDE63E5D5E89B3EC745A312661D","board_nam_rodent_max_w14.f32","IDENTICAL"
"rodent_max_nam_w15","97D8E750CAC504BEBCF3E9E0800CDEE2","97D8E750CAC504BEBCF3E9E0800CDEE2","board_nam_rodent_max_w15.f32","IDENTICAL"
"rodent_max_nam_w16","5949BEC17FBF9BCAB86337A1BC8E6110","5949BEC17FBF9BCAB86337A1BC8E6110","board_nam_rodent_max_w16.f32","IDENTICAL"
"rodent_max_nam_w17","E74756001A4221597E43515967DF6218","E74756001A4221597E43515967DF6218","board_nam_rodent_max_w17.f32","IDENTICAL"
"rodent_max_nam_w18","B05CF4BDE90AA21CD17A3742CF0EF177","B05CF4BDE90AA21CD17A3742CF0EF177","board_nam_rodent_max_w18.f32","IDENTICAL"
"rodent_max_nam_w19","3CB3736716C655703DFE4C3B9CDDDE32","3CB3736716C655703DFE4C3B9CDDDE32","board_nam_rodent_max_w19.f32","IDENTICAL"
"rodent_max_nam_w20","59E3F6C84B3AD441D69FC09EDF2D4577","59E3F6C84B3AD441D69FC09EDF2D4577","board_nam_out_fused_L20.f32","IDENTICAL"
"rodent_max_nam_w21","DB1BC593EBB5D1449DEDCB8C774E9D24","DB1BC593EBB5D1449DEDCB8C774E9D24","board_nam_rodent_max_w21.f32","IDENTICAL"
"rodent_max_nam_w22","03C0C54ECD9FAE5628B4B573771B3851","03C0C54ECD9FAE5628B4B573771B3851","board_nam_rodent_max_w22.f32","IDENTICAL"
"rodent_max_nam_w23","106F6DE4544AB5968D291214012B3BAA","106F6DE4544AB5968D291214012B3BAA","board_nam_rodent_max_w23.f32","IDENTICAL"
"rodent_max_nam_w24","1239C373611C1CCAAA43EBF536B06089","1239C373611C1CCAAA43EBF536B06089","board_nam_rodent_max_w24.f32","IDENTICAL"
