# B1CMP-REV1-2026-08-10
point,csim_md5,board_md5,verdict
fl_max_w10,e76edfe950c2be3b2e6ec26c2612bb88,e76edfe950c2be3b2e6ec26c2612bb88,IDENTICAL
fl_max_w11,db20b722764e9099d291ec9bef3bbcf7,db20b722764e9099d291ec9bef3bbcf7,IDENTICAL
fl_max_w12,472b2b68568814c617d7a6ec4d2fbbdf,472b2b68568814c617d7a6ec4d2fbbdf,IDENTICAL
fl_max_w13,1610cb919148aac96e2fc98499ed6732,1610cb919148aac96e2fc98499ed6732,IDENTICAL
fl_max_w14,85eaf9a99e558f2a6697ed44f7c8a38b,85eaf9a99e558f2a6697ed44f7c8a38b,IDENTICAL
fl_max_w15,efe4e9118da72ef9f6e9325262f3e5b2,efe4e9118da72ef9f6e9325262f3e5b2,IDENTICAL
fl_max_w16,edb9c5e4040ba5e2263857cf8c54ff40,edb9c5e4040ba5e2263857cf8c54ff40,IDENTICAL
fl_max_w17,ed8f3ee6a5c49d7a9aa2e91fb548b0a3,ed8f3ee6a5c49d7a9aa2e91fb548b0a3,IDENTICAL
fl_max_w18,4cd5f5144d59c8963a75ad8237ddb3c6,4cd5f5144d59c8963a75ad8237ddb3c6,IDENTICAL
fl_max_w19,0543fa6fc848796d2345a19dc03a6359,0543fa6fc848796d2345a19dc03a6359,IDENTICAL
fl_max_w20,5bddbfee37757e0c41cf81bba6f042fc,5bddbfee37757e0c41cf81bba6f042fc,IDENTICAL
fl_max_w21,6cbb88474326ba5e45df67be2cd35f3b,6cbb88474326ba5e45df67be2cd35f3b,IDENTICAL
fl_max_w22,d530ae54c5e6d58395f2d9c575dcd8ea,d530ae54c5e6d58395f2d9c575dcd8ea,IDENTICAL
fl_max_w23,f214e58b50876afa30af3192880e27f3,f214e58b50876afa30af3192880e27f3,IDENTICAL
fl_max_w24,6b983da9abc7e45075807e886d265c0f,6b983da9abc7e45075807e886d265c0f,IDENTICAL
fl_max_w8,4495e5a65ecbc2292661a399bd146970,4495e5a65ecbc2292661a399bd146970,IDENTICAL
fl_max_w9,17cb5874861057e4783a7c9ce35ba2e4,17cb5874861057e4783a7c9ce35ba2e4,IDENTICAL
fl_mod_w10,078b9e1062975376baec1fe1384b4566,078b9e1062975376baec1fe1384b4566,IDENTICAL
fl_mod_w11,99b8da05ad1ef2041e3d61e556e37104,99b8da05ad1ef2041e3d61e556e37104,IDENTICAL
fl_mod_w12,393856bb1001af13faac2c62c5d23f22,393856bb1001af13faac2c62c5d23f22,IDENTICAL
fl_mod_w13,08d94a1158bd21c76acd950e48f8454c,08d94a1158bd21c76acd950e48f8454c,IDENTICAL
fl_mod_w14,1010fbe7710fff3321d46290fdb029d3,1010fbe7710fff3321d46290fdb029d3,IDENTICAL
fl_mod_w15,4f02c870ce5ba86692836e6977848484,4f02c870ce5ba86692836e6977848484,IDENTICAL
fl_mod_w16,ee989ed3acab180e43220a7cbcf791ab,ee989ed3acab180e43220a7cbcf791ab,IDENTICAL
fl_mod_w17,c3303ad0906bb4a6cfcb09bd5b8aa528,c3303ad0906bb4a6cfcb09bd5b8aa528,IDENTICAL
fl_mod_w18,c5944aaeb2b38a236d36ec4189bf556d,c5944aaeb2b38a236d36ec4189bf556d,IDENTICAL
fl_mod_w19,814db5064559181e05e51672ba34eacc,814db5064559181e05e51672ba34eacc,IDENTICAL
fl_mod_w20,57893f15116c71807d8fad765bf0970e,57893f15116c71807d8fad765bf0970e,IDENTICAL
fl_mod_w21,25f255762e362a977fad3c991730a8ef,25f255762e362a977fad3c991730a8ef,IDENTICAL
fl_mod_w22,19efac6cde7ea2b5ad70b40753c3cd40,19efac6cde7ea2b5ad70b40753c3cd40,IDENTICAL
fl_mod_w23,a79c05ddddea014f1c1c05b8083dd1b3,a79c05ddddea014f1c1c05b8083dd1b3,IDENTICAL
fl_mod_w24,3706617083b8712cd16569b0c55629b2,3706617083b8712cd16569b0c55629b2,IDENTICAL
fl_mod_w8,0b825ea3a7513ae3cf4280f989fde27d,0b825ea3a7513ae3cf4280f989fde27d,IDENTICAL
fl_mod_w9,48bd9edef220137fb0abc6c8f93bd45d,48bd9edef220137fb0abc6c8f93bd45d,IDENTICAL
gt_max_w10,c3c1cf56abe2037238d0b2f8b2ca6477,c3c1cf56abe2037238d0b2f8b2ca6477,IDENTICAL
gt_max_w11,c17092c21b16be31bde5de01ec21c22b,c17092c21b16be31bde5de01ec21c22b,IDENTICAL
