"dest_path","Hash"
"<EVIDENCE>\repo\repro_pack_20260910\.gitignore","A18C1DAB0F0EA1DAFC7094476E863B7C"
"<EVIDENCE>\repo\repro_pack_20260910\build_expected.py","85462D6207DFCADF719514F3D84E04BD"
"<EVIDENCE>\repo\repro_pack_20260910\dump_csv.py","BC3D82AC0F4110B80F69671E7867FFB2"
"<EVIDENCE>\repo\repro_pack_20260910\expected_golden.csv","C1DBD46D92632E76C26BF80F04A4B2BF"
"<EVIDENCE>\repo\repro_pack_20260910\export_testdata_csv.py","556D5D9CADF26D14C2FADF26C5C3FF6F"
"<EVIDENCE>\repo\repro_pack_20260910\README.md","BC5379D79F16364DD920EB68DF9FA0D1"
"<EVIDENCE>\repo\repro_pack_20260910\repro_golden.tcl","D4C5B5C7E15B2021809D4D8B3FD9A36C"
"<EVIDENCE>\repo\repro_pack_20260910\repro_verify.py","662B525C03254026F1385CAEFEFC4BAE"
"<EVIDENCE>\repo\repro_pack_20260910\run_repro.ps1","C1096087B1B7AC58F23E33EAFF561376"
"<EVIDENCE>\repo\repro_pack_20260910\csim_logs\gru_va_csim_w11.log","F511866D764F049F5E316D75DC35BAB2"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl.log","D16D6483653BE0181F348BCFDE82E608"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl_23476.backup.log","461D556B10DE3B3977947F984A5A55CC"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl_26444.backup.log","F9B248B0008917832C44871FBD932636"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl_26992.backup.log","1FFB7B30D9E2613C4ECE9BAB58069F89"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl_28736.backup.log","228FC3EFAF0EF87155D60083623EDE76"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl_3860.backup.log","963FF34FC532B477029A06EAAE9F827F"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl_54608.backup.log","E506A4E4C7122D22F39AF1FA487A7DE9"
"<EVIDENCE>\repo\repro_pack_20260910\logs\hls_run_tcl_58012.backup.log","D5D9385122D396314B63F453EE78C230"
"<EVIDENCE>\repo\repro_pack_20260910\out\golden_repro_w11.csv","013C18549532AB0D3D0DC75BF1CD3189"
"<EVIDENCE>\repo\repro_pack_20260910\out\golden_repro_w11.f32","B57CD20D71A300033B2C1D7892A27DED"
"<EVIDENCE>\repo\repro_pack_20260910\out\golden_repro_w19.csv","B37FAE265EE3C2FD7EC3C67E7AB240F2"
"<EVIDENCE>\repo\repro_pack_20260910\out\golden_repro_w19.f32","E2838D05DBB213BF09BF6B0296BBBE19"
"<EVIDENCE>\repo\repro_pack_20260910\out\golden_repro_w20.csv","0B65481C4CA00FC223D91E5C7CF8AFCB"
"<EVIDENCE>\repo\repro_pack_20260910\out\golden_repro_w20.f32","8D0489E52ED4EB0FA86CCF516965A720"
"<EVIDENCE>\repo\repro_pack_20260910\src\gru_load.cpp","4505FFD7BF6BFF304ACFB38E6C8322A2"
"<EVIDENCE>\repo\repro_pack_20260910\src\gru_va.h","77C589842851D672496C39BBB450A315"
"<EVIDENCE>\repo\repro_pack_20260910\src\gru_va_col_fused_mac3.cpp","018DADB53BD63BE08CF4E938F4049616"
"<EVIDENCE>\repo\repro_pack_20260910\src\gru_va_tb_fm2.cpp","4E52E54C828614F70AB40CF3C60FCC81"
"<EVIDENCE>\repo\repro_pack_20260910\src\gru_weights.h","817B0A7716AA5A733D6B8859E698EEC3"
"<EVIDENCE>\repo\repro_pack_20260910\src\tanh_table.h","8179555888E29B34A6688DF519FF312E"
"<EVIDENCE>\repo\repro_pack_20260910\src\weights.h","A83A81382D4506322AA31E241AD2DC30"
"<EVIDENCE>\repo\repro_pack_20260910\testdata\golden_input.bin","607F8F6FBF8D191B8B35C264A665A829"
"<EVIDENCE>\repo\repro_pack_20260910\testdata\golden_output.bin","0B2625DD8252AA87417179E40798B2A5"
"<EVIDENCE>\repo\repro_pack_20260910\testdata\golden_testdata.csv","3E128E96337B86B146F1AA604C290301"
