cell,width,arm,report_dir,lut,ff,bram,dsp,wns_ns
fl_max,8,base,gru_L20_fl_max_w8,17017,12169,4.0,8,0.066
fl_max,9,base,gru_L20_fl_max_w9,14366,13302,4.0,68,0.518
fl_max,10,base,gru_L20_fl_max_w10,14987,14022,4.0,69,0.243
fl_max,11,base,gru_L20_fl_max_w11,15930,15722,5.0,69,0.5
fl_max,12,base,gru_L20_fl_max_w12,16793,16597,5.0,69,0.315
fl_max,13,base,gru_L20_fl_max_w13,17411,17544,5.0,69,0.563
fl_max,14,base,gru_L20_fl_max_w14,17885,18701,5.0,72,0.779
fl_max,15,base,gru_L20_fl_max_w15,18153,20805,5.0,71,0.54
fl_max,16,base,gru_L20_fl_max_w16,18439,19504,5.0,73,0.826
fl_max,17,base,gru_L20_fl_max_w17,18684,19932,5.0,73,0.788
fl_max,18,base,gru_L20_fl_max_w18,18966,20291,5.0,75,0.699
fl_max,19,base,gru_L20_fl_max_w19,19476,20745,5.0,75,0.339
fl_max,20,base,gru_L20_fl_max_w20,24509,23469,6.0,70,0.039
fl_max,21,base,gru_L20_fl_max_w21,26575,24197,6.0,70,0.025
fl_max,22,dsp,gru_L20_fl_max_w22_dsp,19911,22905,6.0,135,0.111
fl_max,23,base,gru_L20_fl_max_w23,20670,23523,6.0,130,0.25
fl_max,24,base,gru_L20_fl_max_w24,20664,23781,6.0,133,0.046
fl_mod,8,dsp,gru_L20_fl_mod_w8_dsp,13087,12109,4.0,72,0.444
fl_mod,9,base,gru_L20_fl_mod_w9,14517,13620,4.0,68,0.656
fl_mod,10,base,gru_L20_fl_mod_w10,15334,14436,4.0,69,0.521
fl_mod,11,base,gru_L20_fl_mod_w11,16000,15776,5.0,69,0.382
fl_mod,12,base,gru_L20_fl_mod_w12,16753,16666,5.0,69,0.37
fl_mod,13,base,gru_L20_fl_mod_w13,17328,17595,5.0,69,0.611
fl_mod,14,base,gru_L20_fl_mod_w14,17839,18786,5.0,72,0.608
fl_mod,15,base,gru_L20_fl_mod_w15,18173,20848,5.0,72,0.408
fl_mod,16,base,gru_L20_fl_mod_w16,18540,19622,5.0,71,0.904
fl_mod,17,base,gru_L20_fl_mod_w17,18809,19983,5.0,76,0.891
fl_mod,18,base,gru_L20_fl_mod_w18,19012,20395,5.0,74,0.534
fl_mod,19,base,gru_L20_fl_mod_w19,19605,20873,5.0,73,0.934
fl_mod,20,base,gru_L20_fl_mod_w20,24413,23599,6.0,70,0.018
fl_mod,21,dsp,gru_L20_fl_mod_w21_dsp,19817,22534,6.0,135,0.091
fl_mod,22,dsp,gru_L20_fl_mod_w22_dsp,19973,22932,6.0,135,0.137
fl_mod,23,base,gru_L20_fl_mod_w23,20595,23554,6.0,131,0.108
fl_mod,24,base,gru_L20_fl_mod_w24,20689,23939,6.0,133,0.347
gt_max,8,dsp,gru_L20_gt_max_w8_dsp,13770,12647,4.0,72,0.636
gt_max,9,base,gru_L20_gt_max_w9,14118,13201,4.0,68,0.563
gt_max,10,base,gru_L20_gt_max_w10,15387,14485,4.0,68,0.478
gt_max,11,base,gru_L20_gt_max_w11,15980,15821,5.0,69,0.493
gt_max,12,base,gru_L20_gt_max_w12,16770,16761,5.0,69,0.565
gt_max,13,base,gru_L20_gt_max_w13,17409,17653,5.0,69,0.617
gt_max,14,base,gru_L20_gt_max_w14,17999,18836,5.0,72,0.516
gt_max,15,base,gru_L20_gt_max_w15,18367,20895,5.0,72,0.508
gt_max,16,base,gru_L20_gt_max_w16,18479,19648,5.0,76,0.719
gt_max,17,base,gru_L20_gt_max_w17,18746,20064,5.0,75,0.202
gt_max,18,base,gru_L20_gt_max_w18,19073,20473,5.0,71,0.732
gt_max,19,base,gru_L20_gt_max_w19,19575,20892,5.0,76,0.226
gt_max,20,base,gru_L20_gt_max_w20,24288,23614,6.0,74,0.039
gt_max,21,dsp_best,gru_L20_gt_max_w21_dsp_best,19826,22650,6.0,133,0.336
gt_max,22,dsp,gru_L20_gt_max_w22_dsp,20003,23013,6.0,135,0.107
gt_max,23,base,gru_L20_gt_max_w23,20698,23667,6.0,130,0.294
gt_max,24,base,gru_L20_gt_max_w24,20942,24035,6.0,131,0.137
gt_mod,8,base,gru_L20_gt_mod_w8,17092,12385,4.0,8,0.071
gt_mod,9,base,gru_L20_gt_mod_w9,13881,13365,4.0,68,0.32
gt_mod,10,base,gru_L20_gt_mod_w10,15597,14597,4.0,68,0.301
gt_mod,11,base,gru_L20_gt_mod_w11,16011,15928,5.0,69,0.398
gt_mod,12,base,gru_L20_gt_mod_w12,16710,16844,5.0,69,0.593
gt_mod,13,base,gru_L20_gt_mod_w13,17346,17769,5.0,69,0.48
gt_mod,14,base,gru_L20_gt_mod_w14,18105,18885,5.0,72,0.441
gt_mod,15,base,gru_L20_gt_mod_w15,18303,21057,5.0,72,0.36
gt_mod,16,base,gru_L20_gt_mod_w16,18568,19761,5.0,76,0.469
gt_mod,17,base,gru_L20_gt_mod_w17,18903,20136,5.0,75,0.312
gt_mod,18,base,gru_L20_gt_mod_w18,19109,20540,5.0,74,0.431
gt_mod,19,base,gru_L20_gt_mod_w19,19697,20988,5.0,76,0.416
gt_mod,20,base,gru_L20_gt_mod_w20,24117,23750,6.0,73,0.163
gt_mod,21,dsp,gru_L20_gt_mod_w21_dsp,19833,22757,6.0,133,0.145
gt_mod,22,dsp,gru_L20_gt_mod_w22_dsp,19992,23084,6.0,135,0.32
gt_mod,23,base,gru_L20_gt_mod_w23,20729,23769,6.0,130,0.229
gt_mod,24,base,gru_L20_gt_mod_w24,20942,24065,6.0,132,0.04
rodent_max,8,dsp,gru_L20_rodent_max_w8_dsp,13865,12822,4.0,72,0.554
rodent_max,9,base,gru_L20_rodent_max_w9,14755,13696,4.0,68,0.515
rodent_max,10,base,gru_L20_rodent_max_w10,15606,14582,4.0,68,0.43
rodent_max,11,base,gru_L20_rodent_max_w11,15967,15903,5.0,69,0.621
rodent_max,12,base,gru_L20_rodent_max_w12,16764,16830,5.0,69,0.521
rodent_max,13,base,gru_L20_rodent_max_w13,17378,17758,5.0,69,0.518
rodent_max,14,base,gru_L20_rodent_max_w14,17985,18953,5.0,72,0.97
rodent_max,15,base,gru_L20_rodent_max_w15,18267,21072,5.0,71,0.374
rodent_max,16,base,gru_L20_rodent_max_w16,18556,19761,5.0,74,0.935
rodent_max,17,base,gru_L20_rodent_max_w17,18859,20139,5.0,74,0.75
rodent_max,18,base,gru_L20_rodent_max_w18,19121,20524,5.0,74,0.97
rodent_max,19,base,gru_L20_rodent_max_w19,19618,20997,5.0,75,0.173
rodent_max,20,base,gru_L20_rodent_max_w20,24172,23759,6.0,70,0.039
rodent_max,21,dsp,gru_L20_rodent_max_w21_dsp,19855,22783,6.0,134,0.122
rodent_max,22,dsp_best,gru_L20_rodent_max_w22_dsp_best,20042,23129,6.0,135,0.22
rodent_max,23,base,gru_L20_rodent_max_w23,20790,23800,6.0,131,0.077
rodent_max,24,base,gru_L20_rodent_max_w24,20825,24041,6.0,132,0.368
