width,n_default,n_deployed,LUT_max_default,FF_max_default,BRAM_max_default,DSP_max_default,LUT_max_deployed,FF_max_deployed,BRAM_max_deployed,DSP_max_deployed,FF_max_deployed_cell,LUT_max_deployed_cell
8,6,6,17707,12913,4,8,17092,12822,4,72,rodent_max,gt_mod
9,6,6,14755,13696,4,68,14755,13696,4,68,rodent_max,rodent_max
10,6,6,15606,14597,4,69,15606,14597,4,69,gt_mod,rodent_max
11,6,6,16011,15928,5,69,16011,15928,5,69,gt_mod,gt_mod
12,6,6,16793,16844,5,69,16793,16844,5,69,gt_mod,fl_max
13,6,6,17411,17769,5,69,17411,17769,5,69,gt_mod,fl_max
14,6,6,18105,18953,5,72,18105,18953,5,72,rodent_max,gt_mod
15,6,6,18367,21072,5,72,18367,21072,5,72,rodent_max,gt_max
16,6,6,18568,19761,5,76,18568,19761,5,76,rodent_max,gt_mod
17,6,6,18903,20139,5,76,18903,20139,5,76,rodent_max,gt_mod
18,6,6,19121,20540,5,75,19121,20540,5,75,gt_mod,rodent_max
19,6,6,19697,20997,5,76,19697,20997,5,76,rodent_max,gt_mod
20,6,6,24509,23759,6,74,24509,23759,6,74,rodent_max,fl_max
21,6,6,27083,24410,6,70,26575,24197,6,135,fl_max,fl_max
22,6,6,28423,24861,6,71,20042,23129,6,135,rodent_max,rodent_max
23,6,6,20790,23800,6,131,20790,23800,6,131,rodent_max,rodent_max
24,6,6,20942,24065,6,133,20942,24065,6,133,gt_mod,gt_max
