cell,source,width,value
rodent_max,gtr2,8,2.83
rodent_max,gtr2,9,0.79
rodent_max,gtr2,10,1.54
rodent_max,gtr2,11,-0.82
rodent_max,gtr2,12,-1.29
rodent_max,gtr2,13,-3.34
rodent_max,gtr2,14,-10.63
rodent_max,gtr2,15,-15.94
rodent_max,gtr2,16,-22.90
rodent_max,gtr2,17,-29.90
rodent_max,gtr2,18,-37.17
rodent_max,gtr2,19,-44.72
rodent_max,gtr2,20,-52.14
rodent_max,gtr2,21,-57.82
rodent_max,gtr2,22,-67.78
rodent_max,gtr2,23,-68.12
rodent_max,gtr2,24,-68.73
rodent_max,gtr4sg,8,4.94
rodent_max,gtr4sg,9,1.06
rodent_max,gtr4sg,10,1.08
rodent_max,gtr4sg,11,-0.67
rodent_max,gtr4sg,12,-1.48
rodent_max,gtr4sg,13,-2.80
rodent_max,gtr4sg,14,-13.38
rodent_max,gtr4sg,15,-17.68
rodent_max,gtr4sg,16,-26.37
rodent_max,gtr4sg,17,-33.62
rodent_max,gtr4sg,18,-40.95
rodent_max,gtr4sg,19,-47.62
rodent_max,gtr4sg,20,-53.77
rodent_max,gtr4sg,21,-58.94
rodent_max,gtr4sg,22,-69.22
rodent_max,gtr4sg,23,-69.50
rodent_max,gtr4sg,24,-70.03
rodent_max,prvtgtr,8,3.83
rodent_max,prvtgtr,9,0.19
rodent_max,prvtgtr,10,0.42
rodent_max,prvtgtr,11,-1.28
rodent_max,prvtgtr,12,-1.82
rodent_max,prvtgtr,13,-3.77
rodent_max,prvtgtr,14,-12.72
rodent_max,prvtgtr,15,-17.77
rodent_max,prvtgtr,16,-26.74
rodent_max,prvtgtr,17,-34.04
rodent_max,prvtgtr,18,-42.28
rodent_max,prvtgtr,19,-48.88
rodent_max,prvtgtr,20,-55.10
rodent_max,prvtgtr,21,-59.04
rodent_max,prvtgtr,22,-68.16
rodent_max,prvtgtr,23,-67.80
rodent_max,prvtgtr,24,-68.04
rodent_max,ytbass,8,1.97
rodent_max,ytbass,9,-0.00
rodent_max,ytbass,10,0.86
rodent_max,ytbass,11,-1.30
rodent_max,ytbass,12,-1.52
rodent_max,ytbass,13,-2.76
rodent_max,ytbass,14,-10.34
rodent_max,ytbass,15,-15.16
rodent_max,ytbass,16,-23.41
rodent_max,ytbass,17,-31.79
rodent_max,ytbass,18,-40.74
rodent_max,ytbass,19,-48.40
rodent_max,ytbass,20,-53.95
rodent_max,ytbass,21,-58.84
rodent_max,ytbass,22,-61.89
rodent_max,ytbass,23,-62.01
rodent_max,ytbass,24,-64.00
rodent_max,nam,8,3.24
rodent_max,nam,9,0.55
rodent_max,nam,10,1.30
rodent_max,nam,11,-1.96
rodent_max,nam,12,-0.99
rodent_max,nam,13,-3.06
rodent_max,nam,14,-10.30
rodent_max,nam,15,-14.94
rodent_max,nam,16,-22.58
rodent_max,nam,17,-30.33
rodent_max,nam,18,-38.22
rodent_max,nam,19,-46.15
rodent_max,nam,20,-53.07
rodent_max,nam,21,-58.30
rodent_max,nam,22,-67.78
rodent_max,nam,23,-67.52
rodent_max,nam,24,-68.19
rodent_mod,gtr2,8,1.55
rodent_mod,gtr2,9,2.70
rodent_mod,gtr2,10,2.63
rodent_mod,gtr2,11,3.85
rodent_mod,gtr2,12,-4.18
rodent_mod,gtr2,13,-12.68
rodent_mod,gtr2,14,-21.48
rodent_mod,gtr2,15,-27.39
rodent_mod,gtr2,16,-36.05
rodent_mod,gtr2,17,-43.41
rodent_mod,gtr2,18,-51.50
rodent_mod,gtr2,19,-58.04
rodent_mod,gtr2,20,-64.11
rodent_mod,gtr2,21,-68.85
rodent_mod,gtr2,22,-75.21
rodent_mod,gtr2,23,-76.43
rodent_mod,gtr2,24,-77.11
rodent_mod,gtr4sg,8,0.91
rodent_mod,gtr4sg,9,1.69
rodent_mod,gtr4sg,10,2.25
rodent_mod,gtr4sg,11,2.74
rodent_mod,gtr4sg,12,-3.16
rodent_mod,gtr4sg,13,-13.92
rodent_mod,gtr4sg,14,-24.35
rodent_mod,gtr4sg,15,-31.94
rodent_mod,gtr4sg,16,-39.53
rodent_mod,gtr4sg,17,-45.92
rodent_mod,gtr4sg,18,-53.20
rodent_mod,gtr4sg,19,-59.24
rodent_mod,gtr4sg,20,-65.34
rodent_mod,gtr4sg,21,-69.80
rodent_mod,gtr4sg,22,-76.68
rodent_mod,gtr4sg,23,-77.85
rodent_mod,gtr4sg,24,-78.40
rodent_mod,prvtgtr,8,0.42
rodent_mod,prvtgtr,9,1.49
rodent_mod,prvtgtr,10,2.24
rodent_mod,prvtgtr,11,2.62
rodent_mod,prvtgtr,12,-5.08
rodent_mod,prvtgtr,13,-12.34
rodent_mod,prvtgtr,14,-22.82
rodent_mod,prvtgtr,15,-28.46
rodent_mod,prvtgtr,16,-34.88
rodent_mod,prvtgtr,17,-40.37
rodent_mod,prvtgtr,18,-45.54
rodent_mod,prvtgtr,19,-50.76
rodent_mod,prvtgtr,20,-55.46
rodent_mod,prvtgtr,21,-60.02
rodent_mod,prvtgtr,22,-70.69
rodent_mod,prvtgtr,23,-70.65
rodent_mod,prvtgtr,24,-70.84
rodent_mod,ytbass,8,1.89
rodent_mod,ytbass,9,2.18
rodent_mod,ytbass,10,1.96
rodent_mod,ytbass,11,2.20
rodent_mod,ytbass,12,-4.70
rodent_mod,ytbass,13,-11.88
rodent_mod,ytbass,14,-20.52
rodent_mod,ytbass,15,-27.34
rodent_mod,ytbass,16,-36.85
rodent_mod,ytbass,17,-43.92
rodent_mod,ytbass,18,-51.47
rodent_mod,ytbass,19,-57.18
rodent_mod,ytbass,20,-62.71
rodent_mod,ytbass,21,-67.24
rodent_mod,ytbass,22,-74.49
rodent_mod,ytbass,23,-74.80
rodent_mod,ytbass,24,-75.50
rodent_mod,nam,8,1.23
rodent_mod,nam,9,3.96
rodent_mod,nam,10,3.26
rodent_mod,nam,11,3.48
rodent_mod,nam,12,-6.58
rodent_mod,nam,13,-11.25
rodent_mod,nam,14,-21.26
rodent_mod,nam,15,-27.40
