"BUILD-MATRICES-REV2-20260910 ESR (dB) float-ref, cell x width per source, verbatim from board_music_esr.csv 15933EF54E97EA231873EB4F7A8EB397 + board_nam_metrics.csv F6368AE660A9239ED7DD151630D5D8C2"

source: gtr2
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
rodent_max,2.83,0.79,1.54,-0.82,-1.29,-3.34,-10.63,-15.94,-22.90,-29.90,-37.17,-44.72,-52.14,-57.82,-67.78,-68.12,-68.73
rodent_mod,1.55,2.70,2.63,3.85,-4.18,-12.68,-21.48,-27.39,-36.05,-43.41,-51.50,-58.04,-64.11,-68.85,-75.21,-76.43,-77.11
gt_max,3.34,-3.78,-2.15,-7.61,-11.64,-20.46,-26.59,-32.16,-38.02,-45.13,-52.38,-58.93,-64.80,-69.61,-77.07,-77.71,-77.58
gt_mod,-3.39,-3.98,-7.68,-12.21,-18.59,-23.74,-30.85,-36.82,-43.48,-49.39,-56.43,-64.24,-69.21,-76.09,-85.55,-85.34,-85.63
fl_max,1.50,0.34,0.92,0.57,0.02,-11.52,-20.60,-27.71,-34.39,-41.04,-47.97,-55.37,-61.56,-63.98,-72.33,-74.43,-75.37
fl_mod,7.04,3.09,0.08,0.20,0.02,-12.11,-21.28,-29.49,-36.93,-43.79,-50.71,-57.78,-64.22,-70.18,-76.85,-79.38,-80.49

source: gtr4sg
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
rodent_max,4.94,1.06,1.08,-0.67,-1.48,-2.80,-13.38,-17.68,-26.37,-33.62,-40.95,-47.62,-53.77,-58.94,-69.22,-69.50,-70.03
rodent_mod,0.91,1.69,2.25,2.74,-3.16,-13.92,-24.35,-31.94,-39.53,-45.92,-53.20,-59.24,-65.34,-69.80,-76.68,-77.85,-78.40
gt_max,2.23,-5.32,-4.48,-10.94,-14.88,-24.87,-30.11,-35.20,-40.97,-47.64,-53.61,-59.65,-65.41,-70.65,-78.97,-79.77,-79.66
gt_mod,-0.20,-4.79,-8.85,-15.94,-20.96,-28.66,-35.92,-42.11,-48.75,-53.17,-59.35,-66.57,-70.60,-76.77,-86.77,-86.41,-86.66
fl_max,1.10,-0.05,0.25,0.32,0.10,-0.95,-22.52,-29.02,-35.87,-42.10,-47.84,-55.36,-61.90,-67.52,-72.85,-75.64,-76.46
fl_mod,7.20,2.39,0.27,0.12,0.10,-0.02,-8.70,-26.80,-36.95,-45.05,-52.41,-59.28,-64.73,-70.69,-77.67,-79.18,-80.28

source: prvtgtr
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
rodent_max,3.83,0.19,0.42,-1.28,-1.82,-3.77,-12.72,-17.77,-26.74,-34.04,-42.28,-48.88,-55.10,-59.04,-68.16,-67.80,-68.04
rodent_mod,0.42,1.49,2.24,2.62,-5.08,-12.34,-22.82,-28.46,-34.88,-40.37,-45.54,-50.76,-55.46,-60.02,-70.69,-70.65,-70.84
gt_max,5.32,-3.95,-4.49,-9.79,-14.51,-23.48,-29.76,-35.89,-42.58,-48.75,-53.96,-59.37,-63.67,-68.04,-77.09,-77.89,-77.20
gt_mod,4.21,-0.17,-9.19,-13.53,-20.17,-26.56,-34.13,-39.17,-43.41,-48.41,-53.09,-58.51,-62.94,-66.96,-76.46,-76.51,-76.59
fl_max,1.71,-0.07,0.27,0.33,0.09,-5.99,-22.37,-30.35,-38.55,-44.78,-49.77,-56.34,-62.89,-67.41,-74.38,-76.37,-76.77
fl_mod,6.82,2.21,0.21,0.12,0.07,-0.05,-8.74,-26.89,-38.22,-45.50,-54.40,-61.75,-66.73,-72.55,-79.21,-79.64,-80.15

source: ytbass
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
