cell,source,width,value
rodent_max,gtr2,8,5.8272
rodent_max,gtr2,9,8.5558
rodent_max,gtr2,10,5.3638
rodent_max,gtr2,11,2.2819
rodent_max,gtr2,12,3.4644
rodent_max,gtr2,13,2.3595
rodent_max,gtr2,14,6.3142
rodent_max,gtr2,15,3.1341
rodent_max,gtr2,16,-2.9792
rodent_max,gtr2,17,-8.9650
rodent_max,gtr2,18,-14.5552
rodent_max,gtr2,19,-19.8968
rodent_max,gtr2,20,-25.7767
rodent_max,gtr2,21,-31.0582
rodent_max,gtr2,22,-37.6417
rodent_max,gtr2,23,-39.6182
rodent_max,gtr2,24,-40.1792
rodent_max,gtr4sg,8,4.9071
rodent_max,gtr4sg,9,4.5737
rodent_max,gtr4sg,10,-0.0370
rodent_max,gtr4sg,11,-0.1992
rodent_max,gtr4sg,12,-0.1462
rodent_max,gtr4sg,13,9.0972
rodent_max,gtr4sg,14,3.4458
rodent_max,gtr4sg,15,2.2325
rodent_max,gtr4sg,16,-2.8123
rodent_max,gtr4sg,17,-9.5073
rodent_max,gtr4sg,18,-14.5736
rodent_max,gtr4sg,19,-19.3189
rodent_max,gtr4sg,20,-24.5689
rodent_max,gtr4sg,21,-29.1034
rodent_max,gtr4sg,22,-34.4306
rodent_max,gtr4sg,23,-35.3173
rodent_max,gtr4sg,24,-35.9808
rodent_max,prvtgtr,8,12.2625
rodent_max,prvtgtr,9,8.0052
rodent_max,prvtgtr,10,3.3826
rodent_max,prvtgtr,11,1.0285
rodent_max,prvtgtr,12,5.6902
rodent_max,prvtgtr,13,10.0070
rodent_max,prvtgtr,14,8.1398
rodent_max,prvtgtr,15,4.8113
rodent_max,prvtgtr,16,1.8834
rodent_max,prvtgtr,17,-3.7053
rodent_max,prvtgtr,18,-7.5439
rodent_max,prvtgtr,19,-11.2793
rodent_max,prvtgtr,20,-16.1629
rodent_max,prvtgtr,21,-20.4542
rodent_max,prvtgtr,22,-25.3488
rodent_max,prvtgtr,23,-25.6049
rodent_max,prvtgtr,24,-25.5354
rodent_max,ytbass,8,9.3529
rodent_max,ytbass,9,11.9421
rodent_max,ytbass,10,6.3643
rodent_max,ytbass,11,0.8556
rodent_max,ytbass,12,-0.5626
rodent_max,ytbass,13,2.4692
rodent_max,ytbass,14,8.4598
rodent_max,ytbass,15,8.3868
rodent_max,ytbass,16,3.6534
rodent_max,ytbass,17,-1.7372
rodent_max,ytbass,18,-7.6530
rodent_max,ytbass,19,-13.3238
rodent_max,ytbass,20,-18.9857
rodent_max,ytbass,21,-24.0694
rodent_max,ytbass,22,-30.0099
rodent_max,ytbass,23,-32.1292
rodent_max,ytbass,24,-32.8412
rodent_max,nam,8,14.2456
rodent_max,nam,9,6.7580
rodent_max,nam,10,8.5664
rodent_max,nam,11,6.2747
rodent_max,nam,12,5.9043
rodent_max,nam,13,14.7156
rodent_max,nam,14,13.6068
rodent_max,nam,15,9.2312
rodent_max,nam,16,5.0522
rodent_max,nam,17,-0.3267
rodent_max,nam,18,-5.6106
rodent_max,nam,19,-11.1336
rodent_max,nam,20,-16.8866
rodent_max,nam,21,-21.2251
rodent_max,nam,22,-27.8330
rodent_max,nam,23,-28.5317
rodent_max,nam,24,-28.5020
rodent_mod,gtr2,8,17.1928
rodent_mod,gtr2,9,22.6741
rodent_mod,gtr2,10,10.3528
rodent_mod,gtr2,11,4.4907
rodent_mod,gtr2,12,20.0882
rodent_mod,gtr2,13,15.2392
rodent_mod,gtr2,14,10.4249
rodent_mod,gtr2,15,4.8988
rodent_mod,gtr2,16,-1.4070
rodent_mod,gtr2,17,-8.1989
rodent_mod,gtr2,18,-14.6408
rodent_mod,gtr2,19,-20.6922
rodent_mod,gtr2,20,-26.5201
rodent_mod,gtr2,21,-31.9399
rodent_mod,gtr2,22,-37.5754
rodent_mod,gtr2,23,-40.3546
rodent_mod,gtr2,24,-41.4487
rodent_mod,gtr4sg,8,13.8317
rodent_mod,gtr4sg,9,18.5360
rodent_mod,gtr4sg,10,9.3741
rodent_mod,gtr4sg,11,3.4006
rodent_mod,gtr4sg,12,16.9940
rodent_mod,gtr4sg,13,12.0634
rodent_mod,gtr4sg,14,7.2377
rodent_mod,gtr4sg,15,1.9612
rodent_mod,gtr4sg,16,-3.6232
rodent_mod,gtr4sg,17,-9.6642
rodent_mod,gtr4sg,18,-15.5122
rodent_mod,gtr4sg,19,-21.1335
rodent_mod,gtr4sg,20,-26.9024
rodent_mod,gtr4sg,21,-32.1392
rodent_mod,gtr4sg,22,-37.9193
rodent_mod,gtr4sg,23,-40.0169
rodent_mod,gtr4sg,24,-40.9540
rodent_mod,prvtgtr,8,16.8831
rodent_mod,prvtgtr,9,21.4060
rodent_mod,prvtgtr,10,14.9837
rodent_mod,prvtgtr,11,3.9670
rodent_mod,prvtgtr,12,20.3257
rodent_mod,prvtgtr,13,14.2608
rodent_mod,prvtgtr,14,8.3834
rodent_mod,prvtgtr,15,2.3648
rodent_mod,prvtgtr,16,-3.8665
rodent_mod,prvtgtr,17,-10.1241
rodent_mod,prvtgtr,18,-16.2977
rodent_mod,prvtgtr,19,-21.8661
rodent_mod,prvtgtr,20,-26.8259
rodent_mod,prvtgtr,21,-31.0177
rodent_mod,prvtgtr,22,-34.9091
rodent_mod,prvtgtr,23,-35.3266
rodent_mod,prvtgtr,24,-35.4824
rodent_mod,ytbass,8,16.6423
rodent_mod,ytbass,9,21.3024
rodent_mod,ytbass,10,12.2478
rodent_mod,ytbass,11,7.3833
rodent_mod,ytbass,12,20.0371
rodent_mod,ytbass,13,13.9869
rodent_mod,ytbass,14,8.4255
rodent_mod,ytbass,15,3.1085
rodent_mod,ytbass,16,-2.6372
rodent_mod,ytbass,17,-8.7053
rodent_mod,ytbass,18,-14.7088
rodent_mod,ytbass,19,-20.7220
rodent_mod,ytbass,20,-26.7657
rodent_mod,ytbass,21,-32.3703
rodent_mod,ytbass,22,-38.4589
rodent_mod,ytbass,23,-40.9924
rodent_mod,ytbass,24,-41.9071
rodent_mod,nam,8,18.97
rodent_mod,nam,9,22.62
rodent_mod,nam,10,20.34
rodent_mod,nam,11,16.75
rodent_mod,nam,12,22.59
rodent_mod,nam,13,17.52
rodent_mod,nam,14,12.65
rodent_mod,nam,15,6.95
rodent_mod,nam,16,1.1
rodent_mod,nam,17,-4.91
rodent_mod,nam,18,-10.33
rodent_mod,nam,19,-14.44
rodent_mod,nam,20,-23.1
rodent_mod,nam,21,-20.98
rodent_mod,nam,22,-30.51
rodent_mod,nam,23,-32.46
rodent_mod,nam,24,-29.93
gt_max,gtr2,8,27.7848
gt_max,gtr2,9,19.1223
gt_max,gtr2,10,18.8878
gt_max,gtr2,11,15.9240
gt_max,gtr2,12,12.9412
gt_max,gtr2,13,11.7027
gt_max,gtr2,14,7.6558
gt_max,gtr2,15,2.7954
gt_max,gtr2,16,-2.8331
gt_max,gtr2,17,-9.2511
gt_max,gtr2,18,-15.8147
gt_max,gtr2,19,-22.5166
gt_max,gtr2,20,-28.5684
gt_max,gtr2,21,-33.2137
