cell,source,width,value
rodent_max,gtr2,8,-3.862
rodent_max,gtr2,9,-3.870
rodent_max,gtr2,10,-3.796
rodent_max,gtr2,11,-3.661
rodent_max,gtr2,12,-3.371
rodent_max,gtr2,13,-3.726
rodent_max,gtr2,14,-3.687
rodent_max,gtr2,15,-2.750
rodent_max,gtr2,16,-1.634
rodent_max,gtr2,17,-0.855
rodent_max,gtr2,18,-0.485
rodent_max,gtr2,19,-0.254
rodent_max,gtr2,20,-0.078
rodent_max,gtr2,21,-0.003
rodent_max,gtr2,22,0.043
rodent_max,gtr2,23,0.068
rodent_max,gtr2,24,0.079
rodent_max,gtr4sg,8,-2.596
rodent_max,gtr4sg,9,-2.251
rodent_max,gtr4sg,10,-2.027
rodent_max,gtr4sg,11,-1.645
rodent_max,gtr4sg,12,-1.489
rodent_max,gtr4sg,13,-2.531
rodent_max,gtr4sg,14,-2.710
rodent_max,gtr4sg,15,-1.854
rodent_max,gtr4sg,16,-0.983
rodent_max,gtr4sg,17,-0.632
rodent_max,gtr4sg,18,-0.408
rodent_max,gtr4sg,19,-0.183
rodent_max,gtr4sg,20,0.001
rodent_max,gtr4sg,21,0.073
rodent_max,gtr4sg,22,0.006
rodent_max,gtr4sg,23,0.024
rodent_max,gtr4sg,24,0.030
rodent_max,prvtgtr,8,-3.804
rodent_max,prvtgtr,9,-3.458
rodent_max,prvtgtr,10,-3.174
rodent_max,prvtgtr,11,-2.179
rodent_max,prvtgtr,12,-1.590
rodent_max,prvtgtr,13,-3.455
rodent_max,prvtgtr,14,-3.103
rodent_max,prvtgtr,15,-1.957
rodent_max,prvtgtr,16,-1.048
rodent_max,prvtgtr,17,-0.682
rodent_max,prvtgtr,18,-0.500
rodent_max,prvtgtr,19,-0.354
rodent_max,prvtgtr,20,-0.220
rodent_max,prvtgtr,21,-0.189
rodent_max,prvtgtr,22,-0.086
rodent_max,prvtgtr,23,-0.065
rodent_max,prvtgtr,24,-0.061
rodent_max,ytbass,8,-3.802
rodent_max,ytbass,9,-3.789
rodent_max,ytbass,10,-3.555
rodent_max,ytbass,11,-3.123
rodent_max,ytbass,12,-1.985
rodent_max,ytbass,13,-3.010
rodent_max,ytbass,14,-3.811
rodent_max,ytbass,15,-3.541
rodent_max,ytbass,16,-2.535
rodent_max,ytbass,17,-1.666
rodent_max,ytbass,18,-1.240
rodent_max,ytbass,19,-1.062
rodent_max,ytbass,20,-0.803
rodent_max,ytbass,21,-0.488
rodent_max,ytbass,22,-0.254
rodent_max,ytbass,23,-0.225
rodent_max,ytbass,24,-0.104
rodent_max,nam,8,-3.820
rodent_max,nam,9,-3.552
rodent_max,nam,10,-3.774
rodent_max,nam,11,-3.850
