"BUILD-MATRICES-REV2-20260910 PEAQ ODG, cell x width per source, verbatim from peaq_fleet_REV3.csv D0A7849ECB312C88194FDEC512A1D5BF"

source: gtr2
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
rodent_max,-3.862,-3.870,-3.796,-3.661,-3.371,-3.726,-3.687,-2.750,-1.634,-0.855,-0.485,-0.254,-0.078,-0.003,0.043,0.068,0.079
rodent_mod,-3.907,-3.905,-3.886,-3.799,-3.873,-3.667,-2.868,-1.957,-1.185,-0.639,-0.356,-0.175,0.011,0.090,0.152,0.172,0.178
gt_max,-3.910,-3.906,-3.888,-3.879,-3.773,-3.198,-2.199,-1.444,-0.957,-0.631,-0.382,-0.170,-0.164,0.104,0.164,0.169,0.170
gt_mod,-3.913,-3.909,-3.905,-3.883,-3.750,-3.078,-1.847,-0.943,-0.488,-0.230,-0.118,0.046,0.119,0.156,0.182,0.183,0.183
fl_max,-3.905,-3.880,-3.700,-3.340,-3.115,-3.810,-2.492,-2.061,-1.590,-0.802,-0.455,-0.140,-0.114,0.092,0.150,0.172,0.179
fl_mod,-3.910,-3.893,-3.790,-3.578,-3.347,-3.582,-2.521,-2.005,-1.475,-0.784,-0.450,-0.206,-0.015,0.090,0.151,0.177,0.185

source: gtr4sg
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
rodent_max,-2.596,-2.251,-2.027,-1.645,-1.489,-2.531,-2.710,-1.854,-0.983,-0.632,-0.408,-0.183,0.001,0.073,0.006,0.024,0.030
rodent_mod,-3.902,-3.822,-2.399,-1.795,-3.857,-3.202,-2.080,-1.337,-0.878,-0.569,-0.325,-0.166,0.029,0.099,0.157,0.174,0.178
gt_max,-3.889,-3.838,-3.684,-3.425,-2.715,-2.065,-1.635,-1.387,-0.968,-0.664,-0.388,-0.209,-0.107,0.078,0.158,0.162,0.163
gt_mod,-3.905,-3.869,-3.765,-3.535,-2.695,-1.553,-1.066,-0.620,-0.354,-0.192,-0.044,0.070,0.127,0.161,0.186,0.187,0.187
fl_max,-3.300,-2.994,-3.176,-2.666,-2.437,-3.662,-2.210,-1.855,-1.397,-0.798,-0.449,-0.218,-0.043,0.087,0.138,0.159,0.164
fl_mod,-3.577,-3.498,-3.044,-2.702,-2.517,-1.752,-3.262,-1.694,-1.133,-0.672,-0.393,-0.174,0.034,0.108,0.160,0.180,0.186

source: prvtgtr
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
