label,esr_db,mrstft
board_gtr2_rodent_mod_w8,1.55,
board_gtr4sg_rodent_mod_w8,0.91,
board_prvtgtr_rodent_mod_w8,0.42,
board_ytbass_rodent_mod_w8,1.89,
board_gtr2_rodent_mod_w9,2.70,
board_gtr4sg_rodent_mod_w9,1.69,
board_prvtgtr_rodent_mod_w9,1.49,
board_ytbass_rodent_mod_w9,2.18,
board_gtr2_rodent_mod_w10,2.63,
board_gtr4sg_rodent_mod_w10,2.25,
board_prvtgtr_rodent_mod_w10,2.24,
board_ytbass_rodent_mod_w10,1.96,
board_gtr2_rodent_mod_w11,3.85,
board_gtr4sg_rodent_mod_w11,2.74,
board_prvtgtr_rodent_mod_w11,2.62,
board_ytbass_rodent_mod_w11,2.20,
board_gtr2_rodent_mod_w12,-4.18,
board_gtr4sg_rodent_mod_w12,-3.16,
board_prvtgtr_rodent_mod_w12,-5.08,
board_ytbass_rodent_mod_w12,-4.70,
board_gtr2_rodent_mod_w13,-12.68,
board_gtr4sg_rodent_mod_w13,-13.92,
board_prvtgtr_rodent_mod_w13,-12.34,
board_ytbass_rodent_mod_w13,-11.88,
board_gtr2_rodent_mod_w14,-21.48,
board_gtr4sg_rodent_mod_w14,-24.35,
board_prvtgtr_rodent_mod_w14,-22.82,
board_ytbass_rodent_mod_w14,-20.52,
board_gtr2_rodent_mod_w15,-27.39,
board_gtr4sg_rodent_mod_w15,-31.94,
board_prvtgtr_rodent_mod_w15,-28.46,
board_ytbass_rodent_mod_w15,-27.34,
board_gtr2_rodent_mod_w16,-36.05,
board_gtr4sg_rodent_mod_w16,-39.53,
board_prvtgtr_rodent_mod_w16,-34.88,
board_ytbass_rodent_mod_w16,-36.85,
board_gtr2_rodent_mod_w17,-43.41,
board_gtr4sg_rodent_mod_w17,-45.92,
board_prvtgtr_rodent_mod_w17,-40.37,
board_ytbass_rodent_mod_w17,-43.92,
board_gtr2_rodent_mod_w18,-51.50,
board_gtr4sg_rodent_mod_w18,-53.20,
board_prvtgtr_rodent_mod_w18,-45.54,
board_ytbass_rodent_mod_w18,-51.47,
board_gtr2_rodent_mod_w19,-58.04,
board_gtr4sg_rodent_mod_w19,-59.24,
board_prvtgtr_rodent_mod_w19,-50.76,
board_ytbass_rodent_mod_w19,-57.18,
board_gtr2_rodent_mod_w20,-64.11,
board_gtr4sg_rodent_mod_w20,-65.34,
board_prvtgtr_rodent_mod_w20,-55.46,
board_ytbass_rodent_mod_w20,-62.71,
board_gtr2_rodent_mod_w21,-68.85,
board_gtr4sg_rodent_mod_w21,-69.80,
board_prvtgtr_rodent_mod_w21,-60.02,
board_ytbass_rodent_mod_w21,-67.24,
board_gtr2_rodent_mod_w22,-75.21,
board_gtr4sg_rodent_mod_w22,-76.68,
board_prvtgtr_rodent_mod_w22,-70.69,
board_ytbass_rodent_mod_w22,-74.49,
board_gtr2_rodent_mod_w23,-76.43,
board_gtr4sg_rodent_mod_w23,-77.85,
board_prvtgtr_rodent_mod_w23,-70.65,
board_ytbass_rodent_mod_w23,-74.80,
board_gtr2_rodent_mod_w24,-77.11,
board_gtr4sg_rodent_mod_w24,-78.40,
board_prvtgtr_rodent_mod_w24,-70.84,
board_ytbass_rodent_mod_w24,-75.50,
board_gtr2_gt_max_w8,3.34,
board_gtr4sg_gt_max_w8,2.23,
board_prvtgtr_gt_max_w8,5.32,
board_ytbass_gt_max_w8,2.84,
board_gtr2_gt_max_w9,-3.78,
board_gtr4sg_gt_max_w9,-5.32,
board_prvtgtr_gt_max_w9,-3.95,
board_ytbass_gt_max_w9,-1.43,
board_gtr2_gt_max_w10,-2.15,
