label,nmr_db,frames,voiced_frames,skip,sentinel
board_gtr2_rodent_mod_w8,17.1928,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w8,13.8317,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w8,16.8831,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w8,16.6423,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w9,22.6741,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w9,18.5360,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w9,21.4060,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w9,21.3024,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w10,10.3528,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w10,9.3741,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w10,14.9837,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w10,12.2478,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w11,4.4907,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w11,3.4006,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w11,3.9670,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w11,7.3833,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w12,20.0882,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w12,16.9940,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w12,20.3257,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w12,20.0371,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w13,15.2392,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w13,12.0634,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w13,14.2608,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w13,13.9869,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w14,10.4249,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w14,7.2377,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w14,8.3834,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w14,8.4255,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w15,4.8988,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w15,1.9612,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w15,2.3648,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w15,3.1085,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w16,-1.4070,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w16,-3.6232,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w16,-3.8665,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w16,-2.6372,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w17,-8.1989,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w17,-9.6642,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w17,-10.1241,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w17,-8.7053,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w18,-14.6408,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w18,-15.5122,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w18,-16.2977,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w18,-14.7088,28387,28387,1024,NMR-REV2
board_gtr2_rodent_mod_w19,-20.6922,20606,20606,1024,NMR-REV2
board_gtr4sg_rodent_mod_w19,-21.1335,17090,17090,1024,NMR-REV2
board_prvtgtr_rodent_mod_w19,-21.8661,14794,14794,1024,NMR-REV2
board_ytbass_rodent_mod_w19,-20.7220,28387,28387,1024,NMR-REV2
