label,esr_db,mrstft
board_bass_rodent_max_w8,2.32,
board_gtr4ib_rodent_max_w8,3.48,
board_bass_rodent_max_w9,0.63,
board_gtr4ib_rodent_max_w9,-0.32,
board_bass_rodent_max_w10,1.47,
board_gtr4ib_rodent_max_w10,-0.07,
board_bass_rodent_max_w11,-0.19,
board_gtr4ib_rodent_max_w11,-1.76,
board_bass_rodent_max_w12,-1.85,
board_gtr4ib_rodent_max_w12,-1.62,
board_bass_rodent_max_w13,-2.03,
board_gtr4ib_rodent_max_w13,-3.95,
board_bass_rodent_max_w14,-10.15,
board_gtr4ib_rodent_max_w14,-12.40,
board_bass_rodent_max_w15,-15.41,
board_gtr4ib_rodent_max_w15,-17.09,
board_bass_rodent_max_w16,-24.04,
board_gtr4ib_rodent_max_w16,-25.15,
board_bass_rodent_max_w17,-32.63,
board_gtr4ib_rodent_max_w17,-32.36,
board_bass_rodent_max_w18,-42.32,
board_gtr4ib_rodent_max_w18,-39.85,
board_bass_rodent_max_w19,-50.43,
board_gtr4ib_rodent_max_w19,-47.64,
board_bass_rodent_max_w20,-57.58,
board_gtr4ib_rodent_max_w20,-54.68,
board_bass_rodent_max_w21,-62.49,
board_gtr4ib_rodent_max_w21,-60.06,
board_bass_rodent_max_w22,-70.43,
board_gtr4ib_rodent_max_w22,-69.22,
board_bass_rodent_max_w23,-69.52,
board_gtr4ib_rodent_max_w23,-69.42,
board_bass_rodent_max_w24,-70.53,
board_gtr4ib_rodent_max_w24,-70.00,
board_bass_rodent_mod_w8,2.09,
board_gtr4ib_rodent_mod_w8,0.46,
board_bass_rodent_mod_w9,2.70,
board_gtr4ib_rodent_mod_w9,0.72,
board_bass_rodent_mod_w10,2.51,
board_gtr4ib_rodent_mod_w10,1.29,
board_bass_rodent_mod_w11,3.69,
board_gtr4ib_rodent_mod_w11,1.89,
board_bass_rodent_mod_w12,-4.91,
board_gtr4ib_rodent_mod_w12,-2.88,
board_bass_rodent_mod_w13,-12.84,
board_gtr4ib_rodent_mod_w13,-12.18,
board_bass_rodent_mod_w14,-22.17,
board_gtr4ib_rodent_mod_w14,-22.95,
board_bass_rodent_mod_w15,-29.29,
board_gtr4ib_rodent_mod_w15,-30.59,
board_bass_rodent_mod_w16,-37.53,
board_gtr4ib_rodent_mod_w16,-38.40,
board_bass_rodent_mod_w17,-43.80,
board_gtr4ib_rodent_mod_w17,-45.15,
board_bass_rodent_mod_w18,-50.27,
board_gtr4ib_rodent_mod_w18,-52.32,
board_bass_rodent_mod_w19,-56.43,
board_gtr4ib_rodent_mod_w19,-58.56,
board_bass_rodent_mod_w20,-61.99,
board_gtr4ib_rodent_mod_w20,-64.30,
board_bass_rodent_mod_w21,-66.65,
board_gtr4ib_rodent_mod_w21,-68.22,
board_bass_rodent_mod_w22,-73.98,
board_gtr4ib_rodent_mod_w22,-75.21,
board_bass_rodent_mod_w23,-75.04,
board_gtr4ib_rodent_mod_w23,-75.86,
board_bass_rodent_mod_w24,-75.50,
board_gtr4ib_rodent_mod_w24,-76.36,
board_bass_gt_max_w8,2.64,
board_gtr4ib_gt_max_w8,1.21,
board_bass_gt_max_w9,-1.75,
board_gtr4ib_gt_max_w9,-6.62,
board_bass_gt_max_w10,-1.31,
board_gtr4ib_gt_max_w10,-4.77,
board_bass_gt_max_w11,-7.23,
board_gtr4ib_gt_max_w11,-9.12,
board_bass_gt_max_w12,-12.54,
board_gtr4ib_gt_max_w12,-14.90,
board_bass_gt_max_w13,-21.28,
board_gtr4ib_gt_max_w13,-22.18,
board_bass_gt_max_w14,-27.77,
board_gtr4ib_gt_max_w14,-28.22,
board_bass_gt_max_w15,-35.14,
board_gtr4ib_gt_max_w15,-34.34,
board_bass_gt_max_w16,-41.94,
board_gtr4ib_gt_max_w16,-40.31,
board_bass_gt_max_w17,-49.69,
board_gtr4ib_gt_max_w17,-47.22,
board_bass_gt_max_w18,-55.88,
board_gtr4ib_gt_max_w18,-54.89,
board_bass_gt_max_w19,-61.62,
board_gtr4ib_gt_max_w19,-61.45,
board_bass_gt_max_w20,-66.75,
board_gtr4ib_gt_max_w20,-66.89,
board_bass_gt_max_w21,-71.38,
board_gtr4ib_gt_max_w21,-71.70,
board_bass_gt_max_w22,-79.00,
board_gtr4ib_gt_max_w22,-79.34,
board_bass_gt_max_w23,-79.90,
board_gtr4ib_gt_max_w23,-80.05,
board_bass_gt_max_w24,-79.65,
board_gtr4ib_gt_max_w24,-79.95,
board_bass_gt_mod_w8,5.60,
board_gtr4ib_gt_mod_w8,-1.52,
board_bass_gt_mod_w9,1.37,
board_gtr4ib_gt_mod_w9,-5.02,
board_bass_gt_mod_w10,-6.32,
board_gtr4ib_gt_mod_w10,-10.29,
board_bass_gt_mod_w11,-11.26,
board_gtr4ib_gt_mod_w11,-14.64,
board_bass_gt_mod_w12,-16.35,
board_gtr4ib_gt_mod_w12,-20.78,
board_bass_gt_mod_w13,-23.92,
board_gtr4ib_gt_mod_w13,-26.36,
board_bass_gt_mod_w14,-32.03,
board_gtr4ib_gt_mod_w14,-33.44,
board_bass_gt_mod_w15,-39.91,
board_gtr4ib_gt_mod_w15,-38.98,
board_bass_gt_mod_w16,-47.23,
board_gtr4ib_gt_mod_w16,-45.33,
