"sentinel","run_id","timestamp","cell","stim","width","board_file","board_md5","ref_file","ref_md5","nmr_db","frames","skip_val","status","elapsed_s","raw_tail"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:07:24","fl_max","bass","8","board_bass_fl_max_w8.f32","421A0B4A23BDEEECC87EE8F223F7D795","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","9.05","16622","1024","OK","5.3","NMR-REV2  NMR = 9.05 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:07:31","fl_max","bass","9","board_bass_fl_max_w9.f32","75E43C895CA8906F9D47B2BA63BE76F5","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","9.13","16622","1024","OK","5.6","NMR-REV2  NMR = 9.13 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:07:37","fl_max","bass","10","board_bass_fl_max_w10.f32","7754F4313AE6D4C396B078B99CF4667F","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","7.17","16622","1024","OK","5.5","NMR-REV2  NMR = 7.17 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:07:42","fl_max","bass","11","board_bass_fl_max_w11.f32","CFEC9EAABB1B2AE5021205E37C199FAA","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","1.1","16622","1024","OK","4.9","NMR-REV2  NMR = 1.10 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:07:48","fl_max","bass","12","board_bass_fl_max_w12.f32","346DD1E2B5CFF762012386451488D492","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","0.72","16622","1024","OK","5","NMR-REV2  NMR = 0.72 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:07:54","fl_max","bass","13","board_bass_fl_max_w13.f32","04010614983F4EEDF9AF838698641CB7","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","0.43","16622","1024","OK","5.2","NMR-REV2  NMR = 0.43 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:00","fl_max","bass","14","board_bass_fl_max_w14.f32","B7DEAFB4CE0978477E246934537076D9","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","6.69","16622","1024","OK","5","NMR-REV2  NMR = 6.69 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:05","fl_max","bass","15","board_bass_fl_max_w15.f32","4F04677EB02E7DD4B594792ABB7BFF99","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","2.1","16622","1024","OK","5","NMR-REV2  NMR = 2.10 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:11","fl_max","bass","16","board_bass_fl_max_w16.f32","E9C5C2C32208EB47D08452AEC3865CA0","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-4.44","16622","1024","OK","4.9","NMR-REV2  NMR = -4.44 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:17","fl_max","bass","17","board_bass_fl_max_w17.f32","E76A7EF7A4889855386659343897E5EA","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-10.54","16622","1024","OK","5.1","NMR-REV2  NMR = -10.54 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:22","fl_max","bass","18","board_bass_fl_max_w18.f32","6AF071DEB6F8E8A71C8A88D8A2B8F931","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-16.16","16622","1024","OK","4.9","NMR-REV2  NMR = -16.16 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:28","fl_max","bass","19","board_bass_fl_max_w19.f32","078A6E51F67A4A6F9EEB9BB7B0A6A7DD","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-21.76","16622","1024","OK","4.8","NMR-REV2  NMR = -21.76 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:33","fl_max","bass","20","board_bass_fl_max_w20.f32","3F60AFEF06D65EF0F717DE34436C5BA1","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-27.76","16622","1024","OK","4.8","NMR-REV2  NMR = -27.76 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:39","fl_max","bass","21","board_bass_fl_max_w21.f32","26AF6E62D49569DBB5D0C715435F7272","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-33.18","16622","1024","OK","4.9","NMR-REV2  NMR = -33.18 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:45","fl_max","bass","22","board_bass_fl_max_w22.f32","C6CB3E355D1F7E812303DA3B23602F3D","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-36.79","16622","1024","OK","5.2","NMR-REV2  NMR = -36.79 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:51","fl_max","bass","23","board_bass_fl_max_w23.f32","98725444F44F175CB4ED96B64F8C2EFA","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-38.6","16622","1024","OK","5","NMR-REV2  NMR = -38.60 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:08:56","fl_max","bass","24","board_bass_fl_max_w24.f32","FD9DA5F8F50AAA0AB0E43A5F6F84CD57","anchor_bass_ref32_fl_max.f32","24FAAC296E8713785664DE2894018425","-38.49","16622","1024","OK","5","NMR-REV2  NMR = -38.49 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:01","fl_max","gtr4ib","8","board_gtr4ib_fl_max_w8.f32","41F5D0F4B01A547FCD6D29B3531710A3","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","4.68","14559","1024","OK","4.4","NMR-REV2  NMR = 4.68 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:07","fl_max","gtr4ib","9","board_gtr4ib_fl_max_w9.f32","653D3C21AE2504FA76B7F26145B44BD1","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","3.88","14559","1024","OK","4.5","NMR-REV2  NMR = 3.88 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:12","fl_max","gtr4ib","10","board_gtr4ib_fl_max_w10.f32","B9E95EFA4A5FA269FFE9BD660D27FEEB","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","2.56","14559","1024","OK","4.5","NMR-REV2  NMR = 2.56 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:17","fl_max","gtr4ib","11","board_gtr4ib_fl_max_w11.f32","5912D4C0C39364B233E80321807655D9","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","0.41","14559","1024","OK","4.3","NMR-REV2  NMR = 0.41 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:22","fl_max","gtr4ib","12","board_gtr4ib_fl_max_w12.f32","131B37712D87603C9F03E34ACAAF7E23","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","0.32","14559","1024","OK","4.3","NMR-REV2  NMR = 0.32 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:27","fl_max","gtr4ib","13","board_gtr4ib_fl_max_w13.f32","083F1B504082CE2714B9F3054373FA4E","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","4.52","14559","1024","OK","4.6","NMR-REV2  NMR = 4.52 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:32","fl_max","gtr4ib","14","board_gtr4ib_fl_max_w14.f32","2AD55FEA230C0E603BF16A38677FE0BB","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","8.26","14559","1024","OK","4.6","NMR-REV2  NMR = 8.26 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:37","fl_max","gtr4ib","15","board_gtr4ib_fl_max_w15.f32","086A0C9434C3ED47484B19738F5CEEAF","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","3.33","14559","1024","OK","4.4","NMR-REV2  NMR = 3.33 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:42","fl_max","gtr4ib","16","board_gtr4ib_fl_max_w16.f32","0843BA060E2D9DCF4F5B66FFD2760566","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-3.15","14559","1024","OK","4.3","NMR-REV2  NMR = -3.15 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:47","fl_max","gtr4ib","17","board_gtr4ib_fl_max_w17.f32","703464D7F6A20C60481BED7F0EFA5304","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-9.29","14559","1024","OK","4.5","NMR-REV2  NMR = -9.29 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:52","fl_max","gtr4ib","18","board_gtr4ib_fl_max_w18.f32","099CF494CA87B5D6F9994CCF3C6DFC70","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-15.32","14559","1024","OK","4.5","NMR-REV2  NMR = -15.32 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:09:57","fl_max","gtr4ib","19","board_gtr4ib_fl_max_w19.f32","571C51EF08322B854024FD7B9704D577","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-21.41","14559","1024","OK","4.4","NMR-REV2  NMR = -21.41 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:02","fl_max","gtr4ib","20","board_gtr4ib_fl_max_w20.f32","A2DDFFF918A0360EF7A3EF8A86FB05E1","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-26.77","14559","1024","OK","4.4","NMR-REV2  NMR = -26.77 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:07","fl_max","gtr4ib","21","board_gtr4ib_fl_max_w21.f32","19E85F3A265CEE7B155FBA2ED91F05BC","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-32.26","14559","1024","OK","4.4","NMR-REV2  NMR = -32.26 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:12","fl_max","gtr4ib","22","board_gtr4ib_fl_max_w22.f32","E8678026FD08631A36D54EED8405F342","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-36.46","14559","1024","OK","4.4","NMR-REV2  NMR = -36.46 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:18","fl_max","gtr4ib","23","board_gtr4ib_fl_max_w23.f32","1DF252E27283273204E80D7E2A6E621E","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-38.09","14559","1024","OK","4.7","NMR-REV2  NMR = -38.09 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:23","fl_max","gtr4ib","24","board_gtr4ib_fl_max_w24.f32","6B2FF83891254D7200C28FEB0DC42648","anchor_gtr4ib_ref32_fl_max.f32","7DC4C4B2529B7053CD88820166AFD958","-38.22","14559","1024","OK","4.5","NMR-REV2  NMR = -38.22 dB   (frames=14559, voiced=14559, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:28","fl_mod","bass","8","board_bass_fl_mod_w8.f32","D5FE08FDFB525368B3B757C8502686DD","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","0.06","16622","1024","OK","5","NMR-REV2  NMR = 0.06 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:34","fl_mod","bass","9","board_bass_fl_mod_w9.f32","0CAB06F247D38CBD558205E17553431A","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","0.17","16622","1024","OK","5.1","NMR-REV2  NMR = 0.17 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:40","fl_mod","bass","10","board_bass_fl_mod_w10.f32","CB27F0E419DE0965F388B9BA6A8542A4","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","0.16","16622","1024","OK","5","NMR-REV2  NMR = 0.16 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:46","fl_mod","bass","11","board_bass_fl_mod_w11.f32","16AB0D34176445F3E159E3195E1CCE32","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","0.3","16622","1024","OK","5","NMR-REV2  NMR = 0.30 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:51","fl_mod","bass","12","board_bass_fl_mod_w12.f32","726068A7A3B1961D720F03C7C3EB467E","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","6.51","16622","1024","OK","4.9","NMR-REV2  NMR = 6.51 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:10:57","fl_mod","bass","13","board_bass_fl_mod_w13.f32","8FFAB55F5025D51157169D847BECF9F5","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","2.95","16622","1024","OK","4.8","NMR-REV2  NMR = 2.95 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:02","fl_mod","bass","14","board_bass_fl_mod_w14.f32","3796AC71B8A49C51FDE9C7B2A13C4DBB","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-1.04","16622","1024","OK","5","NMR-REV2  NMR = -1.04 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:08","fl_mod","bass","15","board_bass_fl_mod_w15.f32","111E9EAA3D922CF0020A02E11D07505B","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-5.21","16622","1024","OK","5.2","NMR-REV2  NMR = -5.21 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:14","fl_mod","bass","16","board_bass_fl_mod_w16.f32","F61B8276F6DF520C585D4BB60BECF54F","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-12.67","16622","1024","OK","4.9","NMR-REV2  NMR = -12.67 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:20","fl_mod","bass","17","board_bass_fl_mod_w17.f32","5C114B20DA0DB1F792F6A22F83D742B1","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-17.81","16622","1024","OK","4.9","NMR-REV2  NMR = -17.81 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:26","fl_mod","bass","18","board_bass_fl_mod_w18.f32","410B3302CA4F1F8E79D17F8A58476492","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-23.55","16622","1024","OK","5","NMR-REV2  NMR = -23.55 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:32","fl_mod","bass","19","board_bass_fl_mod_w19.f32","18A895081FD5CD02B03A835845C991F1","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-30.49","16622","1024","OK","5.5","NMR-REV2  NMR = -30.49 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:38","fl_mod","bass","20","board_bass_fl_mod_w20.f32","5E4992C47EE75C258AB983070E791C3B","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-35.29","16622","1024","OK","5.1","NMR-REV2  NMR = -35.29 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:44","fl_mod","bass","21","board_bass_fl_mod_w21.f32","F175F21C73B5F84BF66D1268DE5A427D","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-41.04","16622","1024","OK","5.5","NMR-REV2  NMR = -41.04 dB   (frames=16622, voiced=16622, skip=1024)"
"SCORE-HELDOUT-NMR-REV1","20260905_230718","2026-09-05T23:11:50","fl_mod","bass","22","board_bass_fl_mod_w22.f32","50EE47EF61B3F36BA7806791009DFAD6","anchor_bass_ref32_fl_mod.f32","ECBCD6CAA37CC9B7CEEC24C2193C021A","-45.38","16622","1024","OK","5.1","NMR-REV2  NMR = -45.38 dB   (frames=16622, voiced=16622, skip=1024)"
