label,nmr_db,frames,voiced_frames,skip,sentinel
nam_w8_float_ref,14.2456,8794,8794,1024,NMR-REV2
nam_w9_float_ref,6.7580,8794,8794,1024,NMR-REV2
nam_w10_float_ref,8.5664,8794,8794,1024,NMR-REV2
nam_w11_float_ref,6.2747,8794,8794,1024,NMR-REV2
nam_w12_float_ref,5.9043,8794,8794,1024,NMR-REV2
nam_w13_float_ref,14.7156,8794,8794,1024,NMR-REV2
nam_w14_float_ref,13.6068,8794,8794,1024,NMR-REV2
nam_w15_float_ref,9.2312,8794,8794,1024,NMR-REV2
nam_w16_float_ref,5.0522,8794,8794,1024,NMR-REV2
nam_w17_float_ref,-0.3267,8794,8794,1024,NMR-REV2
nam_w18_float_ref,-5.6106,8794,8794,1024,NMR-REV2
nam_w19_float_ref,-11.1336,8794,8794,1024,NMR-REV2
nam_w20_float_ref,-16.8866,8794,8794,1024,NMR-REV2
nam_w21_float_ref,-21.2251,8794,8794,1024,NMR-REV2
nam_w22_float_ref,-27.8330,8794,8794,1024,NMR-REV2
nam_w23_float_ref,-28.5317,8794,8794,1024,NMR-REV2
nam_w24_float_ref,-28.5020,8794,8794,1024,NMR-REV2
nam_w8_float_ref,14.2456,8794,8794,1024,NMR-REV2
nam_w9_float_ref,6.7580,8794,8794,1024,NMR-REV2
nam_w10_float_ref,8.5664,8794,8794,1024,NMR-REV2
nam_w11_float_ref,6.2747,8794,8794,1024,NMR-REV2
nam_w12_float_ref,5.9043,8794,8794,1024,NMR-REV2
nam_w13_float_ref,14.7156,8794,8794,1024,NMR-REV2
nam_w14_float_ref,13.6068,8794,8794,1024,NMR-REV2
nam_w15_float_ref,9.2312,8794,8794,1024,NMR-REV2
nam_w16_float_ref,5.0522,8794,8794,1024,NMR-REV2
nam_w17_float_ref,-0.3267,8794,8794,1024,NMR-REV2
nam_w18_float_ref,-5.6106,8794,8794,1024,NMR-REV2
nam_w19_float_ref,-11.1336,8794,8794,1024,NMR-REV2
nam_w20_float_ref,-16.8866,8794,8794,1024,NMR-REV2
nam_w21_float_ref,-21.2251,8794,8794,1024,NMR-REV2
nam_w22_float_ref,-27.8330,8794,8794,1024,NMR-REV2
nam_w23_float_ref,-28.5317,8794,8794,1024,NMR-REV2
nam_w24_float_ref,-28.5020,8794,8794,1024,NMR-REV2
gtr2_w8_float_ref,5.8272,20606,20606,1024,NMR-REV2
gtr2_w9_float_ref,8.5558,20606,20606,1024,NMR-REV2
