cell,src,width,odg,total_nmr,rate,lowpass,sentinel
rodent_max,nam,8,-3.820,16.905235,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,9,-3.552,8.942065,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,10,-3.774,11.058530,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,11,-3.850,8.383162,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,12,-1.978,7.785633,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,13,-2.543,17.766947,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,14,-3.621,16.108708,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,15,-2.733,11.571847,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,16,-1.587,7.169288,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,17,-0.971,2.400525,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,18,-0.749,-3.533372,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,19,-0.607,-9.708425,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,20,-0.468,-15.072421,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,21,-0.373,-19.643869,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,22,-0.191,-26.445746,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,23,-0.179,-27.440897,48000,20000,SCORE-PEAQ-REV2
rodent_max,nam,24,-0.177,-27.430573,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,8,-3.862,8.329030,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,9,-3.870,9.158721,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,10,-3.796,6.413627,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,11,-3.661,3.954167,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,12,-3.371,5.031470,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,13,-3.726,4.218627,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,14,-3.687,7.025311,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,15,-2.750,3.891798,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,16,-1.634,-1.925026,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,17,-0.855,-6.912225,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,18,-0.485,-12.635187,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,19,-0.254,-18.555881,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,20,-0.078,-24.332504,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,21,-0.003,-29.553585,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,22,0.043,-35.738120,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,23,0.068,-37.191767,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr2,24,0.079,-37.755978,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,8,-2.596,7.889027,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,9,-2.251,5.919124,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,10,-2.027,1.151733,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,11,-1.645,1.617142,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,12,-1.489,0.996949,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,13,-2.531,5.553779,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,14,-2.710,3.716598,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,15,-1.854,2.227939,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,16,-0.983,-2.665595,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,17,-0.632,-7.330722,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4sg,18,-0.408,-12.758873,48000,20000,SCORE-PEAQ-REV2
