cell,src,width,odg,total_nmr,rate,lowpass,sentinel
rodent_max,bass,8,-3.351,14.381691,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,9,-3.497,7.167414,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,10,-2.807,4.657863,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,11,-2.580,2.136113,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,12,-2.039,0.876387,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,13,-2.336,7.001203,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,14,-3.385,2.197857,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,15,-2.221,-2.049341,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,16,-1.068,-7.034268,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,17,-0.718,-9.305242,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,18,-0.516,-15.491625,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,19,-0.328,-21.876671,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,20,-0.300,-26.776106,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,21,-0.165,-31.931537,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,22,0.002,-35.968278,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,23,-0.005,-35.791603,48000,20000,SCORE-PEAQ-REV2
rodent_max,bass,24,0.006,-35.918174,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,8,-2.814,9.745368,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,9,-2.722,11.869881,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,10,-2.482,2.695172,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,11,-2.038,0.663957,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,12,-1.544,-0.133058,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,13,-2.351,2.918549,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,14,-2.532,2.703434,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,15,-1.406,-0.695152,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,16,-0.656,-5.906314,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,17,-0.447,-8.697175,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,18,-0.284,-14.326873,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,19,-0.128,-20.410630,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,20,-0.045,-25.657654,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,21,-0.036,-30.491493,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,22,0.045,-35.041577,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,23,0.028,-35.379008,48000,20000,SCORE-PEAQ-REV2
rodent_max,gtr4ib,24,0.051,-35.497780,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,8,-3.839,11.057153,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,9,-3.722,20.726899,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,10,-2.999,19.647363,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,11,-2.385,11.768596,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,12,-3.726,12.217599,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,13,-2.646,5.562825,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,14,-1.109,-0.215545,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,15,-0.604,-6.304017,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,16,-0.390,-12.376908,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,17,-0.218,-18.409974,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,18,-0.051,-25.500380,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,19,0.089,-30.243264,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,20,0.149,-35.810197,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,21,0.178,-40.070465,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,22,0.192,-43.623598,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,23,0.195,-44.658208,48000,20000,SCORE-PEAQ-REV2
rodent_mod,bass,24,0.194,-44.513311,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,8,-3.888,13.399235,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,9,-3.856,18.731020,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,10,-2.664,13.740349,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,11,-1.774,6.276999,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,12,-3.850,16.335960,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,13,-3.426,11.311194,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,14,-1.870,5.924442,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,15,-1.161,0.039776,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,16,-0.732,-6.051131,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,17,-0.428,-12.135068,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,18,-0.220,-18.186753,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,19,-0.051,-24.062623,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,20,0.086,-29.745215,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,21,0.143,-34.780786,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,22,0.179,-40.106368,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,23,0.186,-41.734403,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,24,0.188,-42.165278,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,8,-3.799,26.883931,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,9,-3.800,14.286072,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,10,-3.728,13.052586,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,11,-3.601,9.767155,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,12,-3.073,5.846017,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,13,-1.858,2.095916,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,14,-1.081,-2.673315,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,15,-0.762,-6.859689,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,16,-0.473,-12.373320,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,17,-0.294,-18.074828,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,18,-0.087,-23.977731,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,19,-0.039,-29.605218,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,20,0.028,-34.905881,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,21,0.173,-38.828778,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,22,0.195,-44.590915,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,23,0.195,-44.765394,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,24,0.196,-45.147053,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,8,-3.881,29.082672,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,9,-3.821,18.230035,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,10,-3.727,17.040581,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,11,-3.477,12.761923,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,12,-2.716,9.181827,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,13,-1.968,6.725784,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,14,-1.506,2.938011,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,15,-1.365,-1.260516,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,16,-0.911,-5.882840,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,17,-0.591,-10.550135,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,18,-0.307,-15.886603,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,19,-0.144,-21.912009,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,20,-0.094,-27.808495,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,21,0.118,-32.297641,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,22,0.174,-39.162029,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,23,0.177,-39.636795,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,24,0.177,-39.717405,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,8,-3.902,32.372143,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,9,-3.875,22.641120,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,10,-3.793,17.063970,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,11,-3.578,14.016589,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,12,-3.048,8.489994,48000,20000,SCORE-PEAQ-REV2
