"sentinel","run_id","timestamp","cell","width","board_file","board_md5","ref_file","ref_md5","nmr_db","frames","skip_val","status","elapsed_s","raw_tail"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:33","fl_max","8","board_nam_fl_max_w8.f32","31B291E7642C4112CD1EFC1E53A08860","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","12.71","8794","1024","OK","3","NMR-REV2  NMR = 12.71 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:36","fl_max","9","board_nam_fl_max_w9.f32","223ACB7F6D9BE9503258E01FC2A3582D","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","12.45","8794","1024","OK","3","NMR-REV2  NMR = 12.45 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:40","fl_max","10","board_nam_fl_max_w10.f32","9C295820E59895C00EDAEAEFABFDAC7E","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","21.82","8794","1024","OK","2.9","NMR-REV2  NMR = 21.82 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:43","fl_max","11","board_nam_fl_max_w11.f32","96C42AA7AB5A10457C5DDE91DA72A5F0","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","21.94","8794","1024","OK","2.7","NMR-REV2  NMR = 21.94 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:46","fl_max","12","board_nam_fl_max_w12.f32","01E652C77798F573315981E717827534","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","16.64","8794","1024","OK","2.9","NMR-REV2  NMR = 16.64 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:49","fl_max","13","board_nam_fl_max_w13.f32","0A0A9BD3FFD891C0C57F5908F67D6350","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","15.26","8794","1024","OK","2.8","NMR-REV2  NMR = 15.26 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:53","fl_max","14","board_nam_fl_max_w14.f32","B6C4689D775ADC6FA6E9CFC4F3B0C42A","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","15.87","8794","1024","OK","2.9","NMR-REV2  NMR = 15.87 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:56","fl_max","15","board_nam_fl_max_w15.f32","AEEA5972E0C63541B1A1DD84E3FCBCCA","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","10.74","8794","1024","OK","2.7","NMR-REV2  NMR = 10.74 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:16:59","fl_max","16","board_nam_fl_max_w16.f32","FF651E893C252FE818EDAD3217B5139F","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","5.24","8794","1024","OK","2.8","NMR-REV2  NMR = 5.24 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:02","fl_max","17","board_nam_fl_max_w17.f32","68E268CDBEC178AAEFFBA232BF79F92E","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","-0.19","8794","1024","OK","2.7","NMR-REV2  NMR = -0.19 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:05","fl_max","18","board_nam_fl_max_w18.f32","F85F49B58535DBA35F1EC82ABAC8312B","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","-5.29","8794","1024","OK","2.7","NMR-REV2  NMR = -5.29 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:08","fl_max","19","board_nam_fl_max_w19.f32","4B084CBCE972EA3F72901707CE907044","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","-10.13","8794","1024","OK","2.6","NMR-REV2  NMR = -10.13 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:11","fl_max","20","board_nam_fl_max_w20.f32","105769BA11897F267A4CFD59995B28C1","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","-10.77","8794","1024","OK","2.8","NMR-REV2  NMR = -10.77 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:14","fl_max","21","board_nam_fl_max_w21.f32","9DA120A749091CC83FDDBF20DE252AFD","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","-14.65","8794","1024","OK","2.7","NMR-REV2  NMR = -14.65 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:17","fl_max","22","board_nam_fl_max_w22.f32","9461C92D2E67582F3084815AACCC6A3C","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","-14.06","8794","1024","OK","2.6","NMR-REV2  NMR = -14.06 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:20","fl_max","23","board_nam_fl_max_w23.f32","5E1EFCB16175D6B7075827AD27015706","anchor_nam_ref32_fl_max.f32","460E8C7C172094A6B15E38FC22F94059","-12.95","8794","1024","OK","2.7","NMR-REV2  NMR = -12.95 dB   (frames=8794, voiced=8794, skip=1024)"
