epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.875787,0.805581,-1.602,1.00e-03,9.3
2,0.775706,0.795694,-1.665,1.00e-03,8.9
3,0.770807,0.793787,-1.688,1.00e-03,8.9
4,0.768087,0.792473,-1.701,1.00e-03,8.9
5,0.769146,0.789623,-1.719,1.00e-03,8.9
6,0.768654,0.789382,-1.755,1.00e-03,8.9
7,0.762436,0.780134,-1.968,1.00e-03,8.9
8,0.752495,0.762683,-2.223,1.00e-03,8.9
9,0.697991,0.665648,-3.073,1.00e-03,8.9
10,0.572090,0.640388,-4.120,1.00e-03,8.9
11,0.524457,0.548600,-4.553,1.00e-03,8.9
12,0.491747,0.516192,-5.330,1.00e-03,8.9
13,0.458099,0.483825,-5.607,1.00e-03,8.9
14,0.418480,0.437679,-6.489,1.00e-03,8.9
15,0.392734,0.422200,-6.525,1.00e-03,8.9
16,0.374404,0.409341,-7.082,1.00e-03,8.9
17,0.356376,0.380458,-7.203,1.00e-03,8.9
18,0.346900,0.380514,-7.463,1.00e-03,8.9
19,0.330128,0.358543,-7.235,1.00e-03,8.9
20,0.323640,0.351047,-7.317,1.00e-03,8.9
21,0.311065,0.343402,-7.351,1.00e-03,8.9
22,0.306015,0.325418,-7.748,1.00e-03,8.9
23,0.292685,0.319689,-8.008,1.00e-03,8.9
24,0.288546,0.313801,-7.761,1.00e-03,8.9
25,0.281567,0.308117,-8.034,1.00e-03,8.9
26,0.280676,0.295657,-8.058,1.00e-03,8.9
27,0.270383,0.305940,-7.967,1.00e-03,9.0
28,0.268690,0.303233,-8.126,1.00e-03,9.1
29,0.262347,0.287024,-8.311,1.00e-03,9.1
30,0.255747,0.277219,-8.343,1.00e-03,9.1
31,0.254154,0.279331,-8.243,1.00e-03,9.0
32,0.250494,0.280326,-8.241,1.00e-03,9.0
33,0.246951,0.273150,-8.292,1.00e-03,9.0
34,0.244466,0.272958,-8.434,1.00e-03,9.1
35,0.236719,0.263849,-8.434,1.00e-03,9.1
36,0.233998,0.261808,-8.607,1.00e-03,9.1
37,0.231843,0.262574,-8.290,1.00e-03,9.1
38,0.232704,0.255030,-8.533,1.00e-03,9.1
39,0.232605,0.254651,-8.329,1.00e-03,9.1
40,0.223696,0.248058,-8.512,1.00e-03,9.1
41,0.218798,0.242626,-8.623,1.00e-03,9.1
42,0.212605,0.238166,-8.803,1.00e-03,9.1
43,0.206202,0.230496,-8.860,1.00e-03,9.0
44,0.203551,0.235123,-8.652,1.00e-03,9.1
45,0.199218,0.234556,-9.036,1.00e-03,9.1
46,0.196290,0.226567,-8.937,1.00e-03,9.1
47,0.192776,0.221661,-9.255,1.00e-03,9.1
48,0.192786,0.217446,-8.912,1.00e-03,9.0
49,0.188039,0.213199,-9.090,1.00e-03,9.1
50,0.185980,0.218103,-9.297,1.00e-03,9.1
51,0.184346,0.228500,-9.445,1.00e-03,9.1
52,0.185236,0.208029,-9.137,1.00e-03,9.1
53,0.183529,0.208446,-9.174,1.00e-03,9.1
54,0.184146,0.204364,-9.153,1.00e-03,9.1
55,0.179986,0.210787,-9.017,1.00e-03,9.1
56,0.178011,0.205463,-9.308,1.00e-03,9.1
57,0.178342,0.206429,-9.377,1.00e-03,9.0
58,0.174127,0.212030,-9.376,1.00e-03,9.0
59,0.173931,0.203913,-8.939,1.00e-03,9.0
60,0.171874,0.198143,-9.205,1.00e-03,9.0
61,0.170783,0.195230,-9.301,1.00e-03,8.9
62,0.167780,0.197579,-9.468,1.00e-03,8.9
63,0.166668,0.197172,-9.625,1.00e-03,8.9
64,0.166976,0.201548,-9.645,1.00e-03,8.9
65,0.167500,0.199283,-9.349,1.00e-03,8.9
66,0.168508,0.195078,-9.447,1.00e-03,8.9
67,0.163627,0.187895,-9.427,1.00e-03,8.9
68,0.164793,0.189707,-9.467,1.00e-03,8.9
69,0.162860,0.193388,-9.625,1.00e-03,8.9
70,0.161331,0.199004,-9.482,1.00e-03,8.9
71,0.159794,0.188481,-9.702,1.00e-03,8.9
72,0.161107,0.185508,-9.658,1.00e-03,8.9
73,0.158514,0.184334,-9.529,1.00e-03,8.9
74,0.158512,0.185093,-9.589,1.00e-03,8.9
75,0.160568,0.188416,-9.305,1.00e-03,8.9
76,0.161141,0.188213,-9.204,1.00e-03,8.9
77,0.158989,0.186784,-9.822,1.00e-03,8.9
78,0.155923,0.188465,-9.908,1.00e-03,8.9
79,0.155554,0.184092,-9.782,1.00e-03,8.9
80,0.154424,0.182121,-9.888,1.00e-03,8.9
81,0.155529,0.186164,-9.868,1.00e-03,8.9
82,0.152309,0.178902,-9.764,1.00e-03,8.9
83,0.153203,0.180163,-9.929,1.00e-03,8.9
84,0.152215,0.181359,-9.882,1.00e-03,8.9
85,0.153998,0.185747,-9.691,1.00e-03,8.9
86,0.150178,0.181078,-9.558,1.00e-03,8.9
87,0.153824,0.186434,-9.638,1.00e-03,8.9
88,0.152748,0.177694,-9.855,1.00e-03,8.9
89,0.149626,0.177983,-9.940,1.00e-03,8.9
90,0.149266,0.178562,-9.730,1.00e-03,8.9
91,0.149489,0.178459,-10.052,1.00e-03,8.9
92,0.148413,0.176404,-9.845,1.00e-03,8.9
93,0.148825,0.174180,-9.878,1.00e-03,8.9
94,0.147105,0.175424,-9.825,1.00e-03,8.9
95,0.147505,0.183575,-9.999,1.00e-03,8.9
96,0.147277,0.171244,-9.940,1.00e-03,8.9
97,0.145326,0.173660,-9.853,1.00e-03,8.9
98,0.144377,0.175768,-9.974,1.00e-03,8.9
99,0.144691,0.171793,-10.090,1.00e-03,8.9
100,0.144391,0.169977,-10.233,1.00e-03,8.9
101,0.144294,0.179262,-9.903,1.00e-03,8.9
102,0.143184,0.170417,-10.103,1.00e-03,8.9
103,0.146618,0.180384,-9.550,1.00e-03,8.9
104,0.144068,0.173821,-9.969,1.00e-03,8.9
105,0.142605,0.169222,-9.853,1.00e-03,8.9
106,0.142804,0.169308,-9.741,1.00e-03,8.9
107,0.145517,0.183067,-9.718,1.00e-03,8.9
108,0.145956,0.167298,-10.084,1.00e-03,8.9
109,0.142192,0.174154,-10.343,1.00e-03,8.9
110,0.140281,0.171672,-10.042,1.00e-03,8.9
111,0.139626,0.179397,-10.033,1.00e-03,8.9
112,0.138985,0.166011,-10.098,1.00e-03,8.9
113,0.140784,0.182491,-9.909,1.00e-03,8.9
114,0.140171,0.164113,-10.302,1.00e-03,8.9
115,0.137657,0.169550,-10.128,1.00e-03,8.9
116,0.137110,0.167775,-10.475,1.00e-03,8.9
117,0.136998,0.162052,-10.326,1.00e-03,8.9
118,0.135919,0.160826,-10.396,1.00e-03,8.9
119,0.136253,0.161083,-10.147,1.00e-03,8.9
120,0.136824,0.163420,-10.217,1.00e-03,8.9
121,0.135857,0.161431,-10.493,1.00e-03,8.9
122,0.135815,0.164238,-10.397,1.00e-03,8.9
123,0.135091,0.163362,-10.456,1.00e-03,8.9
124,0.133084,0.163342,-10.631,1.00e-03,8.9
125,0.139697,0.158875,-10.421,1.00e-03,8.9
126,0.133859,0.159095,-10.569,1.00e-03,8.9
127,0.134188,0.161196,-10.393,1.00e-03,8.9
128,0.134097,0.157763,-10.690,1.00e-03,8.9
129,0.134920,0.157636,-10.656,1.00e-03,9.0
130,0.132721,0.156184,-10.493,1.00e-03,8.9
131,0.132752,0.163619,-10.783,1.00e-03,9.0
132,0.132403,0.157295,-10.520,1.00e-03,9.0
133,0.132255,0.162880,-10.721,1.00e-03,9.0
134,0.132088,0.156730,-10.631,1.00e-03,8.9
135,0.130835,0.155059,-10.540,1.00e-03,8.9
136,0.129638,0.160334,-10.842,1.00e-03,9.0
137,0.132218,0.161671,-10.358,1.00e-03,9.0
138,0.131204,0.159076,-10.624,1.00e-03,8.9
139,0.130258,0.152175,-10.830,1.00e-03,8.9
140,0.127518,0.153273,-10.675,1.00e-03,8.9
141,0.128552,0.156922,-10.897,1.00e-03,8.9
142,0.129491,0.154381,-10.872,1.00e-03,8.9
143,0.128662,0.157164,-11.054,1.00e-03,8.9
144,0.131936,0.156797,-10.624,1.00e-03,8.9
145,0.128744,0.159088,-11.052,1.00e-03,8.9
146,0.128538,0.154695,-10.964,1.00e-03,8.9
147,0.127739,0.162040,-10.846,1.00e-03,8.9
148,0.129341,0.152172,-11.106,1.00e-03,8.9
149,0.127991,0.152841,-11.041,1.00e-03,8.9
150,0.127188,0.156996,-11.081,1.00e-03,8.9
151,0.128144,0.152096,-11.285,1.00e-03,8.9
152,0.126027,0.155609,-11.179,1.00e-03,8.9
153,0.126348,0.152660,-11.111,1.00e-03,8.9
154,0.124646,0.151013,-11.088,1.00e-03,8.9
155,0.126993,0.151625,-11.203,1.00e-03,8.9
156,0.126259,0.149071,-11.448,1.00e-03,8.9
157,0.125365,0.151260,-11.116,1.00e-03,8.9
158,0.126946,0.148591,-11.537,1.00e-03,8.9
159,0.123993,0.156154,-11.228,1.00e-03,8.9
160,0.126570,0.147498,-11.312,1.00e-03,8.9
161,0.125007,0.152291,-11.422,1.00e-03,8.9
162,0.126041,0.149542,-11.648,1.00e-03,8.9
163,0.122799,0.146245,-11.691,1.00e-03,8.9
164,0.121165,0.145841,-11.792,1.00e-03,8.9
165,0.126836,0.154437,-11.359,1.00e-03,8.9
166,0.129427,0.148540,-11.494,1.00e-03,8.9
167,0.122889,0.145874,-11.790,1.00e-03,8.9
168,0.135444,0.145133,-11.583,1.00e-03,8.9
169,0.122976,0.143875,-11.838,1.00e-03,8.9
170,0.121033,0.144000,-11.919,1.00e-03,8.9
171,0.120002,0.147024,-11.862,1.00e-03,8.9
172,0.125014,0.150418,-11.761,1.00e-03,8.9
173,0.129790,0.145083,-11.770,1.00e-03,8.9
174,0.125977,0.158131,-11.689,1.00e-03,8.9
175,0.124113,0.148806,-11.881,1.00e-03,8.9
176,0.124814,0.149568,-11.743,1.00e-03,8.9
