epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.875787,0.805581,-1.602,1.00e-03,9.6
2,0.775706,0.795694,-1.665,1.00e-03,9.0
3,0.770807,0.793787,-1.688,1.00e-03,9.0
4,0.768087,0.792473,-1.701,1.00e-03,9.0
5,0.769146,0.789623,-1.719,1.00e-03,9.1
6,0.768654,0.789382,-1.755,1.00e-03,8.9
7,0.761617,0.778904,-2.006,1.00e-03,9.0
8,0.749721,0.753632,-2.345,1.00e-03,8.9
9,0.685029,0.657744,-3.164,1.00e-03,8.9
10,0.569690,0.565325,-4.536,1.00e-03,8.9
11,0.507026,0.527620,-4.938,1.00e-03,8.9
12,0.460166,0.483835,-5.909,1.00e-03,8.9
13,0.430612,0.458933,-5.954,1.00e-03,9.0
14,0.404695,0.428842,-6.485,1.00e-03,8.9
15,0.389746,0.422422,-6.839,1.00e-03,8.9
16,0.371814,0.408038,-6.926,1.00e-03,9.0
17,0.357544,0.389604,-7.071,1.00e-03,8.9
18,0.348134,0.383671,-7.354,1.00e-03,8.9
19,0.332479,0.368013,-7.020,1.00e-03,8.9
20,0.327839,0.373135,-7.110,1.00e-03,8.9
21,0.315227,0.349141,-7.271,1.00e-03,8.9
22,0.308818,0.329130,-7.763,1.00e-03,8.9
23,0.296743,0.333747,-7.948,1.00e-03,8.9
24,0.292270,0.321342,-7.621,1.00e-03,8.9
25,0.287763,0.302902,-8.048,1.00e-03,8.9
26,0.278621,0.299409,-7.993,1.00e-03,8.9
27,0.274838,0.293965,-8.309,1.00e-03,8.9
28,0.269475,0.292041,-8.155,1.00e-03,8.9
29,0.265744,0.288626,-8.243,1.00e-03,8.9
30,0.260832,0.285432,-8.197,1.00e-03,8.9
31,0.254259,0.284839,-8.067,1.00e-03,8.9
32,0.254070,0.274212,-8.359,1.00e-03,8.9
33,0.250991,0.273129,-8.331,1.00e-03,8.9
34,0.243942,0.268894,-8.558,1.00e-03,9.1
35,0.237151,0.271752,-8.285,1.00e-03,9.0
36,0.236191,0.260559,-8.457,1.00e-03,9.0
37,0.234687,0.258732,-8.452,1.00e-03,9.0
38,0.233583,0.258334,-8.629,1.00e-03,9.0
39,0.229264,0.251430,-8.511,1.00e-03,9.1
40,0.224359,0.251855,-8.697,1.00e-03,9.0
41,0.220938,0.241833,-8.703,1.00e-03,9.0
42,0.215915,0.243782,-8.834,1.00e-03,9.0
43,0.209159,0.238588,-8.652,1.00e-03,9.0
44,0.204546,0.232538,-8.601,1.00e-03,9.1
45,0.199908,0.233518,-8.891,1.00e-03,9.0
46,0.198212,0.226626,-8.949,1.00e-03,9.0
47,0.192898,0.218239,-9.076,1.00e-03,9.0
48,0.193431,0.217950,-8.980,1.00e-03,9.0
49,0.187009,0.211687,-9.011,1.00e-03,9.0
50,0.187116,0.220081,-9.315,1.00e-03,9.0
51,0.186892,0.242448,-9.420,1.00e-03,9.0
52,0.186433,0.219616,-9.148,1.00e-03,9.0
53,0.184655,0.206377,-9.178,1.00e-03,9.0
54,0.183072,0.208949,-9.136,1.00e-03,9.0
55,0.181378,0.207442,-9.130,1.00e-03,9.0
56,0.177913,0.208026,-9.478,1.00e-03,9.0
57,0.176676,0.204516,-9.292,1.00e-03,9.0
58,0.176171,0.210275,-9.290,1.00e-03,9.0
