epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.839009,0.798113,-1.660,3.00e-03,8.7
2,0.769145,0.790886,-1.691,3.00e-03,8.2
3,0.767977,0.785679,-1.853,3.00e-03,8.2
4,0.762826,0.778013,-2.136,3.00e-03,8.2
5,0.745142,0.732783,-2.655,3.00e-03,8.3
6,0.556197,0.471657,-6.287,3.00e-03,8.3
7,0.363338,0.352830,-7.551,3.00e-03,8.3
8,0.297251,0.305368,-8.145,3.00e-03,8.3
9,0.255047,0.289348,-8.850,3.00e-03,8.3
10,0.242934,0.258633,-9.365,3.00e-03,8.2
11,0.225395,0.248353,-9.013,3.00e-03,8.3
12,0.215869,0.230521,-9.302,3.00e-03,8.3
13,0.216438,0.233964,-9.203,3.00e-03,8.3
14,0.198159,0.208137,-9.281,3.00e-03,8.2
15,0.192249,0.207849,-9.779,3.00e-03,8.2
16,0.187807,0.201199,-9.364,3.00e-03,8.2
17,0.170842,0.183472,-9.767,3.00e-03,8.2
18,0.166381,0.197566,-10.111,3.00e-03,8.3
19,0.159924,0.169816,-10.285,3.00e-03,8.3
20,0.158790,0.174864,-10.405,3.00e-03,8.3
21,0.149951,0.175305,-9.762,3.00e-03,8.3
22,0.151092,0.173618,-10.656,3.00e-03,8.2
23,0.141675,0.173708,-10.953,3.00e-03,8.2
24,0.141180,0.159619,-10.804,3.00e-03,8.2
25,0.141852,0.159370,-10.956,3.00e-03,8.3
26,0.137811,0.165896,-10.878,3.00e-03,8.2
27,0.135069,0.157226,-11.214,3.00e-03,8.2
28,0.135359,0.161102,-11.317,3.00e-03,8.2
29,0.129686,0.154106,-11.328,3.00e-03,8.3
30,0.127016,0.153106,-11.645,3.00e-03,8.3
31,0.127187,0.148096,-11.960,3.00e-03,8.3
32,0.125924,0.139034,-12.204,3.00e-03,8.2
33,0.126187,0.153861,-11.777,3.00e-03,8.2
34,0.122217,0.151306,-12.012,3.00e-03,8.3
35,0.119926,0.144960,-11.890,3.00e-03,8.3
36,0.123147,0.135583,-12.520,3.00e-03,8.3
37,0.115346,0.134938,-12.322,3.00e-03,8.3
38,0.117410,0.135029,-12.282,3.00e-03,8.3
39,0.113366,0.127879,-12.650,3.00e-03,8.3
40,0.110573,0.143580,-11.847,3.00e-03,8.3
41,0.115664,0.126314,-12.670,3.00e-03,8.3
42,0.105663,0.125344,-12.626,3.00e-03,8.3
43,0.106260,0.127557,-12.463,3.00e-03,8.3
44,0.104679,0.121817,-12.724,3.00e-03,8.3
45,0.106320,0.120548,-12.752,3.00e-03,8.3
46,0.101865,0.123418,-12.148,3.00e-03,8.3
47,0.103265,0.121013,-12.692,3.00e-03,8.3
48,0.099379,0.121188,-12.680,3.00e-03,8.3
49,0.101199,0.128287,-12.546,3.00e-03,8.3
50,0.101241,0.116118,-12.792,3.00e-03,8.2
51,0.099631,0.127113,-12.478,3.00e-03,8.2
52,0.099507,0.113032,-12.866,3.00e-03,8.2
53,0.096445,0.116865,-12.588,3.00e-03,8.3
54,0.101750,0.112630,-12.841,3.00e-03,8.3
55,0.102005,0.118046,-12.399,3.00e-03,8.3
56,0.096878,0.111287,-13.163,3.00e-03,8.3
57,0.093597,0.113881,-12.849,3.00e-03,8.3
58,0.097490,0.125174,-12.652,3.00e-03,8.3
59,0.093664,0.107152,-12.994,3.00e-03,8.3
60,0.097569,0.114659,-12.661,3.00e-03,8.3
61,0.092309,0.123716,-12.420,3.00e-03,8.3
62,0.092884,0.115617,-12.573,3.00e-03,8.2
63,0.093944,0.108074,-13.124,3.00e-03,8.3
64,0.088722,0.124251,-12.818,3.00e-03,8.3
65,0.089342,0.102591,-13.274,3.00e-03,8.3
66,0.094096,0.123490,-12.235,3.00e-03,8.3
67,0.090406,0.104529,-13.077,3.00e-03,8.3
68,0.093542,0.109261,-12.898,3.00e-03,8.3
69,0.098048,0.110244,-12.626,3.00e-03,8.3
70,0.092444,0.112233,-12.633,3.00e-03,8.2
71,0.088014,0.111694,-13.115,3.00e-03,8.2
72,0.086959,0.102934,-13.143,3.00e-03,8.3
73,0.093627,0.106393,-13.119,3.00e-03,8.3
74,0.090243,0.116195,-12.644,3.00e-03,8.3
75,0.092429,0.116889,-12.224,3.00e-03,8.3
76,0.090720,0.100346,-13.203,3.00e-03,8.2
77,0.085467,0.102574,-13.341,3.00e-03,8.3
78,0.087708,0.109656,-12.936,3.00e-03,8.3
79,0.087022,0.116692,-12.524,3.00e-03,8.3
80,0.082585,0.100779,-13.262,3.00e-03,8.3
81,0.085526,0.101940,-13.164,3.00e-03,8.3
82,0.087121,0.101140,-13.056,3.00e-03,8.2
83,0.086435,0.102596,-13.298,3.00e-03,8.3
84,0.082514,0.096162,-13.306,3.00e-03,8.3
85,0.081776,0.102780,-13.087,3.00e-03,8.3
86,0.083979,0.098322,-13.356,3.00e-03,8.3
87,0.081754,0.103730,-13.063,3.00e-03,8.3
88,0.082179,0.097221,-13.441,3.00e-03,8.3
89,0.081668,0.102579,-12.689,3.00e-03,8.3
90,0.082963,0.107813,-13.406,3.00e-03,8.3
91,0.082187,0.097998,-13.438,3.00e-03,8.3
92,0.081230,0.106760,-13.172,3.00e-03,8.3
93,0.082516,0.105319,-13.365,3.00e-03,8.3
94,0.079742,0.118648,-13.054,3.00e-03,8.2
95,0.079706,0.096080,-13.598,3.00e-03,8.3
96,0.078164,0.096712,-13.516,3.00e-03,8.2
97,0.080957,0.096116,-13.550,3.00e-03,8.3
98,0.079061,0.095772,-13.531,3.00e-03,8.2
99,0.078683,0.092224,-13.856,3.00e-03,8.2
100,0.078435,0.091899,-13.581,3.00e-03,8.3
101,0.078015,0.099119,-13.473,3.00e-03,8.3
102,0.079313,0.092053,-13.583,3.00e-03,8.2
103,0.078499,0.095226,-13.413,3.00e-03,8.3
104,0.077750,0.093080,-13.562,3.00e-03,8.3
105,0.079147,0.094154,-13.511,3.00e-03,8.3
106,0.079182,0.094105,-13.553,3.00e-03,8.3
107,0.079231,0.095504,-13.697,3.00e-03,8.3
108,0.077166,0.095012,-13.577,3.00e-03,8.3
109,0.077568,0.099291,-13.591,3.00e-03,8.3
110,0.078079,0.095555,-13.412,3.00e-03,8.2
111,0.078682,0.095346,-13.433,3.00e-03,8.3
112,0.077377,0.095657,-13.313,3.00e-03,8.3
113,0.077533,0.098434,-13.552,3.00e-03,8.3
114,0.077413,0.096939,-13.495,3.00e-03,8.3
115,0.077860,0.099643,-13.352,3.00e-03,8.3
116,0.078010,0.091358,-13.851,3.00e-03,8.3
