epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.839067,0.798204,-1.659,3.00e-03,12.0
2,0.769141,0.790836,-1.691,3.00e-03,8.3
3,0.767953,0.785513,-1.855,3.00e-03,8.6
4,0.764268,0.776353,-2.112,3.00e-03,8.3
5,0.748747,0.745815,-2.504,3.00e-03,8.2
6,0.572487,0.440768,-6.370,3.00e-03,8.4
7,0.350546,0.339019,-7.664,3.00e-03,8.2
8,0.281676,0.291601,-8.419,3.00e-03,8.3
9,0.256286,0.273646,-9.036,3.00e-03,8.2
10,0.238681,0.300292,-8.843,3.00e-03,8.4
11,0.229810,0.242997,-9.042,3.00e-03,8.2
12,0.225255,0.230244,-9.104,3.00e-03,8.3
13,0.206803,0.216769,-9.492,3.00e-03,8.3
14,0.197766,0.207829,-9.203,3.00e-03,8.3
15,0.194313,0.214198,-9.555,3.00e-03,8.3
16,0.182823,0.198466,-9.801,3.00e-03,8.2
17,0.179208,0.201852,-9.332,3.00e-03,8.3
18,0.172970,0.203529,-10.112,3.00e-03,8.3
19,0.161584,0.179088,-10.199,3.00e-03,8.3
20,0.157895,0.175724,-10.257,3.00e-03,8.2
21,0.157205,0.174956,-10.097,3.00e-03,8.4
22,0.151965,0.178677,-10.664,3.00e-03,8.3
23,0.144566,0.186934,-10.651,3.00e-03,8.2
24,0.143300,0.160894,-10.686,3.00e-03,8.3
25,0.142871,0.167251,-10.618,3.00e-03,8.2
26,0.139353,0.161861,-10.751,3.00e-03,8.3
27,0.133415,0.158044,-11.318,3.00e-03,8.2
28,0.136175,0.163364,-10.918,3.00e-03,8.2
29,0.133494,0.154570,-11.503,3.00e-03,8.2
30,0.126576,0.151229,-11.398,3.00e-03,8.3
31,0.125511,0.149032,-11.922,3.00e-03,8.2
32,0.127535,0.140685,-12.080,3.00e-03,8.3
33,0.123346,0.189427,-11.031,3.00e-03,8.3
34,0.127211,0.141544,-12.343,3.00e-03,8.2
35,0.117472,0.135649,-12.329,3.00e-03,8.3
36,0.117276,0.132957,-12.622,3.00e-03,8.2
37,0.114323,0.140950,-12.190,3.00e-03,8.3
38,0.116230,0.131582,-12.376,3.00e-03,8.2
39,0.112244,0.135308,-12.187,3.00e-03,8.4
40,0.110206,0.127505,-12.538,3.00e-03,8.4
41,0.111910,0.125764,-12.661,3.00e-03,8.3
42,0.104157,0.123559,-12.739,3.00e-03,8.2
43,0.103628,0.132373,-12.344,3.00e-03,8.2
44,0.101410,0.125541,-12.624,3.00e-03,8.3
45,0.103901,0.116625,-12.785,3.00e-03,8.3
46,0.103970,0.138408,-11.577,3.00e-03,8.3
47,0.102333,0.112635,-12.970,3.00e-03,8.3
48,0.100417,0.124479,-12.491,3.00e-03,8.3
49,0.096991,0.118897,-12.498,3.00e-03,8.2
50,0.099181,0.118905,-12.794,3.00e-03,8.3
51,0.097801,0.113178,-13.161,3.00e-03,8.2
52,0.092727,0.116214,-12.636,3.00e-03,8.3
53,0.095285,0.108168,-13.063,3.00e-03,8.4
54,0.097936,0.110423,-13.117,3.00e-03,8.3
55,0.094875,0.107439,-13.046,3.00e-03,8.4
56,0.092320,0.120584,-12.677,3.00e-03,8.4
57,0.093035,0.107405,-13.309,3.00e-03,8.5
58,0.091334,0.112514,-13.037,3.00e-03,8.4
59,0.089410,0.108311,-12.870,3.00e-03,8.3
60,0.090814,0.108650,-13.049,3.00e-03,8.2
61,0.088306,0.104079,-13.252,3.00e-03,8.3
62,0.090640,0.104889,-13.126,3.00e-03,8.3
63,0.087305,0.111360,-12.448,3.00e-03,8.2
64,0.094298,0.123466,-12.653,3.00e-03,8.3
65,0.087334,0.104914,-13.233,3.00e-03,8.2
66,0.090445,0.110526,-12.598,3.00e-03,8.3
67,0.087396,0.107618,-12.757,3.00e-03,8.2
68,0.086172,0.100859,-13.179,3.00e-03,8.3
69,0.086825,0.102164,-13.047,3.00e-03,8.2
70,0.084730,0.102060,-13.038,3.00e-03,8.3
71,0.086074,0.115213,-12.321,3.00e-03,8.2
72,0.092842,0.106676,-12.926,3.00e-03,8.3
73,0.088588,0.099779,-13.344,3.00e-03,8.4
74,0.084080,0.102003,-13.344,3.00e-03,8.3
75,0.085705,0.104869,-12.855,3.00e-03,8.3
76,0.086965,0.098780,-13.321,3.00e-03,8.2
77,0.083062,0.099760,-13.467,3.00e-03,8.3
78,0.084845,0.099981,-13.368,3.00e-03,8.2
79,0.083004,0.100765,-13.223,3.00e-03,8.3
80,0.083477,0.097195,-13.347,3.00e-03,8.2
81,0.083676,0.101664,-13.386,3.00e-03,8.3
82,0.081974,0.099987,-13.450,3.00e-03,8.3
83,0.080886,0.097379,-13.508,3.00e-03,8.2
84,0.080679,0.096112,-13.270,3.00e-03,8.4
85,0.081277,0.102160,-13.048,3.00e-03,8.3
86,0.082164,0.096036,-13.496,3.00e-03,8.9
87,0.081751,0.099877,-13.115,3.00e-03,8.4
88,0.080956,0.096847,-13.466,3.00e-03,8.4
89,0.080207,0.100582,-12.980,3.00e-03,8.4
90,0.081394,0.102417,-13.537,3.00e-03,8.5
91,0.081146,0.097569,-13.385,3.00e-03,8.5
92,0.081534,0.097382,-13.469,3.00e-03,8.3
93,0.081657,0.099765,-13.487,3.00e-03,8.3
94,0.079559,0.107163,-13.233,3.00e-03,8.2
95,0.081503,0.098556,-13.425,3.00e-03,8.4
96,0.079770,0.103045,-13.288,3.00e-03,8.2
97,0.080779,0.095536,-13.552,3.00e-03,8.3
98,0.079042,0.093693,-13.525,3.00e-03,8.2
99,0.078688,0.092400,-13.654,3.00e-03,8.3
100,0.080595,0.099193,-13.435,3.00e-03,8.4
101,0.084969,0.094949,-13.555,3.00e-03,8.3
102,0.083230,0.096907,-13.393,3.00e-03,8.3
103,0.078630,0.094685,-13.359,3.00e-03,8.3
104,0.079739,0.094049,-13.515,3.00e-03,8.3
105,0.077600,0.092949,-13.402,3.00e-03,8.2
106,0.079311,0.094329,-13.582,3.00e-03,8.3
107,0.080184,0.093800,-13.675,3.00e-03,8.2
108,0.076867,0.094073,-13.608,3.00e-03,8.3
109,0.077273,0.101260,-13.484,3.00e-03,8.5
110,0.078695,0.097594,-13.285,3.00e-03,8.2
111,0.078214,0.095185,-13.476,3.00e-03,8.3
112,0.077711,0.099070,-13.314,3.00e-03,8.5
113,0.078192,0.094619,-13.506,3.00e-03,8.5
114,0.078707,0.094319,-13.656,3.00e-03,8.4
115,0.077213,0.100672,-13.311,3.00e-03,8.3
116,0.078077,0.092910,-13.841,3.00e-03,8.2
117,0.075858,0.095256,-13.658,3.00e-03,8.3
118,0.076573,0.096781,-13.642,3.00e-03,8.3
119,0.076782,0.105586,-13.133,3.00e-03,8.2
120,0.079164,0.093800,-13.468,1.50e-03,8.3
121,0.073959,0.090012,-13.799,1.50e-03,8.2
122,0.072969,0.091179,-13.751,1.50e-03,8.3
123,0.073489,0.092203,-13.819,1.50e-03,8.3
124,0.073353,0.091519,-13.901,1.50e-03,8.3
125,0.073568,0.088096,-13.842,1.50e-03,8.2
126,0.073433,0.091586,-13.826,1.50e-03,8.4
127,0.073845,0.089463,-13.795,1.50e-03,8.4
128,0.073421,0.095972,-13.808,1.50e-03,8.3
129,0.074197,0.089674,-13.675,1.50e-03,8.3
130,0.073986,0.091161,-13.601,1.50e-03,8.3
131,0.073504,0.090583,-13.939,1.50e-03,8.4
132,0.073236,0.089059,-13.919,1.50e-03,8.2
133,0.072664,0.088308,-13.987,1.50e-03,8.3
134,0.073469,0.091755,-13.917,1.50e-03,8.2
135,0.073110,0.089812,-13.766,1.50e-03,8.3
136,0.073293,0.088453,-13.902,1.50e-03,8.3
137,0.073437,0.090620,-13.768,1.50e-03,8.2
138,0.073740,0.090381,-13.742,1.50e-03,8.4
139,0.073262,0.088615,-13.900,1.50e-03,8.2
140,0.072526,0.088482,-14.012,1.50e-03,8.2
141,0.072827,0.095213,-13.633,1.50e-03,8.2
142,0.075305,0.092916,-13.802,1.50e-03,8.3
143,0.073599,0.090503,-13.935,1.50e-03,8.2
144,0.072978,0.088071,-13.934,1.50e-03,8.3
145,0.072125,0.087935,-13.839,1.50e-03,8.2
146,0.072596,0.091059,-13.758,1.50e-03,8.3
147,0.073181,0.090398,-13.928,1.50e-03,8.3
148,0.072867,0.089354,-13.975,1.50e-03,8.2
149,0.071815,0.089364,-13.882,1.50e-03,8.3
150,0.072750,0.092398,-14.022,1.50e-03,8.2
151,0.072317,0.091129,-13.958,1.50e-03,8.3
152,0.072694,0.092649,-13.962,1.50e-03,8.3
153,0.073304,0.088737,-14.061,1.50e-03,8.3
154,0.071929,0.088849,-13.806,1.50e-03,8.2
155,0.073171,0.094731,-13.491,1.50e-03,8.3
156,0.072535,0.090266,-13.927,1.50e-03,8.3
157,0.072365,0.094525,-13.520,1.50e-03,8.2
158,0.073329,0.087751,-13.947,1.50e-03,8.3
159,0.072217,0.088503,-13.847,1.50e-03,8.2
160,0.072467,0.091592,-13.663,1.50e-03,8.3
161,0.073287,0.091459,-13.670,1.50e-03,8.2
162,0.071859,0.087620,-14.188,1.50e-03,8.3
163,0.071568,0.089033,-13.878,1.50e-03,8.2
164,0.071439,0.089323,-13.918,1.50e-03,8.3
165,0.071360,0.090467,-13.941,1.50e-03,8.2
166,0.070854,0.093842,-13.635,1.50e-03,8.3
167,0.071252,0.086349,-13.996,1.50e-03,8.3
168,0.070565,0.087398,-13.999,1.50e-03,8.2
169,0.071606,0.089061,-14.032,1.50e-03,8.3
170,0.071596,0.088484,-13.882,1.50e-03,8.2
171,0.072500,0.088586,-13.826,1.50e-03,8.2
172,0.072134,0.088341,-13.960,1.50e-03,8.2
173,0.069912,0.088557,-13.955,1.50e-03,8.3
174,0.071095,0.086716,-13.965,1.50e-03,8.2
175,0.070122,0.087694,-13.938,1.50e-03,8.3
176,0.070666,0.094172,-13.962,1.50e-03,8.2
177,0.070721,0.089226,-14.018,1.50e-03,8.3
178,0.070837,0.086705,-14.008,1.50e-03,8.3
179,0.070227,0.088207,-13.995,1.50e-03,8.2
180,0.071203,0.088874,-13.888,1.50e-03,8.2
181,0.070666,0.088055,-13.947,1.50e-03,8.2
182,0.069422,0.087698,-13.972,1.50e-03,8.3
183,0.070416,0.087634,-13.920,1.50e-03,8.2
184,0.070094,0.088795,-13.819,1.50e-03,8.2
185,0.071032,0.087605,-13.988,1.50e-03,8.2
186,0.070829,0.087148,-14.164,1.50e-03,8.2
187,0.069768,0.089821,-13.981,1.50e-03,8.2
188,0.070286,0.087999,-13.873,7.50e-04,8.2
189,0.068527,0.084878,-14.137,7.50e-04,8.3
190,0.068405,0.086308,-14.008,7.50e-04,8.2
191,0.068806,0.086068,-14.183,7.50e-04,8.2
192,0.069340,0.085577,-14.244,7.50e-04,8.2
193,0.068980,0.086169,-14.034,7.50e-04,8.5
