epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,1.188590,0.924379,-0.604,3.00e-04,8.1
2,0.874510,0.858472,-1.173,3.00e-04,8.7
3,0.804747,0.808720,-1.593,3.00e-04,7.5
4,0.777658,0.801494,-1.631,3.00e-04,8.3
5,0.775742,0.797293,-1.646,3.00e-04,7.5
6,0.774340,0.796767,-1.657,3.00e-04,8.3
7,0.770962,0.795295,-1.665,3.00e-04,7.5
8,0.770590,0.794275,-1.672,3.00e-04,8.3
9,0.769682,0.793791,-1.678,3.00e-04,7.5
10,0.769532,0.792767,-1.683,3.00e-04,8.4
11,0.769797,0.794274,-1.684,3.00e-04,8.2
12,0.769410,0.792291,-1.692,3.00e-04,7.5
13,0.768549,0.791623,-1.697,3.00e-04,8.2
14,0.768090,0.791022,-1.701,3.00e-04,7.5
15,0.769414,0.791235,-1.704,3.00e-04,8.3
16,0.767574,0.792017,-1.706,3.00e-04,7.5
17,0.766888,0.790214,-1.715,3.00e-04,8.1
18,0.768896,0.788984,-1.721,3.00e-04,7.5
19,0.766471,0.789571,-1.726,3.00e-04,8.4
20,0.765620,0.788751,-1.737,3.00e-04,7.5
21,0.763477,0.786211,-1.762,3.00e-04,8.2
22,0.763067,0.780365,-1.824,3.00e-04,7.5
23,0.757146,0.777409,-1.914,3.00e-04,8.4
24,0.749913,0.764412,-2.118,3.00e-04,7.5
25,0.738049,0.751657,-2.340,3.00e-04,8.3
26,0.718164,0.725545,-2.568,3.00e-04,7.5
27,0.683448,0.693621,-2.859,3.00e-04,8.3
28,0.645967,0.657946,-3.235,3.00e-04,7.5
29,0.605725,0.623286,-3.833,3.00e-04,8.1
30,0.574193,0.592769,-4.118,3.00e-04,8.0
31,0.540323,0.571758,-4.364,3.00e-04,7.5
32,0.519830,0.546059,-4.972,3.00e-04,8.2
33,0.494541,0.526813,-5.314,3.00e-04,7.6
34,0.472530,0.505524,-5.421,3.00e-04,8.1
35,0.452723,0.485574,-5.655,3.00e-04,7.5
36,0.436427,0.470280,-5.758,3.00e-04,8.0
37,0.424891,0.459643,-5.738,3.00e-04,7.5
38,0.415934,0.449326,-6.065,3.00e-04,8.1
39,0.408456,0.438823,-6.076,3.00e-04,7.5
40,0.395964,0.428828,-6.256,3.00e-04,8.2
41,0.389619,0.423617,-6.156,3.00e-04,7.5
42,0.379229,0.413200,-6.413,3.00e-04,8.1
43,0.372437,0.406475,-6.507,3.00e-04,7.5
44,0.366946,0.397444,-6.792,3.00e-04,8.2
45,0.361578,0.392144,-6.748,3.00e-04,7.4
46,0.355710,0.384469,-6.716,3.00e-04,8.1
47,0.348768,0.380948,-6.784,3.00e-04,7.5
48,0.344852,0.375331,-7.019,3.00e-04,8.1
49,0.338117,0.368305,-6.972,3.00e-04,7.4
50,0.332718,0.359283,-7.264,3.00e-04,8.2
51,0.325914,0.354989,-7.298,3.00e-04,7.6
52,0.320566,0.347682,-7.363,3.00e-04,8.2
53,0.317682,0.348585,-7.245,3.00e-04,8.0
54,0.311831,0.340886,-7.650,3.00e-04,7.5
55,0.306635,0.338070,-7.424,3.00e-04,8.1
56,0.301920,0.329525,-7.830,3.00e-04,7.5
57,0.296944,0.324327,-7.885,3.00e-04,8.3
58,0.291070,0.318160,-7.937,3.00e-04,7.5
59,0.288696,0.314161,-7.878,3.00e-04,8.1
60,0.283972,0.310884,-7.916,3.00e-04,7.5
61,0.278444,0.303211,-8.191,3.00e-04,8.2
62,0.274525,0.300450,-8.288,3.00e-04,7.5
63,0.269600,0.295426,-8.264,3.00e-04,8.2
64,0.266884,0.301585,-8.541,3.00e-04,7.5
65,0.265023,0.288258,-8.472,3.00e-04,8.2
66,0.263759,0.289154,-8.449,3.00e-04,7.5
67,0.258163,0.281523,-8.503,3.00e-04,8.1
