epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.848429,0.793605,-1.693,1.00e-02,7.9
2,0.743400,0.668329,-2.688,1.00e-02,7.4
3,0.516272,0.376261,-7.236,1.00e-02,7.4
4,0.299903,0.286430,-8.215,1.00e-02,7.5
5,0.233421,0.224469,-9.287,1.00e-02,7.5
6,0.235215,0.203589,-9.988,1.00e-02,7.6
7,0.177983,0.175614,-10.654,1.00e-02,7.5
8,0.168540,0.174792,-10.386,1.00e-02,7.5
9,0.146900,0.166607,-10.201,1.00e-02,7.4
10,0.143388,0.159738,-10.329,1.00e-02,7.4
11,0.140772,0.151262,-10.834,1.00e-02,7.4
12,0.142011,0.160114,-10.295,1.00e-02,7.4
13,0.135549,0.156931,-10.325,1.00e-02,7.4
14,0.141690,0.151521,-10.417,1.00e-02,7.4
15,0.134401,0.145672,-11.237,1.00e-02,7.5
16,0.120273,0.135079,-11.291,1.00e-02,7.4
17,0.119442,0.144031,-10.980,1.00e-02,7.4
18,nan,nan,nan,1.00e-02,7.4
19,nan,nan,nan,1.00e-02,7.5
20,nan,nan,nan,1.00e-02,7.6
21,nan,nan,nan,1.00e-02,7.4
22,nan,nan,nan,1.00e-02,7.5
23,nan,nan,nan,1.00e-02,7.6
24,nan,nan,nan,1.00e-02,7.5
25,nan,nan,nan,1.00e-02,7.5
26,nan,nan,nan,1.00e-02,7.5
27,nan,nan,nan,1.00e-02,7.5
28,nan,nan,nan,1.00e-02,7.5
29,nan,nan,nan,1.00e-02,7.5
30,nan,nan,nan,1.00e-02,7.5
31,nan,nan,nan,1.00e-02,7.4
32,nan,nan,nan,1.00e-02,7.5
33,nan,nan,nan,1.00e-02,7.5
34,nan,nan,nan,1.00e-02,7.5
35,nan,nan,nan,1.00e-02,7.7
36,nan,nan,nan,1.00e-02,7.5
37,nan,nan,nan,5.00e-03,7.5
38,nan,nan,nan,5.00e-03,7.5
39,nan,nan,nan,5.00e-03,7.4
40,nan,nan,nan,5.00e-03,7.6
41,nan,nan,nan,5.00e-03,7.5
42,nan,nan,nan,5.00e-03,7.5
43,nan,nan,nan,5.00e-03,7.5
44,nan,nan,nan,5.00e-03,7.5
45,nan,nan,nan,5.00e-03,7.5
46,nan,nan,nan,5.00e-03,7.6
