epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.939138,0.801485,-1.620,1.00e-03,10.4
2,0.773357,0.794198,-1.679,1.00e-03,9.7
3,0.770522,0.793758,-1.690,1.00e-03,9.4
4,0.768464,0.793631,-1.692,1.00e-03,9.4
5,0.769787,0.791651,-1.701,1.00e-03,9.5
6,0.770024,0.792961,-1.706,1.00e-03,9.5
7,0.766648,0.786075,-1.758,1.00e-03,9.4
8,0.756338,0.756226,-2.074,1.00e-03,9.4
9,0.676785,0.646070,-3.074,1.00e-03,9.5
10,0.583064,0.561232,-4.422,1.00e-03,9.5
11,0.483251,0.459963,-5.718,1.00e-03,9.4
12,0.412096,0.403842,-6.669,1.00e-03,9.4
13,0.347390,0.348981,-7.298,1.00e-03,9.4
14,0.303218,0.314961,-8.242,1.00e-03,9.3
15,0.285890,0.310695,-8.250,1.00e-03,9.4
16,0.273914,0.305282,-8.641,1.00e-03,9.4
17,0.248632,0.271706,-9.026,1.00e-03,9.5
18,0.237073,0.270060,-9.157,1.00e-03,9.4
19,0.228423,0.252943,-9.279,1.00e-03,9.4
20,0.219862,0.253374,-9.033,1.00e-03,9.4
21,0.209897,0.228517,-9.775,1.00e-03,9.5
22,0.207672,0.245494,-9.575,1.00e-03,9.4
23,0.205173,0.229372,-9.946,1.00e-03,9.4
24,0.195199,0.210860,-9.942,1.00e-03,9.4
25,0.191731,0.210584,-9.845,1.00e-03,9.4
26,0.185747,0.202608,-10.026,1.00e-03,9.4
27,0.182757,0.200139,-10.019,1.00e-03,9.4
28,0.181110,0.191818,-10.302,1.00e-03,9.4
29,0.175525,0.204007,-10.124,1.00e-03,9.5
30,0.172167,0.196470,-10.237,1.00e-03,9.5
31,0.168182,0.190686,-10.219,1.00e-03,9.4
32,0.170441,0.184137,-10.085,1.00e-03,9.5
33,0.165831,0.174514,-10.432,1.00e-03,9.4
34,0.163536,0.175505,-10.398,1.00e-03,9.5
35,0.158429,0.173997,-10.416,1.00e-03,9.5
36,0.166372,0.193973,-9.983,1.00e-03,9.4
37,0.159297,0.174333,-10.149,1.00e-03,9.4
38,0.157493,0.166826,-10.569,1.00e-03,9.4
39,0.152370,0.168334,-10.411,1.00e-03,9.3
40,0.151770,0.164231,-10.332,1.00e-03,9.4
41,0.149735,0.164538,-10.556,1.00e-03,9.4
42,0.144820,0.159387,-10.486,1.00e-03,9.4
43,0.148907,0.162397,-10.611,1.00e-03,9.4
44,0.144102,0.159667,-10.417,1.00e-03,9.4
45,0.146330,0.179503,-10.514,1.00e-03,9.4
46,0.142583,0.158957,-10.694,1.00e-03,9.4
47,0.143616,0.160474,-10.542,1.00e-03,9.4
48,0.140470,0.154726,-10.643,1.00e-03,9.4
49,0.136835,0.161441,-10.470,1.00e-03,9.4
50,0.138735,0.179634,-10.306,1.00e-03,9.4
51,0.140787,0.159478,-10.895,1.00e-03,9.5
52,0.137335,0.164415,-10.429,1.00e-03,9.4
53,0.137647,0.154739,-10.524,1.00e-03,9.4
54,0.134270,0.152309,-10.687,1.00e-03,9.4
55,0.133893,0.156629,-10.390,1.00e-03,9.4
56,0.132465,0.161872,-10.880,1.00e-03,9.5
57,0.131775,0.146076,-11.028,1.00e-03,9.4
58,0.130516,0.145438,-10.927,1.00e-03,9.4
59,0.128710,0.145335,-10.975,1.00e-03,9.4
60,0.132292,0.156637,-10.639,1.00e-03,9.4
61,0.131918,0.145664,-10.974,1.00e-03,9.4
62,0.127313,0.148716,-11.139,1.00e-03,9.4
63,0.128212,0.153150,-11.137,1.00e-03,9.4
64,0.125341,0.151595,-10.972,1.00e-03,9.4
65,0.131729,0.145366,-11.202,1.00e-03,9.4
66,0.127161,0.149971,-10.751,1.00e-03,9.4
67,0.127172,0.143044,-10.883,1.00e-03,9.4
68,0.125194,0.138867,-11.094,1.00e-03,9.4
69,0.123824,0.142539,-11.085,1.00e-03,9.5
70,0.123729,0.140434,-11.237,1.00e-03,9.5
71,0.120236,0.150978,-11.267,1.00e-03,9.4
72,0.123039,0.139929,-11.159,1.00e-03,9.5
73,0.121588,0.141007,-11.262,1.00e-03,9.4
74,0.120103,0.140403,-11.394,1.00e-03,9.4
75,0.122879,0.157825,-10.611,1.00e-03,9.4
76,0.120791,0.142134,-11.150,1.00e-03,9.4
77,0.120827,0.141226,-11.486,1.00e-03,9.4
78,0.117023,0.138104,-11.524,1.00e-03,9.4
79,0.117937,0.139787,-11.189,1.00e-03,9.4
80,0.119519,0.139150,-11.351,1.00e-03,9.5
81,0.117380,0.141230,-11.446,1.00e-03,9.5
82,0.115210,0.131222,-11.656,1.00e-03,9.4
83,0.113862,0.134020,-11.611,1.00e-03,9.6
84,0.113763,0.129362,-11.703,1.00e-03,9.4
85,0.115232,0.137802,-11.566,1.00e-03,9.4
86,0.112685,0.129618,-11.589,1.00e-03,9.4
87,0.115613,0.141536,-11.468,1.00e-03,9.3
88,0.112376,0.134646,-11.736,1.00e-03,9.5
89,0.111289,0.137469,-11.481,1.00e-03,9.4
90,0.112896,0.130043,-11.865,1.00e-03,9.4
91,0.111119,0.130173,-11.903,1.00e-03,9.5
92,0.109834,0.131386,-11.917,1.00e-03,9.4
93,0.110331,0.137367,-11.796,1.00e-03,9.4
94,0.111483,0.128078,-12.061,1.00e-03,9.4
95,0.109383,0.129283,-11.846,1.00e-03,9.3
96,0.110569,0.132238,-11.649,1.00e-03,9.4
97,0.109802,0.127228,-11.831,1.00e-03,9.4
98,0.107861,0.129169,-12.070,1.00e-03,9.4
99,0.107845,0.124580,-12.153,1.00e-03,9.4
100,0.108602,0.131170,-11.530,1.00e-03,9.4
101,0.106805,0.137319,-11.814,1.00e-03,9.4
102,0.106435,0.122761,-12.205,1.00e-03,9.4
103,0.105218,0.127525,-12.001,1.00e-03,9.5
104,0.103906,0.124449,-12.004,1.00e-03,9.4
105,0.106135,0.125456,-12.176,1.00e-03,9.4
106,0.106711,0.122820,-12.161,1.00e-03,9.3
107,0.105291,0.124158,-12.206,1.00e-03,9.4
108,0.103876,0.126628,-12.064,1.00e-03,9.4
109,0.103511,0.129539,-12.271,1.00e-03,9.5
110,0.105754,0.124402,-12.060,1.00e-03,9.5
111,0.102834,0.123397,-12.130,1.00e-03,9.5
112,0.101647,0.121900,-12.290,1.00e-03,9.5
113,0.101925,0.125942,-12.166,1.00e-03,9.5
114,0.102695,0.129025,-11.835,1.00e-03,9.4
115,0.101420,0.150465,-11.235,1.00e-03,9.4
116,0.105604,0.122543,-12.308,1.00e-03,9.4
117,0.099812,0.118035,-12.511,1.00e-03,9.4
118,0.099806,0.130365,-12.269,1.00e-03,9.4
119,0.099575,0.121932,-12.222,1.00e-03,9.4
120,0.098819,0.120248,-12.316,1.00e-03,9.5
121,0.098051,0.118044,-12.578,1.00e-03,9.4
122,0.097377,0.121667,-12.244,1.00e-03,9.4
123,0.098441,0.121586,-12.369,1.00e-03,9.5
124,0.097463,0.118820,-12.517,1.00e-03,9.3
125,0.097604,0.116332,-12.585,1.00e-03,9.4
126,0.097680,0.117222,-12.464,1.00e-03,9.4
127,0.098927,0.115486,-12.580,1.00e-03,9.4
128,0.096359,0.119497,-12.736,1.00e-03,9.4
129,0.097850,0.118954,-12.379,1.00e-03,9.4
130,0.097946,0.114292,-12.653,1.00e-03,9.4
131,0.094824,0.117929,-12.708,1.00e-03,9.4
132,0.094584,0.112744,-12.837,1.00e-03,9.3
133,0.096484,0.119140,-12.663,1.00e-03,9.4
134,0.096825,0.117807,-12.753,1.00e-03,9.4
135,0.096513,0.116603,-12.564,1.00e-03,9.4
136,0.093785,0.117310,-12.812,1.00e-03,9.5
137,0.093836,0.113384,-12.666,1.00e-03,9.4
138,0.094715,0.110550,-12.809,1.00e-03,9.3
139,0.092188,0.117630,-12.661,1.00e-03,9.4
140,0.093019,0.112376,-12.759,1.00e-03,9.3
141,0.097541,0.124266,-12.377,1.00e-03,9.4
142,0.094454,0.113307,-12.960,1.00e-03,9.4
143,0.093934,0.114250,-12.912,1.00e-03,9.4
144,0.092000,0.111194,-12.678,1.00e-03,9.5
145,0.091706,0.111637,-12.708,1.00e-03,9.4
146,0.091021,0.110907,-12.738,1.00e-03,9.4
147,0.091082,0.110040,-13.084,1.00e-03,9.4
148,0.090134,0.110733,-12.995,1.00e-03,9.4
149,0.090749,0.113525,-12.921,1.00e-03,9.4
150,0.091348,0.110678,-13.170,1.00e-03,9.4
151,0.089639,0.111854,-13.080,1.00e-03,9.4
152,0.089438,0.117674,-12.905,1.00e-03,9.5
153,0.091008,0.110253,-12.894,1.00e-03,9.4
154,0.088114,0.107005,-12.905,1.00e-03,9.4
155,0.088824,0.107450,-12.913,1.00e-03,9.4
156,0.087452,0.107279,-13.046,1.00e-03,9.4
157,0.087753,0.109298,-12.838,1.00e-03,9.4
158,0.088518,0.109572,-12.926,1.00e-03,9.4
159,0.086971,0.107368,-12.999,1.00e-03,9.4
160,0.090100,0.112137,-12.734,1.00e-03,9.5
161,0.089325,0.103459,-13.170,1.00e-03,9.4
162,0.086353,0.104965,-13.300,1.00e-03,9.4
163,0.090224,0.104875,-13.204,1.00e-03,9.5
164,0.086601,0.106467,-13.116,1.00e-03,9.4
165,0.086110,0.103824,-13.337,1.00e-03,9.4
166,0.086135,0.112854,-12.984,1.00e-03,9.4
167,0.086145,0.102669,-13.392,1.00e-03,9.4
168,0.084876,0.105909,-12.985,1.00e-03,9.4
169,0.086546,0.104555,-13.260,1.00e-03,9.4
170,0.086745,0.103716,-13.223,1.00e-03,9.4
171,0.086989,0.107466,-13.146,1.00e-03,9.4
172,0.085462,0.108723,-12.961,1.00e-03,9.4
173,0.085604,0.102336,-13.355,1.00e-03,9.3
174,0.084139,0.101076,-13.323,1.00e-03,9.4
175,0.083699,0.103102,-13.203,1.00e-03,9.4
176,0.084883,0.106250,-13.165,1.00e-03,9.4
177,0.084616,0.105799,-13.242,1.00e-03,9.4
178,0.085862,0.100503,-13.396,1.00e-03,9.4
179,0.083598,0.108787,-13.046,1.00e-03,9.4
180,0.084007,0.101765,-13.365,1.00e-03,9.4
181,0.083281,0.102057,-13.295,1.00e-03,9.3
182,0.082698,0.099628,-13.399,1.00e-03,9.4
183,0.083621,0.102598,-13.143,1.00e-03,9.4
184,0.082728,0.110517,-12.760,1.00e-03,9.5
185,0.083753,0.097834,-13.442,1.00e-03,9.4
186,0.083394,0.110700,-12.907,1.00e-03,9.4
187,0.083841,0.100462,-13.422,1.00e-03,9.5
188,0.084175,0.100311,-13.303,1.00e-03,9.5
189,0.082568,0.101399,-13.400,1.00e-03,9.4
190,0.083499,0.103295,-13.278,1.00e-03,9.4
191,0.082050,0.106268,-13.291,1.00e-03,9.4
192,0.083337,0.103248,-13.490,1.00e-03,9.5
193,0.083486,0.101907,-13.189,1.00e-03,9.4
194,0.081496,0.097443,-13.527,1.00e-03,9.4
