epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.873038,0.795312,-1.675,3.00e-03,9.9
2,0.769669,0.792050,-1.695,3.00e-03,9.3
3,0.769297,0.791108,-1.747,3.00e-03,9.4
4,0.714651,0.679003,-2.692,3.00e-03,9.4
5,0.565979,0.466553,-5.409,3.00e-03,9.4
6,0.372693,0.385573,-7.621,3.00e-03,9.4
7,0.280719,0.306905,-8.118,3.00e-03,9.3
8,0.251913,0.248252,-9.062,3.00e-03,9.3
9,0.222188,0.225002,-9.859,3.00e-03,9.4
10,0.204023,0.206203,-9.931,3.00e-03,9.4
11,0.185338,0.222200,-9.618,3.00e-03,9.4
12,0.179170,0.181335,-10.487,3.00e-03,9.4
13,0.180304,0.173707,-10.723,3.00e-03,9.3
14,0.172794,0.177493,-10.698,3.00e-03,9.4
15,0.152592,0.171686,-10.849,3.00e-03,9.4
16,0.154265,0.174854,-10.670,3.00e-03,9.4
17,0.144167,0.160923,-11.013,3.00e-03,9.3
18,0.139057,0.155430,-10.900,3.00e-03,9.3
19,0.145053,0.162307,-10.788,3.00e-03,9.4
20,0.131790,0.158638,-10.888,3.00e-03,9.3
21,0.126616,0.151635,-10.832,3.00e-03,9.4
22,0.126938,0.142526,-11.467,3.00e-03,9.3
23,0.124848,0.160228,-11.128,3.00e-03,9.4
24,0.122346,0.138339,-11.179,3.00e-03,9.3
25,0.128467,0.140369,-11.373,3.00e-03,9.3
26,0.121143,0.134461,-11.416,3.00e-03,9.3
27,0.116156,0.134006,-11.506,3.00e-03,9.3
28,0.115234,0.134221,-11.339,3.00e-03,9.4
29,0.112282,0.132331,-11.639,3.00e-03,9.4
30,0.111208,0.131052,-11.860,3.00e-03,9.4
31,0.110450,0.129553,-11.663,3.00e-03,9.4
32,0.109658,0.126117,-11.908,3.00e-03,9.4
33,0.107419,0.124703,-11.913,3.00e-03,9.4
34,0.109329,0.127513,-12.086,3.00e-03,9.4
35,0.108824,0.128987,-11.860,3.00e-03,9.4
36,0.105600,0.130310,-12.331,3.00e-03,9.3
37,0.103179,0.123169,-12.114,3.00e-03,9.4
38,0.102243,0.120828,-12.342,3.00e-03,9.4
39,0.102328,0.119126,-12.301,3.00e-03,9.4
40,0.098726,0.123906,-12.143,3.00e-03,9.4
41,0.100255,0.118847,-12.312,3.00e-03,9.3
42,0.094973,0.124170,-12.199,3.00e-03,9.4
43,0.097908,0.114138,-12.652,3.00e-03,9.4
44,0.093074,0.125168,-12.380,3.00e-03,9.4
45,0.099060,0.112977,-13.048,3.00e-03,9.4
