epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.830657,0.794293,-1.663,3.00e-03,9.0
2,0.762853,0.790786,-1.693,3.00e-03,8.5
3,0.762192,0.791121,-1.723,3.00e-03,8.5
4,0.754446,0.773744,-2.028,3.00e-03,8.5
5,0.693406,0.637257,-3.398,3.00e-03,8.5
6,0.467505,0.422130,-6.486,3.00e-03,8.5
7,0.346739,0.331381,-7.561,3.00e-03,8.5
8,0.301737,0.306324,-8.103,3.00e-03,8.5
9,0.265561,0.273172,-8.773,3.00e-03,8.5
10,0.238125,0.263277,-9.085,3.00e-03,8.5
11,0.225524,0.236949,-9.347,3.00e-03,8.5
12,0.206817,0.245302,-9.135,3.00e-03,8.5
13,0.199185,0.221670,-9.477,3.00e-03,8.5
14,0.189523,0.209306,-9.648,3.00e-03,8.5
15,0.179308,0.203465,-10.066,3.00e-03,8.5
16,0.180453,0.200041,-10.005,3.00e-03,8.5
17,0.172412,0.205264,-9.904,3.00e-03,8.5
18,0.162903,0.193706,-10.131,3.00e-03,8.5
19,0.161484,0.175650,-10.422,3.00e-03,8.5
20,0.155577,0.186159,-10.348,3.00e-03,8.5
21,0.160829,0.174903,-10.437,3.00e-03,8.5
22,0.149214,0.166593,-10.813,3.00e-03,8.5
23,0.146800,0.164955,-10.520,3.00e-03,8.5
24,0.151640,0.165449,-10.894,3.00e-03,8.5
25,0.141911,0.170579,-10.387,3.00e-03,8.5
26,0.145577,0.159381,-10.523,3.00e-03,8.5
27,0.134870,0.174419,-10.910,3.00e-03,8.5
28,0.140968,0.153928,-10.812,3.00e-03,8.5
29,0.134870,0.153878,-10.822,3.00e-03,8.5
30,0.137624,0.158387,-10.758,3.00e-03,8.5
31,0.135083,0.157447,-10.829,3.00e-03,8.5
32,0.137608,0.162016,-10.663,3.00e-03,8.5
33,0.132881,0.147378,-11.151,3.00e-03,8.5
34,0.129806,0.155577,-10.728,3.00e-03,8.5
35,0.133657,0.144365,-11.147,3.00e-03,8.5
36,0.127644,0.147236,-11.031,3.00e-03,8.5
37,0.124848,0.142409,-11.203,3.00e-03,8.5
38,0.126722,0.156207,-10.895,3.00e-03,8.6
39,0.124150,0.141516,-11.013,3.00e-03,8.5
40,0.125902,0.138617,-11.317,3.00e-03,8.5
