epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.830657,0.794293,-1.663,3.00e-03,9.2
2,0.762853,0.790786,-1.693,3.00e-03,8.6
3,0.762192,0.791121,-1.723,3.00e-03,8.6
4,0.757608,0.773327,-2.003,3.00e-03,8.6
5,0.698025,0.647580,-3.319,3.00e-03,8.6
6,0.510685,0.467011,-5.780,3.00e-03,8.6
7,0.384497,0.372143,-6.875,3.00e-03,8.6
8,0.306741,0.320064,-7.887,3.00e-03,8.6
9,0.268485,0.273737,-8.653,3.00e-03,8.6
10,0.238456,0.280281,-8.526,3.00e-03,8.6
11,0.224316,0.245646,-9.473,3.00e-03,8.6
12,0.213257,0.238358,-9.120,3.00e-03,8.6
13,0.198242,0.226209,-9.512,3.00e-03,8.6
14,0.191404,0.213662,-9.692,3.00e-03,8.6
15,0.177920,0.207654,-10.029,3.00e-03,8.6
16,0.175277,0.206998,-9.921,3.00e-03,8.6
17,0.168111,0.190181,-10.465,3.00e-03,8.6
18,0.159715,0.177202,-10.555,3.00e-03,8.6
19,0.158587,0.201186,-10.099,3.00e-03,8.6
20,0.156867,0.168030,-10.671,3.00e-03,8.6
21,0.149450,0.188808,-10.211,3.00e-03,8.6
22,0.155704,0.171304,-10.538,3.00e-03,8.6
23,0.146952,0.163454,-10.697,3.00e-03,8.7
24,0.148822,0.179877,-10.310,3.00e-03,8.7
25,0.143836,0.158012,-10.811,3.00e-03,8.7
26,0.142775,0.158849,-11.009,3.00e-03,8.7
27,0.136374,0.169358,-10.970,3.00e-03,8.8
28,0.137229,0.148725,-11.058,3.00e-03,8.6
29,0.134163,0.176748,-10.539,3.00e-03,8.6
30,0.134921,0.180279,-10.278,3.00e-03,8.6
31,0.132416,0.146175,-11.100,3.00e-03,8.6
32,0.128076,0.147186,-11.045,3.00e-03,8.6
33,0.138926,0.216185,-8.907,3.00e-03,8.6
34,0.132295,0.155486,-10.878,3.00e-03,8.6
35,0.128655,0.168613,-10.313,3.00e-03,8.6
36,0.128466,0.144142,-11.276,3.00e-03,8.6
37,0.122206,0.142200,-11.063,3.00e-03,8.6
38,0.122303,0.138047,-11.226,3.00e-03,8.6
39,0.127518,0.145682,-10.902,3.00e-03,8.7
40,0.120923,0.145242,-10.998,3.00e-03,8.7
