epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.824162,0.791920,-1.676,3.00e-03,8.8
2,0.760192,0.790617,-1.693,3.00e-03,8.3
3,0.760400,0.793583,-1.687,3.00e-03,8.3
4,0.760857,0.815927,-1.700,3.00e-03,8.3
5,0.732562,0.714607,-2.468,3.00e-03,8.3
6,0.563021,0.535525,-4.607,3.00e-03,8.3
7,0.419417,0.418992,-6.037,3.00e-03,8.3
8,0.338474,0.352928,-7.180,3.00e-03,8.3
9,0.293726,0.328764,-8.095,3.00e-03,8.3
10,0.277322,0.292717,-8.460,3.00e-03,8.3
11,0.243654,0.251956,-9.034,3.00e-03,8.3
12,0.228519,0.250993,-9.185,3.00e-03,8.3
13,0.210209,0.228445,-9.506,3.00e-03,8.3
14,0.201156,0.216077,-9.580,3.00e-03,8.3
15,0.191018,0.205172,-9.913,3.00e-03,8.3
16,0.174784,0.202738,-9.876,3.00e-03,8.3
17,0.173487,0.190486,-9.949,3.00e-03,8.3
18,0.168708,0.181848,-10.183,3.00e-03,8.3
19,0.169839,0.227644,-8.725,3.00e-03,8.3
20,0.165841,0.177511,-10.193,3.00e-03,8.3
21,0.157744,0.166236,-10.582,3.00e-03,8.3
22,0.152740,0.177740,-10.043,3.00e-03,8.3
23,0.150891,0.168806,-10.458,3.00e-03,8.3
24,0.154112,0.173420,-10.431,3.00e-03,8.3
25,0.150220,0.168845,-10.578,3.00e-03,8.3
26,0.149285,0.160151,-10.663,3.00e-03,8.3
27,0.140903,0.161814,-10.858,3.00e-03,8.3
28,0.140669,0.154403,-10.764,3.00e-03,8.4
29,0.136323,0.157157,-10.716,3.00e-03,8.4
30,0.139589,0.164557,-10.310,3.00e-03,8.3
31,0.135365,0.156729,-10.800,3.00e-03,8.4
32,0.132875,0.155327,-10.637,3.00e-03,8.3
33,0.130701,0.153193,-10.809,3.00e-03,8.4
34,0.132654,0.153146,-11.047,3.00e-03,8.4
35,0.143956,0.146065,-11.310,3.00e-03,8.4
36,0.131711,0.153985,-10.858,3.00e-03,8.4
37,0.133152,0.147975,-10.959,3.00e-03,8.4
38,0.126280,0.145574,-10.892,3.00e-03,8.4
39,0.127076,0.140162,-11.049,3.00e-03,8.4
40,0.124725,0.146120,-11.169,3.00e-03,8.5
41,0.120756,0.143882,-10.924,3.00e-03,8.5
42,0.125702,0.142392,-11.303,3.00e-03,8.5
43,0.118119,0.145311,-10.848,3.00e-03,8.6
44,0.119666,0.141329,-11.173,3.00e-03,8.4
45,0.117828,0.138928,-11.190,3.00e-03,8.4
46,0.118651,0.140081,-11.448,3.00e-03,8.4
47,0.116012,0.143050,-11.356,3.00e-03,8.4
48,0.116079,0.133374,-11.574,3.00e-03,8.4
49,0.112425,0.131428,-11.560,3.00e-03,8.4
50,0.111275,0.131709,-11.551,3.00e-03,8.4
51,0.115920,0.134583,-11.616,3.00e-03,8.4
52,0.114640,0.134431,-11.403,3.00e-03,8.4
53,0.115280,0.132063,-11.654,3.00e-03,8.4
54,0.109840,0.128076,-11.850,3.00e-03,8.4
55,0.114208,0.140304,-11.336,3.00e-03,8.4
56,0.108951,0.126699,-11.881,3.00e-03,8.4
57,0.108474,0.127066,-11.815,3.00e-03,8.4
58,0.108847,0.127145,-11.783,3.00e-03,8.4
59,0.107907,0.129809,-11.910,3.00e-03,8.4
60,0.111300,0.131965,-11.761,3.00e-03,8.4
61,0.106738,0.123102,-11.882,3.00e-03,8.4
62,0.107068,0.129007,-11.712,3.00e-03,8.5
63,0.106655,0.126219,-11.832,3.00e-03,8.4
64,0.105395,0.142388,-11.542,3.00e-03,8.3
65,0.107348,0.122187,-12.349,3.00e-03,8.3
66,0.103212,0.124310,-11.927,3.00e-03,8.3
67,0.104116,0.123462,-12.193,3.00e-03,8.3
68,0.102819,0.120335,-12.369,3.00e-03,8.3
69,0.101629,0.119020,-12.294,3.00e-03,8.3
70,0.101591,0.118888,-12.435,3.00e-03,8.4
71,0.101310,0.122597,-12.257,3.00e-03,8.3
72,0.101997,0.115719,-12.391,3.00e-03,8.3
73,0.102419,0.112571,-12.721,3.00e-03,8.3
74,0.100777,0.117729,-12.525,3.00e-03,8.3
75,0.101693,0.124821,-12.117,3.00e-03,8.3
76,0.103788,0.123677,-12.342,3.00e-03,8.3
77,0.098016,0.118954,-12.561,3.00e-03,8.3
78,0.097650,0.114372,-12.844,3.00e-03,8.3
79,0.095808,0.113381,-12.606,3.00e-03,8.3
80,0.095099,0.117716,-12.406,3.00e-03,8.3
81,0.094921,0.113805,-12.244,3.00e-03,8.3
82,0.093833,0.107871,-12.964,3.00e-03,8.3
83,0.094289,0.107341,-12.727,3.00e-03,8.3
84,0.093827,0.107079,-12.610,3.00e-03,8.3
85,0.089840,0.109950,-12.580,3.00e-03,8.4
86,0.090889,0.102629,-12.732,3.00e-03,8.3
87,0.090515,0.117548,-12.295,3.00e-03,8.3
88,0.091102,0.099289,-12.888,3.00e-03,8.3
89,0.088025,0.117286,-12.582,3.00e-03,8.3
90,0.087197,0.098712,-12.903,3.00e-03,8.3
91,0.086710,0.105082,-12.566,3.00e-03,8.3
92,0.084876,0.103016,-12.628,3.00e-03,8.3
93,0.086282,0.103093,-12.629,3.00e-03,8.3
94,0.087089,0.093836,-12.998,3.00e-03,8.3
95,0.080331,0.094716,-13.002,3.00e-03,8.3
96,0.081108,0.099856,-12.710,3.00e-03,8.3
97,0.080226,0.093317,-12.971,3.00e-03,8.3
98,0.078849,0.101392,-12.593,3.00e-03,8.4
99,0.079752,0.100891,-12.574,3.00e-03,8.3
100,0.078179,0.094334,-12.908,3.00e-03,8.3
101,0.078436,0.095032,-12.699,3.00e-03,8.3
102,0.078585,0.098582,-12.260,3.00e-03,8.3
103,0.077954,0.090711,-13.102,3.00e-03,8.3
104,0.079113,0.092186,-12.934,3.00e-03,8.3
105,0.078611,0.100537,-12.150,3.00e-03,8.3
106,0.076690,0.093327,-13.062,3.00e-03,8.3
107,0.075705,0.091650,-13.002,3.00e-03,8.3
108,0.074229,0.091077,-13.108,3.00e-03,8.3
109,0.075533,0.092705,-13.249,3.00e-03,8.3
110,0.074728,0.089997,-13.279,3.00e-03,8.3
111,0.074506,0.091346,-13.243,3.00e-03,8.3
112,0.073397,0.086183,-13.114,3.00e-03,8.3
113,0.071972,0.087024,-13.212,3.00e-03,8.3
114,0.073460,0.086774,-13.074,3.00e-03,8.3
115,0.072293,0.089596,-12.996,3.00e-03,8.3
116,0.073450,0.092278,-13.333,3.00e-03,8.4
117,0.072678,0.094866,-13.268,3.00e-03,8.3
118,0.072104,0.085538,-13.334,3.00e-03,8.3
119,0.070783,0.089685,-13.416,3.00e-03,8.3
120,0.070853,0.086856,-13.282,3.00e-03,8.3
121,0.068687,0.083619,-13.628,3.00e-03,8.3
122,0.070187,0.083463,-13.653,3.00e-03,8.3
123,0.071065,0.086333,-13.477,3.00e-03,8.3
124,0.070222,0.083540,-13.576,3.00e-03,8.3
125,0.068661,0.082360,-13.750,3.00e-03,8.3
126,0.070460,0.085975,-13.604,3.00e-03,8.3
127,0.071057,0.086344,-13.625,3.00e-03,8.3
128,0.068784,0.086024,-13.607,3.00e-03,8.3
129,0.068621,0.101690,-13.357,3.00e-03,8.3
130,0.069401,0.079975,-13.885,3.00e-03,8.3
131,0.067411,0.082569,-13.990,3.00e-03,8.3
132,0.068915,0.082187,-13.850,3.00e-03,8.3
133,0.066652,0.080284,-13.979,3.00e-03,8.4
134,0.066938,0.084058,-14.024,3.00e-03,8.3
135,0.066533,0.081446,-13.892,3.00e-03,8.3
136,0.069014,0.079595,-14.227,3.00e-03,8.3
137,0.067501,0.080393,-14.173,3.00e-03,8.3
138,0.067579,0.090529,-14.108,3.00e-03,8.3
139,0.068455,0.093127,-13.498,3.00e-03,8.3
140,0.071380,0.081366,-14.008,3.00e-03,8.3
141,0.065795,0.082568,-14.231,3.00e-03,8.3
142,0.065180,0.079884,-14.314,3.00e-03,8.3
143,0.066136,0.089185,-13.751,3.00e-03,8.3
144,0.066784,0.078478,-14.358,3.00e-03,8.3
145,0.066171,0.079036,-14.184,3.00e-03,8.3
146,0.065503,0.080227,-14.235,3.00e-03,8.3
147,0.066304,0.078348,-14.430,3.00e-03,8.3
148,0.064571,0.084870,-14.317,3.00e-03,8.3
149,0.063804,0.079907,-14.347,3.00e-03,8.3
150,0.065711,0.079020,-14.237,3.00e-03,8.3
151,0.063172,0.080005,-14.505,3.00e-03,8.3
152,0.065023,0.078859,-14.521,3.00e-03,8.3
153,0.064182,0.082535,-14.335,3.00e-03,8.3
154,0.065335,0.084570,-14.250,3.00e-03,8.3
155,0.066541,0.079503,-14.486,3.00e-03,8.3
156,0.064535,0.076938,-14.600,3.00e-03,8.3
157,0.063609,0.079151,-14.295,3.00e-03,8.3
158,0.065549,0.079379,-14.260,3.00e-03,8.3
159,0.064138,0.077530,-14.372,3.00e-03,8.3
160,0.063725,0.077134,-14.482,3.00e-03,8.4
161,0.064123,0.079726,-14.159,3.00e-03,8.3
162,0.063114,0.076144,-14.722,3.00e-03,8.3
163,0.064292,0.092821,-14.030,3.00e-03,8.4
164,0.064739,0.076217,-14.359,3.00e-03,8.3
165,0.063203,0.077637,-14.676,3.00e-03,8.3
166,0.062739,0.079904,-14.253,3.00e-03,8.3
167,0.063813,0.076135,-14.636,3.00e-03,8.3
168,0.062108,0.077401,-14.772,3.00e-03,8.4
169,0.063473,0.075478,-14.684,3.00e-03,8.3
170,0.063472,0.082041,-14.281,3.00e-03,8.3
171,0.061424,0.079199,-14.588,3.00e-03,8.3
172,0.062666,0.077210,-14.262,3.00e-03,8.3
173,0.062946,0.083475,-13.865,3.00e-03,8.3
174,0.063391,0.075700,-14.508,3.00e-03,8.3
175,0.061805,0.079889,-14.380,3.00e-03,8.3
176,0.060898,0.076299,-14.807,3.00e-03,8.3
177,0.060781,0.074532,-14.597,3.00e-03,8.3
178,0.062378,0.075354,-14.578,3.00e-03,8.3
179,0.061683,0.075073,-14.538,3.00e-03,8.3
180,0.061218,0.073914,-14.739,3.00e-03,8.3
181,0.062195,0.077026,-14.568,3.00e-03,8.4
182,0.061695,0.075282,-14.684,3.00e-03,8.3
183,0.061158,0.076414,-14.530,3.00e-03,8.3
184,0.061709,0.074347,-14.680,3.00e-03,8.3
185,0.062323,0.077606,-14.499,3.00e-03,8.3
186,0.061602,0.081306,-14.342,3.00e-03,8.3
187,0.062618,0.075904,-14.770,3.00e-03,8.3
188,0.062616,0.072237,-14.854,3.00e-03,8.3
189,0.060809,0.078144,-14.379,3.00e-03,8.3
190,0.063166,0.075596,-14.429,3.00e-03,8.3
191,0.062633,0.076191,-14.503,3.00e-03,8.3
192,0.061596,0.076261,-14.726,3.00e-03,8.3
193,0.061672,0.084910,-14.414,3.00e-03,8.4
194,0.061767,0.073636,-14.696,3.00e-03,8.3
195,0.061345,0.078064,-14.717,3.00e-03,8.3
196,0.060021,0.074022,-14.826,3.00e-03,8.4
197,0.059815,0.074761,-14.620,3.00e-03,8.3
198,0.059508,0.080687,-14.541,3.00e-03,8.3
199,0.060562,0.083529,-14.570,3.00e-03,8.3
200,0.062740,0.075355,-14.768,3.00e-03,8.3
201,0.059811,0.075100,-14.612,3.00e-03,8.3
202,0.060221,0.077523,-14.856,3.00e-03,8.3
203,0.061596,0.073835,-14.917,3.00e-03,8.3
204,0.060975,0.075582,-14.506,3.00e-03,8.3
205,0.060048,0.071550,-14.922,3.00e-03,8.3
206,0.061135,0.076286,-14.473,3.00e-03,8.3
207,0.063200,0.086340,-14.251,3.00e-03,8.3
208,0.062900,0.073514,-14.621,3.00e-03,8.3
209,0.059783,0.078180,-14.324,3.00e-03,8.3
210,0.060200,0.074378,-14.688,3.00e-03,8.3
211,0.060085,0.073620,-14.859,3.00e-03,8.3
212,0.059404,0.075198,-14.745,3.00e-03,8.3
213,0.059724,0.074320,-14.705,3.00e-03,8.3
214,0.060211,0.075817,-14.382,3.00e-03,8.3
215,0.060253,0.079005,-14.872,3.00e-03,8.3
216,0.059741,0.073186,-14.665,3.00e-03,8.3
217,0.060768,0.072827,-14.735,3.00e-03,8.3
218,0.059335,0.072754,-14.772,3.00e-03,8.3
219,0.059704,0.078121,-14.530,3.00e-03,8.3
220,0.060367,0.072785,-14.735,3.00e-03,8.3
221,0.061331,0.075728,-14.610,3.00e-03,8.3
222,0.061054,0.075344,-14.489,3.00e-03,8.3
