epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.839089,0.798430,-1.658,3.00e-03,9.2
2,0.769150,0.790758,-1.692,3.00e-03,8.3
3,0.767951,0.785164,-1.857,3.00e-03,9.4
4,0.775779,0.783146,-2.025,3.00e-03,8.3
5,0.741832,0.707862,-2.754,3.00e-03,8.4
6,0.524471,0.430615,-6.728,3.00e-03,9.0
7,0.347872,0.335844,-7.854,3.00e-03,8.4
8,0.289193,0.311853,-8.138,3.00e-03,9.0
9,0.258600,0.279647,-8.997,3.00e-03,8.4
10,0.231477,0.264031,-9.380,3.00e-03,9.1
11,0.227820,0.244759,-9.095,3.00e-03,8.3
12,0.213324,0.224387,-9.489,3.00e-03,8.9
13,0.196148,0.224344,-9.352,3.00e-03,8.9
14,0.188955,0.215006,-9.116,3.00e-03,8.3
15,0.188508,0.191484,-9.814,3.00e-03,8.9
16,0.172289,0.195989,-9.984,3.00e-03,8.3
17,0.167649,0.180968,-10.051,3.00e-03,8.8
18,0.162575,0.174394,-10.231,3.00e-03,8.3
19,0.152376,0.163624,-10.524,3.00e-03,8.8
20,0.147996,0.167720,-10.527,3.00e-03,8.9
21,0.146028,0.161045,-10.512,3.00e-03,8.3
22,0.149862,0.166765,-10.594,3.00e-03,8.9
23,0.145309,0.176574,-10.768,3.00e-03,8.3
24,0.138488,0.156479,-10.772,3.00e-03,8.9
25,0.139298,0.152916,-10.815,3.00e-03,8.9
26,0.135510,0.157824,-10.819,3.00e-03,8.3
27,0.130550,0.145204,-11.407,3.00e-03,8.8
28,0.130026,0.176975,-10.517,3.00e-03,8.3
29,0.128746,0.160404,-11.106,3.00e-03,8.9
30,0.123349,0.144624,-11.684,3.00e-03,8.4
31,0.121391,0.141710,-11.734,3.00e-03,9.0
32,0.123345,0.146258,-11.238,3.00e-03,8.9
33,0.120429,0.154596,-11.290,3.00e-03,8.3
34,0.123029,0.141918,-12.071,3.00e-03,8.8
35,0.113997,0.129074,-12.192,3.00e-03,8.3
36,0.117078,0.143153,-11.943,3.00e-03,8.9
37,0.112280,0.133470,-11.955,3.00e-03,8.3
38,0.118515,0.131406,-12.268,3.00e-03,9.0
39,0.110746,0.123558,-12.401,3.00e-03,8.9
40,0.107839,0.126103,-12.248,3.00e-03,8.4
41,0.110236,0.125126,-12.298,3.00e-03,8.8
42,0.104163,0.135403,-12.123,3.00e-03,8.3
43,0.108744,0.122508,-12.607,3.00e-03,8.9
44,0.112822,0.129943,-12.402,3.00e-03,8.3
45,0.104905,0.116514,-12.858,3.00e-03,8.8
46,0.104786,0.120940,-12.515,3.00e-03,8.9
47,0.106604,0.118313,-12.810,3.00e-03,8.3
48,0.106888,0.127020,-12.568,3.00e-03,8.8
49,0.100105,0.120472,-12.534,3.00e-03,8.3
50,0.100480,0.112835,-13.008,3.00e-03,8.9
51,0.100161,0.117695,-12.702,3.00e-03,8.5
52,0.102754,0.114416,-12.710,3.00e-03,9.2
53,0.100535,0.117837,-12.494,3.00e-03,8.9
54,0.100285,0.114149,-12.816,3.00e-03,8.3
55,0.098034,0.118258,-12.913,3.00e-03,8.7
56,0.097389,0.120603,-12.966,3.00e-03,8.3
57,0.097038,0.111040,-13.205,3.00e-03,9.0
58,0.094217,0.119253,-12.869,3.00e-03,9.0
59,0.096465,0.110830,-13.073,3.00e-03,8.3
60,0.100122,0.131243,-12.450,3.00e-03,8.8
61,0.094661,0.110991,-13.062,3.00e-03,8.3
62,0.099801,0.125873,-12.766,3.00e-03,8.9
63,0.096127,0.110184,-12.905,3.00e-03,8.3
64,0.094409,0.121860,-13.048,3.00e-03,8.8
65,0.094050,0.110440,-13.141,3.00e-03,8.8
66,0.095076,0.119726,-12.515,3.00e-03,8.3
67,0.095009,0.110592,-12.928,3.00e-03,8.9
68,0.093074,0.110688,-12.899,3.00e-03,8.3
69,0.093078,0.112957,-12.760,3.00e-03,9.0
70,0.091821,0.108199,-13.089,3.00e-03,8.4
71,0.090355,0.110516,-13.245,3.00e-03,8.8
72,0.092005,0.106369,-13.275,3.00e-03,8.8
73,0.091245,0.107678,-13.283,3.00e-03,8.4
74,0.089822,0.114767,-13.113,3.00e-03,8.8
75,0.093254,0.109692,-13.031,3.00e-03,8.3
76,0.092325,0.110480,-13.043,3.00e-03,8.9
77,0.091811,0.108535,-13.439,3.00e-03,8.3
78,0.089020,0.104808,-13.456,3.00e-03,8.9
79,0.088354,0.105190,-13.421,3.00e-03,8.8
80,0.087234,0.103449,-13.451,3.00e-03,8.3
81,0.090421,0.107400,-13.307,3.00e-03,8.8
82,0.086581,0.107654,-13.322,3.00e-03,8.3
83,0.087983,0.103309,-13.490,3.00e-03,8.9
84,0.087411,0.101828,-13.389,3.00e-03,8.4
85,0.089221,0.112383,-12.965,3.00e-03,9.0
86,0.089523,0.110080,-12.994,3.00e-03,8.9
87,0.093465,0.107334,-13.180,3.00e-03,8.3
88,0.086536,0.102137,-13.618,3.00e-03,8.8
89,0.087534,0.105245,-13.534,3.00e-03,8.3
90,0.087792,0.112104,-13.397,3.00e-03,8.9
91,0.087206,0.105336,-13.342,3.00e-03,8.8
92,0.087419,0.101200,-13.583,3.00e-03,8.3
93,0.086739,0.100281,-13.645,3.00e-03,8.9
94,0.085915,0.113637,-13.219,3.00e-03,8.3
95,0.085814,0.101337,-13.512,3.00e-03,8.8
96,0.084880,0.107121,-13.212,3.00e-03,8.3
97,0.087323,0.107534,-13.368,3.00e-03,8.8
98,0.084889,0.104325,-13.497,3.00e-03,8.9
99,0.087084,0.102145,-13.523,3.00e-03,8.3
100,0.084689,0.106683,-12.795,3.00e-03,8.7
101,0.086348,0.105340,-13.506,3.00e-03,8.4
102,0.084135,0.099801,-13.658,3.00e-03,8.9
103,0.086570,0.101664,-13.280,3.00e-03,8.4
104,0.083708,0.102257,-13.355,3.00e-03,9.0
105,0.084090,0.106910,-13.174,3.00e-03,8.8
106,0.087165,0.098581,-13.661,3.00e-03,8.3
107,0.085582,0.099802,-13.707,3.00e-03,8.8
108,0.083717,0.102660,-13.611,3.00e-03,8.3
109,0.084501,0.099884,-13.437,3.00e-03,9.0
110,0.085106,0.104773,-13.167,3.00e-03,8.3
111,0.084678,0.101295,-13.584,3.00e-03,8.8
112,0.083881,0.103004,-13.407,3.00e-03,8.8
113,0.082963,0.104666,-13.358,3.00e-03,8.3
114,0.084272,0.099439,-13.775,3.00e-03,8.8
115,0.082576,0.108989,-13.170,3.00e-03,8.3
116,0.087224,0.097692,-13.810,3.00e-03,8.8
117,0.081229,0.104787,-13.624,3.00e-03,8.3
118,0.083787,0.103230,-13.749,3.00e-03,8.8
119,0.083105,0.106654,-13.362,3.00e-03,8.8
120,0.084693,0.103980,-13.145,3.00e-03,8.3
121,0.082466,0.097574,-13.721,3.00e-03,8.7
122,0.081229,0.096318,-13.510,3.00e-03,8.3
123,0.082948,0.100838,-13.443,3.00e-03,8.8
124,0.082344,0.094738,-13.830,3.00e-03,8.3
125,0.082447,0.098163,-13.582,3.00e-03,8.7
126,0.081682,0.097831,-13.643,3.00e-03,9.0
127,0.081511,0.103308,-13.435,3.00e-03,8.3
128,0.081617,0.123233,-13.050,3.00e-03,8.7
129,0.082647,0.096455,-13.547,3.00e-03,8.3
130,0.083039,0.100434,-13.478,3.00e-03,8.8
131,0.081983,0.098612,-13.508,3.00e-03,8.3
