epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.827532,0.807904,-1.664,3.00e-03,9.1
2,0.762882,0.804665,-1.677,3.00e-03,8.6
3,0.761790,0.804167,-1.742,3.00e-03,8.6
4,0.755021,0.794385,-2.100,3.00e-03,8.6
5,0.736440,0.716365,-2.936,3.00e-03,8.6
6,0.513170,0.497106,-5.847,3.00e-03,8.7
7,0.389646,0.428520,-6.998,3.00e-03,8.7
8,0.311876,0.343663,-8.161,3.00e-03,8.7
9,0.285722,0.353852,-8.100,3.00e-03,8.7
10,0.256566,0.300910,-8.632,3.00e-03,8.6
11,0.230913,0.286992,-9.492,3.00e-03,8.6
12,0.209562,0.263320,-9.776,3.00e-03,8.6
13,0.203796,0.284098,-9.080,3.00e-03,8.6
14,0.196159,0.242354,-9.938,3.00e-03,8.6
15,0.189069,0.241834,-9.781,3.00e-03,8.6
16,0.185695,0.225253,-10.134,3.00e-03,8.6
17,0.174723,0.223485,-9.844,3.00e-03,8.6
18,0.165076,0.221773,-10.227,3.00e-03,8.6
19,0.175101,0.210341,-10.342,3.00e-03,8.7
20,0.162689,0.214050,-10.312,3.00e-03,8.7
21,0.170427,0.215040,-10.289,3.00e-03,8.8
22,0.157622,0.199783,-10.311,3.00e-03,8.9
23,0.153646,0.197089,-10.581,3.00e-03,8.8
24,0.149698,0.198163,-10.219,3.00e-03,8.7
25,0.144361,0.212152,-9.962,3.00e-03,8.7
26,0.143206,0.181542,-10.866,3.00e-03,8.7
27,0.148522,0.191290,-10.753,3.00e-03,8.8
28,0.136718,0.183646,-10.655,3.00e-03,8.8
29,0.133706,0.208269,-10.056,3.00e-03,8.8
30,0.147593,0.181227,-10.716,3.00e-03,8.8
31,0.133315,0.175382,-10.862,3.00e-03,8.7
32,0.128796,0.176320,-10.968,3.00e-03,8.7
33,0.128691,0.172601,-10.888,3.00e-03,8.7
34,0.125336,0.169687,-10.636,3.00e-03,8.7
35,0.125147,0.197970,-10.460,3.00e-03,8.7
36,0.129281,0.180037,-10.921,3.00e-03,8.7
37,0.127437,0.177623,-10.555,3.00e-03,8.8
38,0.126036,0.180332,-10.929,3.00e-03,8.7
39,0.123932,0.165858,-11.082,3.00e-03,8.7
40,0.118259,0.168867,-10.982,3.00e-03,8.7
41,0.120015,0.163472,-11.252,3.00e-03,8.7
42,0.118093,0.166098,-11.390,3.00e-03,8.7
43,0.118961,0.169521,-10.949,3.00e-03,8.7
44,0.115992,0.157576,-11.349,3.00e-03,8.7
45,0.116271,0.174391,-11.134,3.00e-03,8.7
46,0.116915,0.169272,-10.971,3.00e-03,8.7
47,0.123406,0.159358,-11.595,3.00e-03,8.7
48,0.112858,0.157374,-11.300,3.00e-03,8.7
49,0.112734,0.164938,-11.175,3.00e-03,8.8
50,0.115387,0.166885,-11.305,3.00e-03,8.8
51,0.112535,0.150053,-11.548,3.00e-03,8.7
52,0.108889,0.152351,-11.637,3.00e-03,8.7
53,0.107858,0.152645,-11.111,3.00e-03,8.7
54,0.112777,0.156299,-11.613,3.00e-03,8.9
55,0.107123,0.165168,-11.683,3.00e-03,9.1
56,0.109647,0.163995,-11.581,3.00e-03,8.9
57,0.108000,0.153736,-11.681,3.00e-03,8.7
